"Agriculture
Products",2015-16,,2016-17,,2017-18,,2018-19,
,"Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk"
Tea,9567,9788529,7623,1005359,861,227688,657,237177
Fish,101158,4522287,96236,6029097,11598,3617220,13461,3941167
Raw Cotton,9023,1820868,1480627,220551743,3907,720519,54710,2570738
Spices,1130,325814,1141,327421,337,87127,185,65314
