"Division and
District/Zila",Area under,,,,,,,,,,,,,
,"Local
Aus","HYV
Aus","Local
Aman","HYV
Aman","Local
Boro","Hybrid
Boro","HYV
Boro",Wheat,Maize,Jute,Pulses,"Oil
seeds","Sugar
cane",Potato
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
