Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
213,",,","Tamarind with
seed","8,950","8,820","10,652","7,725","8,943","9,147","9,548","9,643","9,458","9,425","9,900","9,458",
,,,,,,,,,,,,,,,"9,306"
214,",,",",, without seed","9,750","8,167",-,-,-,-,"9,250","9,250","9,250","10,513","10,583","11,875",
,,,,,,,,,,,,,,,"9,830"
215,Vegetable :,Potato : Local,"2,025","1,538","1,465","1,654","1,713","1,884","2,035","2,076","2,069","2,350","2,777","2,963",
,,,,,,,,,,,,,,,"2,046"
216,",,",",, Holland White","1,559","1,017","1,009","1,138","1,294","1,436","1,610","1,642","1,586","1,662","2,100","2,169",
,,,,,,,,,,,,,,,"1,519"
217,",,",",, ,, Red","1,711","1,081","1,078","1,204","1,310","1,534","1,628","1,634","1,636","1,776","2,168","2,413",
,,,,,,,,,,,,,,,"1,598"
218,Sweet Potato,,"2,205","1,769","1,690","1,690","1,726","1,663","2,375","1,675","2,317","1,550",-,"3,100",
,,,,,,,,,,,,,,,"1,978"
219,Vegetable :,Brinjal,"1,860","1,829","2,226","3,036","3,371","2,934","3,375","3,455","3,751","4,048","3,464","2,894",
,,,,,,,,,,,,,,,"3,020"
220,",,",Patal,"2,306","5,228","5,473","4,179","2,743","1,956","2,419","2,594","2,884","3,121","3,096","3,048",
,,,,,,,,,,,,,,,"3,254"
221,",,",Chalcumra,"1,721","1,811","2,359","2,923","1,730","1,369","1,600","1,699","1,717","1,819","1,982","2,113",
,,,,,,,,,,,,,,,"1,904"
222,",,",Pumpkin,"1,692","1,666","1,705","1,730","1,667","1,603","1,708","1,883","2,001","2,421","2,420","2,406",
,,,,,,,,,,,,,,,"1,908"
223,",,",Lao,"1,532","1,392","1,538","1,633","1,783","1,665","1,713","1,871","1,980","2,017","1,976","1,935",
,,,,,,,,,,,,,,,"1,753"
224,",,",Uchehhe,"4,726","5,932","5,546","5,126","4,290","3,299","3,916","4,611","5,060","4,953","5,351","5,557",
,,,,,,,,,,,,,,,"4,864"
225,",,",Karalla,"3,424","4,435","4,926","4,445","3,196","2,729","3,502","3,901","4,229","4,075","4,008","4,325",
,,,,,,,,,,,,,,,"3,933"
226,Vegetable :,Green Papaya,"1,226","1,274","1,403","1,761","2,459","2,312","2,039","1,910","1,675","1,541","1,541","1,589",
,,,,,,,,,,,,,,,"1,728"
