Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,Septembe,October,November,December,Average
,,,,,,,,,,,r,,,,
47,",,","Mashur
broken",6069,6204,"6,163",6198,"6,346","6,402","6,337","6,486","6,682","6,286","6,283","6,428",
,,,,,,,,,,,,,,,"6,324"
48,",,",Mashur foreign,7413,7510,"7,565",7458,"7,764","7,827","8,069","7,895","7,797","8,187","8,339","8,465",
,,,,,,,,,,,,,,,"7,857"
49,",,",Mug local,10040,10242,"10,068",10039,"10,111","10,117","10,300","10,339","10,574","10,825","11,084","11,715",
,,,,,,,,,,,,,,,"10,454"
50,",,",Chola gota,7292,7543,"7,563",7713,"7,682","7,707","7,592","7,698","7,536","7,380","7,408","7,430",
,,,,,,,,,,,,,,,"7,545"
51,",,",Chola broken,7403,7638,"7,627",7643,"7,764","7,800","7,668","7,547","7,452","7,328","7,383","7,288",
,,,,,,,,,,,,,,,"7,545"
52,",,",Motor local,4744,5014,"5,010",5091,"5,264","5,442","5,663","5,328","5,316","5,372","5,495","5,386",
,,,,,,,,,,,,,,,"5,260"
53,",,",Motor foreign,3614,3661,"3,573",3573,"3,543","3,502","3,451","3,380","3,357","3,426","3,431","3,368",
,,,,,,,,,,,,,,,"3,490"
54,",,",kheshari,4342,4425,"4,427",4629,"5,133","5,144","5,085","5,131","5,126","5,440","5,690","6,003",
,,,,,,,,,,,,,,,"5,048"
55,Oil seed,Mustard,5160,4930,"4,706",4670,"4,735","5,042","4,817","4,844","4,824","4,885","4,919","4,958",
,,,,,,,,,,,,,,,"4,874"
56,",,",Tishi,5850,5667,"5,373",5321,"5,894","5,902","6,009","6,016","6,000","5,969","6,027","6,104",
,,,,,,,,,,,,,,,"5,844"
57,",,",Til,5422,5450,"5,785",5156,"7,190","7,209","7,255","6,065","6,129","7,168","8,176","8,148",
,,,,,,,,,,,,,,,"6,596"
58,",,",Nut,8647,8613,"9,279",9220,"9,348","9,103","8,987","8,815","8,895","8,994","9,809","9,176",
,,,,,,,,,,,,,,,"9,074"
59,Oil,Mustard,13139,13038,"12,981",12808,"12,739","12,986","12,818","12,694","12,806","12,831","12,817","12,846",
,,,,,,,,,,,,,,,"12,875"
60,",,",Soyabeen,7901,7904,"7,944",7877,"7,845","7,793","7,666","7,783","7,788","7,794","7,886","8,159",
,,,,,,,,,,,,,,,"7,862"
61,",,",Pulm,6177,6240,"6,246",6214,"6,078","6,022","6,002","6,065","6,105","6,131","6,258","6,660",
,,,,,,,,,,,,,,,"6,183"
62,“,Ghee (dalda),8634,8347,"8,550",8025,"8,107","8,370","8,173","7,992","7,972","8,078","8,128","8,149","8,210"
(Per Quintal/Taka),,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,Septembe,October,November,December,Average
,,,,,,,,,,,r,,,,
63,",,",Butter oil,61750,61750,"60,500",56750,"52,350","60,500","51,135","63,167","62,000","61,750","60,000","60,000",
,,,,,,,,,,,,,,,"59,304"
64,",,",Coconut,22332,21808,"22,209",22592,"22,581","22,660","22,796","22,550","22,407","22,480","22,269","22,699",
,,,,,,,,,,,,,,,"22,449"
65,khail,Mustard,3350,3349,"3,318",3280,"3,283","3,309","3,312","3,531","3,329","3,352","3,344","3,343",
,,,,,,,,,,,,,,,"3,342"
66,",,",Til,3331,3327,"3,283",3613,"3,600","3,460","3,559","3,254","3,321","3,378","3,446","3,429",
,,,,,,,,,,,,,,,"3,417"
67,",,",Others,3667,3667,"3,299",3293,"3,591","3,223","3,555","3,518","4,008","3,557","3,513","3,527",
,,,,,,,,,,,,,,,"3,535"
68,Spice,Onion local,1872,1810,"2,022",1988,"2,154","2,150","3,151","3,723","5,262","8,673","14,705","11,810",
,,,,,,,,,,,,,,,"4,943"
69,",,",Onion imported,1671,1542,"1,530",1649,"1,733","1,982","2,890","3,086","4,724","7,904","13,621","11,997",
,,,,,,,,,,,,,,,"4,527"
70,",,",Garlic local,4138,4157,"3,838",4431,"5,972","7,294","10,336","12,247","12,947","12,848","14,461","15,357",
,,,,,,,,,,,,,,,"9,002"
71,",,",Garlic imported,6104,6809,"8,167",8897,"9,987","11,233","13,764","15,308","14,285","12,474","15,260","14,351",
,,,,,,,,,,,,,,,"11,387"
72,,Chilli dried,16010,15808,"15,453",15302,"15,590","15,501","15,953","16,458","16,765","17,241","19,198","20,618",
,,,,,,,,,,,,,,,"16,658"
73,",,",Green chilli,3371,3523,"3,953",3720,"4,190","5,079","8,278","6,037","4,436","5,267","4,082","3,467",
,,,,,,,,,,,,,,,"4,617"
74,",,",Ginger local,8585,8512,"8,942",9638,"11,310","14,369","16,235","16,990","16,082","14,949","14,116","12,186",
,,,,,,,,,,,,,,,"12,660"
75,",,","Ginger
imported",8983,8460,"8,782",8990,"10,206","12,734","13,600","14,761","14,137","13,580","13,953","11,871",
,,,,,,,,,,,,,,,"11,671"
76,",,",Turmeric round,13004,12776,"12,622",12365,"12,279","12,317","12,401","12,325","12,601","13,071","13,062","13,285",
,,,,,,,,,,,,,,,"12,676"
77,",,",Turmeric long,12673,12569,"12,505",12335,"12,400","12,307","12,440","12,506","12,754","12,732","12,760","12,694",
,,,,,,,,,,,,,,,"12,556"
78,",,",Coriander old,9515,9651,"9,589",9304,"9,194","9,126","9,247","9,282","9,454","9,248","9,429","9,650",
,,,,,,,,,,,,,,,"9,391"
