Trawler,,Boat,,Gear,
Type,No.,Type,No.,Type,No.
"Shrimp Trawler
Fish Trawler","37
216","MB (Mechanized Boat)
NMB (Non-Mechanized Boat)","32859
34810","Gill Net
Set Bag Net
Long Line
Trammel Net
Other Gear","118353
42429
11863
422
15640"
Total,253,,67669,,188707
