"Division and
District/Zila","All
holdings","Non-
Farm
holdings",Number of farm holdings,,,,Number of holdings,,,"Agriculture
labour
households"
,,,Total,Small,Medium,Large,Owner,"Owner-
cum-
tenant",Tenant,
1,2,3,4,5,6,7,8,9,10,11
,,,Total,Small,Medium,Large,Owner,"Owner-
cum-
tenant",Tenant,
1,2,3,4,5,6,7,8,9,10,11
