(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
79,",,",Coriander new,7183,8653,"6,815",8131,"8,398","8,386","7,879","8,755","9,620","9,425","6,425","7,800",
,,,,,,,,,,,,,,,"8,123"
80,Jute,White/tosha top,"2,750","2,747","2,755","2,838","3,163","3,213","3,213","3,273","3,193","2,825","2,825","2,825",
,,,,,,,,,,,,,,,"2,968"
81,",,",Middle,"4,000","4,000","4,000","4,000","4,000","4,000",-,"4,104","4,374","4,438","4,438","4,438",
,,,,,,,,,,,,,,,"4,163"
82,",,",B-botom,"4,650","4,995","5,065","5,013","5,100","5,100","5,100","4,800","4,403","4,565","4,581","4,769",
,,,,,,,,,,,,,,,"4,845"
83,",,",C -bottom,"4,900","5,300","5,300","5,300","5,300","5,300","5,300","4,621","4,302","4,233","4,000","4,233",
,,,,,,,,,,,,,,,"4,841"
84,",,",Cross botom,"4,075","4,600","4,600",-,-,-,-,"4,100","4,056","3,900","3,900","3,900",
,,,,,,,,,,,,,,,"4,141"
85,",,",Smr,"4,050","4,050","4,050","4,600","4,600",-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,"4,270"
86,",,",Gor chhat,"4,317","4,395",-,"4,487","4,498","4,651","4,648","4,424","4,167","4,118","4,098","4,140",
,,,,,,,,,,,,,,,"4,358"
87,",,","Mesta gor
chhat","4,150","4,163","4,190","4,190","4,160","4,013","4,013","4,117","3,871","4,113","4,000","4,000",
,,,,,,,,,,,,,,,"4,081"
88,Cotton,Shimul,"35,161","35,150","35,161","34,961","34,828","34,972","34,972","34,972","34,972","34,083","34,343","34,083",
,,,,,,,,,,,,,,,"34,805"
89,",,",carpus,"14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150","14,150",
,,,,,,,,,,,,,,,"14,150"
90,Tobbaco,Jati heavy,"10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600","10,600",
,,,,,,,,,,,,,,,"10,600"
91,",,",Jati Medium,"8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500",
,,,,,,,,,,,,,,,"8,500"
92,",,",Jati general,"6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600",
,,,,,,,,,,,,,,,"6,600"
93,",,",Motihar heavy,"14,606","14,680","14,791","14,720","14,616","14,566","14,430","14,502","14,469","14,471","14,473","14,479",
,,,,,,,,,,,,,,,"14,567"
94,",,","Motihar
medium","10,750","10,794","10,839","10,870","10,827","10,822","10,800","10,806","10,806","10,800","10,803","10,803",
,,,,,,,,,,,,,,,"10,810"
Sl no,Name of Comodity,,Year-2019,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
95,",,",Moti general,"7,617","7,617","7,617","7,617","7,617","7,617","7,630","7,643","7,630","7,617","7,617","7,617","7,621"
96,",,",Varginia(heat),-,-,-,-,-,-,-,-,-,-,-,-,#DIV/0!
97,",,",Bangla-1 (heat),-,-,-,-,-,-,-,-,-,-,-,-,#DIV/0!
