Commodity,"Uni
t",2015-16,,2016-17,,2017-18,,2018-19,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"4403-Wood in the
rough, other","Cu-
Mtr",8681512,261156,20555967,725554,14103770,442963,232647094,8150684
"45031000-Corks
and stoppers,
natural",Kg,172,271,2716,668,28165,7540,21196,4383
"47020000-Wood
pulp chemical
dissolving grade",Kg,-,-,-,-,8,10,244666,19580
"47032100 Wood
pulp chem
semiblch/blch coni",Kg,25482814,1261838,30441587,1482781,35368930,2230008,26668375,1901954
"47032900 Wood
pulp chem
semiblch/blch
N/coni",Kg,232240439,16772999,308771357,12970991,282045667,10756992,285212025,18093734
"47041100 Wood
pulp chem
sulphite blech
conifer",Kg,-,-,30441587,1482781,5,3,,
"47072900 Wood
pulp chem
sulphite blch
N/conifer",Kg,-,-,308771357,12970991,1936728,132907,,
"5002-Raw silk
(not thrown)",Kg,15218,22409,40380,27808,49156,33340,26648,20793
5105-Wool top,Kg,269099,142126,315980,200846,1289362,246076,135277,309113
"5201 Cotton
American
RG(rolled ginned)","M.t
on",1388587489,178247179,"148062721
1",220551743,"165307338
3",270090055,"152578915
8","26809169
5"
"84081000 Agri
pistonengine
disel/semi-disel",No.,16334,2135141,3006228,2146952,4964149,2821601,6114015,4149235
"84089090
Internal piston
engine comp igni
other",No,1106,93435,170292,193091,1955975,2169397,,294749
"84136000 Rotary
pumps",No.,13624786,3863120,20266264,5448645,17382338,4866906,20828608,6019639
"84248190
Appliance other
Agri/horticultural",No.,1181,35235,306672,109725,58812,14055,460367,202853
"84248110-
Spraying machine
used in Agri",No.,14142,284340,2120292,307481,15000,3110,,2054
8432-Ploughs,No.,4425578,4251974,33973292,50232320,38247091,5833501,33159016,5091639
"84322100-Disc
harrows",No.,69,1310,9160,1735,22860,3285,,1642
