Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,677,274,199.50,0.000,5041,1930,781,239.07,22.052,17223
2,Barishal,3805,1540,215.00,19.832,30539,2862,1158,216.70,19.988,23150
3,Bhola,18113,7330,288.96,26.654,195369,12783,5173,202.37,18.667,96562
4,Jhalakathi,1052,426,215.00,0.000,8443,835,338,202.06,18.638,6298
5,Patuakhali,1153,467,199.90,18.439,8603,1414,572,222.62,20.534,11750
6,Pirojpur,2634,1066,145.23,13.396,14279,2290,927,209.60,19.333,17917
1,"Barishal
Division",27434,11102,256.11,23.624,262275,22114,8949,209.46,19.320,172900
7,Bandarban,185,75,139.25,12.844,962,200,81,152.54,14.070,1139
8,Brahmanbaria,4041,1635,151.55,13.979,22860,2468,999,159.49,14.711,14695
9,Chandpur,16303,6597,235.36,21.710,143228,13183,5335,225.59,20.808,111010
10,Chattogram,2301,931,180.51,16.650,15504,1240,502,188.66,17.402,8733
11,Cumilla,28383,11486,200.86,18.527,212804,26628,10776,218.97,20.198,217646
12,Cox' Bazar,3007,1217,140.23,12.935,15741,2247,909,113.36,10.456,9508
13,Feni,634,257,145.51,13.422,3444,654,265,175.23,16.163,4280
14,Khagrachari,427,173,147.16,13.574,2346,382,155,179.25,16.534,2559
15,Laksmipur,650,263,145.16,13.390,3522,632,256,181.98,16.786,4293
16,Noakhali,202,82,146.25,13.490,1103,447,181,181.73,16.763,3034
17,Rangamati,218,88,120.75,11.138,983,173,70,157.31,14.510,1016
2,"Chattogram
Division",56351,22804,200.86,18.527,422494,48256,19528,209.81,19.352,377913
18,Dhaka,4710,1906,233.09,21.500,40980,4713,1907,263.88,24.340,46423
19,Faridpur,736,298,251.50,23.198,6909,665,269,256.39,23.649,6364
20,Gazipur,220,89,165.56,15.271,1360,251,102,187.99,17.340,1763
21,Gopalgonj,751,304,241.85,22.308,6780,847,343,257.23,23.727,8128
22,Kishoregonj,9311,3768,169.89,15.671,59046,9703,3927,181.22,16.716,65636
23,Madaripur,1265,512,210.27,19.395,9929,1515,613,286.75,26.450,16213
24,Manikgonj,3731,1510,219.86,20.280,30620,4372,1769,211.09,19.471,34449
25,Munsigonj,89748,36319,353.57,32.613,1184479,81938,33159,356.09,32.846,1089112
26,Narayanganj,7440,3011,305.57,28.186,84862,7335,2968,279.35,25.767,76487
27,Narsingdi,3159,1278,165.56,15.271,19522,3078,1246,182.20,16.806,20936
28,Rajbari,421,170,198.73,18.331,3123,525,212,190.20,17.544,3727
29,Shariatpur,4930,1995,269.75,24.882,49640,4711,1906,324.72,29.952,57102
30,Tangail,4035,1633,179.22,16.531,26993,4939,1999,176.16,16.249,32477
3,"Dhaka
Division",130457,52793,313.01,28.872,1524243,124592,50420,313.68,28.933,1458815
31,Bagerhat,2445,989,165.09,15.228,15067,1835,743,161.09,14.859,11034
32,Chuadanga,3553,1438,235.48,21.721,31230,6177,2500,233.58,21.545,53857
