Means of Irrigation,"Irrigated area
2017-18","Irrigated area 2018-
2019",Percentage of increase/decrease,
,,,2017-2018,2018-2019
Power Pump,3202,3200,(+)3.19%,(-)0.06%
Deep Tube-well,3082,3059,(-)1.78%,(-)0.75%
Shallow Tube-well,11928,12189,(+)1.45%,(+)2.19%
Hand Tube-well,35,31,(-)14.6%,(-)11.43%
Traditional,741,738,(-)5.12%,(-)0.40%
