"Production
Range","Number
of Pond",Area,,Production,,MT/Ha,"Growth
Rate( %)"
,,(Ha),%,(MT),%,,
<1.5MT/Ha,498063,34125,8.58,44313,2.24,1.299,-4.63
1.5-4 MT/Ha,1438145,245486,61.71,876535,44.39,3.571,4.07
>4 - 10MT/Ha,469473,100665,25.31,670749,33.97,6.663,7.13
>10 MT/Ha,75202,17498,4.40,383035,19.40,21.890,-0.63
,2480883,397775,100.00,1974632,100,4.964,3.91
