Variety,2017-2018,,2018-2019,,"Percentage
changes over
previous year"
,"Area
(in acres)","Area
(in hectares)","Area
(in acres)","Area
(in hectares)",
Broadcast Aman,"9,03,078","3,65,456","8,37,169","3,38,784",(-) 7.29
"Local Transplant (L.T.)
Aman","23,13,473","9,36,212","21,55,120","8,72,130",(-) 6.84
"High Yielding Variety
(HYV)","1,08,17,952","43,77,788","1,09,00,108","44,11,035",(+) 0.76
Total Aman,"1,40,34,504","56,79,456","1,38,92,398","56,21,949",(-)1.01
