"0709-Vegetable, fresh
or chilled other",Kg,937942,160713,2327242,409742,2937929,609697,2585430,511783
"0810- Fruits, fresh,
other",Kg,169134,57676,5000,80,-,-,78980,20304
"09021-000 Green tea,
packing",Kg,4620,1863,1738,713,11299,4136,4010,1978
"09022- 000Green tea,
other(not fermented)",Kg,132025,58541,169084,79032,166871,92653,130813,75911
"0902300- Black tea
packing not exceeding
3 kg",Kg,299788,61023,460348,122550,368542,97531,422621,115365
09024000- Tea nec,Kg,10823,2617,1701930,166457,314640,33369,99454,43922
"0904- Chillies, dry",Kg,550474,95972,492322,77767,317836,72081,51473,10447
"0909- Black cumin
seeds",Kg,520709,50022,559626,133354,1198804,358651,302476,61761
"091030- 10Turmeric
(curcuma)",Kg,22805,5545,86297,30256,103680,31674,52583,24629
"Mixtures of two/more
spices,
other(09109990)",Kg,284,12,14900,3991,7435459,2610596,7379321,2733792
