"Division and
District/Zila
1","All
holdings
2","Non-Farm
holdings
3",Number of farm holdings,,,,Number of holdings,,,"Agriculture
labour
households
11"
,,,"Total
4","Small
5","Medium
6","Large
7","Owner
8","Owner-
cum-
tenant
9","Tenant
10",
