Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0,0,0,0.000,0
2,Barishal,1278,517,28.23,2.604,1347,1326,537,22.03,2.032,1090
3,Bhola,3479,1408,35.10,3.238,4558,3604,1458,37.85,3.491,5092
4,Jhalakathi,259,105,32.99,3.043,319,191,77,31.78,2.931,227
5,Patuakhali,148,60,13.59,1.254,75,0,0,0,0.000,0
6,Pirojpur,87,35,27.54,2.540,89,32,13,26.83,2.475,32
1,"Barishal
Division",5251.26,2125,32.59,3.006,6388,5153,2085,33.49,3.089,6441
7,Bandarban,0,0,0.00,0.000,0,0,0,0,0.000,0
8,Brahmanbaria,1745,706,25.28,2.332,1647,2928,1185,23.82,2.197,2603
9,Chandpur,782,316,28.83,2.659,842,985,399,27.24,2.513,1002
10,Chattogram,0,0,0.00,0.000,0,0,0,0,0.000,0
11,Cumilla,3575,1447,27.83,2.567,3714,3492,1413,28.36,2.616,3696
12,Cox' Bazar,0,0,0.00,0.000,0,0,0,0,0.000,0
13,Feni,44,18,23.81,2.196,39,141,57,27.95,2.578,147
14,Khagrachari,0,0,0.00,0.000,0,0,0,0,0.000,0
15,Laksmipur,8,3,0.00,0.000,0,0,0,0,0.000,0
16,Noakhali,0,0,0.00,0.000,0,5,2,21.01,1.938,4
17,Rangamati,0,0,0.00,0.000,0,0,0,0,0.000,0
2,"Chattogram
Division",6154,2490,27.17,2.506,6241,7550,3055,26.44,2.439,7452
18,Dhaka,659,267,29.10,2.684,716,758,307,29.04,2.679,822
19,Faridpur,68818,27849,33.95,3.132,87211,63762,25803,33.35,3.076,79375
20,Gazipur,0,0,0.00,0.000,0,135,55,20.23,1.866,102
21,Gopalgonj,17798,7202,32.09,2.960,21319,17982,7277,29.52,2.723,19814
22,Kishoregonj,1395,565,23.88,2.203,1243,2628,1063,25.1,2.315,2462
23,Madaripur,12802,5181,34.59,3.191,16529,10989,4447,35.96,3.317,14750
24,Manikgonj,6532,2643,26.81,2.473,6537,1599,647,29.21,2.694,1744
25,Munsigonj,26,11,18.79,1.733,18,0,0,0,0.000,0
26,Narayanganj,8,3,25.11,2.316,7,0,0,0,0.000,0
27,Narsingdi,2329,942,27.40,2.527,2382,1263,511,25.33,2.336,1194
28,Rajbari,29616,11985,30.85,2.846,34104,31676,12819,30.38,2.802,35921
29,Shariatpur,9727,3936,35.26,3.252,12802,9917,4013,35.12,3.239,13001
30,Tangail,14997,6069,32.78,3.024,18350,10380,4200,31.41,2.897,12169
3,"Dhaka
Division",164707,66653,32.73,3.019,201220,151089,61143,32.16,2.966,181355
31,Bagerhat,411,166,28.65,2.643,440,416,168,26.80,2.472,416
32,Chuadanga,1659,671,29.13,2.687,1804,4653,1883,29.54,2.725,5131
