District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,2715,1099,15.24,1.406,1544,1740,704,19.63,1.812,1275
2,Barishal,35611,14411,15.00,1.384,19939,18359,7429,11.59,1.069,7943
3,Bhola,99520,40274,16.12,1.487,59883,51327,20771,14.78,1.363,28317
4,Jhallokati,5189,2100,15.46,1.426,2994,3580,1449,17.97,1.658,2401
5,Patuakhali,17984,7278,11.84,1.092,7948,24714,10001,14.92,1.376,13764
6,Pirojpur,11998,4855,14.79,1.364,6624,9302,3764,14.30,1.319,4965
1,"Barishal
Division","17301
7",70016,15.32,1.413,98933,"10902
2",44118,14.42,1.330,58665
7,Bandarban,23156,9371,15.12,1.395,13069,21975,8893,16.70,1.540,13698
8,Brahmanbaria,514,208,14.56,1.343,279,568,230,13.85,1.278,294
9,Chandpur,1007,408,13.47,1.242,506,734,297,11.32,1.044,310
10,Chattogram,16809,6802,15.10,1.393,9474,13666,5530,15.13,1.396,7718
11,Cumilla,415,168,14.83,1.368,230,235,95,9.83,0.907,86
12,Cox’s Bazar,0,0,0.00,0.000,0,123,50,8.02,0.740,37
13,Feni,7115,2879,14.78,1.363,3925,5949,2407,13.99,1.290,3106
14,Khagrachari,5612,2271,23.91,2.205,5009,3949,1598,21.35,1.969,3147
15,Lakshmipur,9156,3705,15.52,1.432,5304,1233,499,14.89,1.373,685
16,Noakhali,18408,7449,15.82,1.459,10870,11297,4572,11.76,1.085,4959
17,Rangamati,14200,5746,15.29,1.410,8104,13007,5264,14.46,1.334,7021
2,"Chattogram
Division",96392,39008,15.78,1.455,56772,72735,29434,15.124,1.395,41062
18,Dhaka,18,7,21.88,2.018,15,186,75,20.99,1.936,146
19,Faridpur,26659,10788,12.37,1.141,12310,18172,7354,11.50,1.061,7801
20,Gazipur,0,0,0.00,0.000,0,0,0,0.00,0.00,0
21,Gopalganj,6460,2614,14.81,1.366,3571,4688,1897,9.73,0.897,1703
22,Kishoreganj,311,126,20.96,1.933,243,37,15,16.80,1.550,23
23,Madaripur,2918,1181,11.65,1.075,1269,2195,888,13.40,1.236,1098
24,Manikganj,2495,1010,13.01,1.200,1211,2794,1131,8.61,0.794,898
25,Munshiganj,22,9,8.52,0.786,7,15,6,8.33,0.768,5
26,Narayanganj,1426,577,10.21,0.000,543,70,28,10.48,0.967,27
27,Narsingdi,11,4,10.00,0.922,4,0,0,0,0,0
28,Rajbari,2728,1104,11.75,1.084,1196,2792,1130,14.23,1.313,1483
29,Shariatpur,16809,6802,16.17,1.492,10146,22257,9007,11.96,1.103,9936
30,Tangail,1690,684,15.02,1.385,948,254,103,14.99,1.383,142
3,"Dhaka
Division",61547,24907,13.70,1.263,31463,53460,21634,11.65,1.074,23239
31,Bagerhat,1620,656,13.07,1.206,790,841,340,15.96,1.472,501
32,Chuadanga,0,0,0.00,0.000,0,11297,4572,13.56,1.251,5718
33,Jashore,160,65,17.24,1.590,103,1438,582,13.25,1.222,711
34,Jhenaidah,418,169,15.28,1.409,238,420,170,18.46,1.703,289
35,Khulna,6095,2467,13.54,1.249,3080,6136,2483,14.81,1.366,3392
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
36,Kushtia,19895,8051,15.49,1.429,11503,10151,4108,13.56,1.251,5138
37,Magura,635,257,14.25,1.314,338,730,295,12.69,1.171,346
38,Meherpur,0,0,0.00,0.000,0,0,0,0,0,0
39,Narail,8315,3365,14.06,1.297,4364,12285,4971,13.70,1.264,6282
