District name,Oct-2023,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,607,,,436,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,432,,,332,,,313,,,229,,,0,,,0,,,530,,,367,,
Chattogram,623,,,472,,,566,,,419,,,550,,,383,,,682,,,463,,
Cox’sbazar,662,,,409,,,651,,,418,,,605,,,385,,,747,,,481,,
Cumilla,532,,,336,,,426,,,312,,,407,,,347,,,425,,,300,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,483,,,400,,,450,,,0,,,420,,,350,,,580,,,513,,
Noakhali,588,,,0,,,600,,,0,,,525,,,0,,,687,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,420,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,553,,,375,,,501,,,344,,,501,,,366,,,588,,,423,,
Sylhet,457,,,350,,,402,,,0,,,375,,,0,,,503,,,400,,
Maulavi Bazar,455,,,369,,,450,,,350,,,0,,,0,,,483,,,402,,
Sunamganj,473,,,346,,,0,,,0,,,0,,,0,,,532,,,381,,
Habiganj,488,,,350,,,0,,,0,,,0,,,0,,,506,,,410,,
Sylhet Division,468,,,354,,,426,,,350,,,375,,,-,,,506,,,398,,
Dhaka,570,,,450,,,568,,,400,,,575,,,350,,,641,,,550,,
Gazipur,600,,,500,,,0,,,0,,,556,,,469,,,705,,,565,,
Manikganj,525,,,0,,,500,,,350,,,469,,,300,,,581,,,450,,
Munshiganj,0,,,0,,,0,,,0,,,528,,,0,,,571,,,550,,
Narayanganj,0,,,0,,,0,,,0,,,0,,,0,,,493,,,423,,
Narsingdi,0,,,0,,,559,,,0,,,564,,,0,,,587,,,0,,
Faridpur,571,,,350,,,0,,,0,,,500,,,0,,,608,,,380,,
Rajbari,540,,,475,,,500,,,0,,,0,,,0,,,583,,,380,,
Madaripur,442,,,375,,,0,,,0,,,575,,,0,,,516,,,382,,
Gopalganj,500,,,0,,,0,,,0,,,425,,,300,,,505,,,400,,
Shariatpur,625,,,363,,,0,,,0,,,600,,,0,,,683,,,420,,
Tangail,610,,,440,,,517,,,390,,,510,,,340,,,620,,,495,,
Kishoreganj,500,,,0,,,516,,,0,,,537,,,0,,,560,,,0,,
Dhaka Division,548,,,422,,,527,,,380,,,531,,,352,,,589,,,454,,
Mymensing,,604,,,526,,,559,,,490,,,548,,,470,,,499,,,433,
Jamalpur,,485,,,0,,,530,,,0,,,560,,,0,,,600,,,0,
Sherpur,,512,,,300,,,546,,,320,,,563,,,0,,,596,,,350,
Netrokona,,520,,,400,,,538,,,445,,,590,,,0,,,575,,,480,
Mymensing Division,530,,,409,,,543,,,418,,,565,,,470,,,568,,,421,,
