District name,Sep-2023,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,607,,,443,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,481,,,398,,
Rangamati,432,,,332,,,313,,,229,,,0,,,0,,,530,,,377,,
Chattogram,659,,,465,,,595,,,420,,,572,,,450,,,732,,,483,,
Cox’sbazar,681,,,404,,,651,,,418,,,627,,,390,,,764,,,481,,
Cumilla,527,,,336,,,419,,,312,,,410,,,330,,,578,,,310,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,472,,,375,,,450,,,0,,,405,,,350,,,585,,,500,,
Noakhali,588,,,0,,,600,,,0,,,525,,,0,,,687,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,488,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,557,,,369,,,505,,,345,,,508,,,380,,,614,,,428,,
Sylhet,469,,,350,,,421,,,0,,,375,,,0,,,503,,,400,,
Maulavi Bazar,455,,,354,,,450,,,325,,,0,,,0,,,483,,,401,,
Sunamganj,466,,,331,,,0,,,0,,,0,,,0,,,535,,,367,,
Habiganj,488,,,325,,,0,,,0,,,0,,,0,,,489,,,370,,
Sylhet Division,469,,,340,,,436,,,325,,,375,,,-,,,503,,,385,,
Dhaka,600,,,450,,,568,,,400,,,560,,,350,,,641,,,550,,
Gazipur,650,,,525,,,550,,,500,,,550,,,463,,,720,,,580,,
Manikganj,525,,,0,,,485,,,388,,,460,,,350,,,595,,,492,,
Munshiganj,0,,,0,,,0,,,0,,,500,,,0,,,548,,,450,,
Narayanganj,0,,,0,,,0,,,0,,,0,,,0,,,494,,,427,,
Narsingdi,0,,,0,,,552,,,362,,,508,,,0,,,567,,,0,,
Faridpur,609,,,360,,,0,,,0,,,550,,,0,,,637,,,314,,
Rajbari,583,,,0,,,543,,,0,,,0,,,0,,,630,,,400,,
Madaripur,450,,,400,,,0,,,0,,,550,,,0,,,538,,,433,,
Gopalganj,650,,,0,,,0,,,0,,,525,,,450,,,550,,,500,,
Shariatpur,625,,,363,,,0,,,0,,,600,,,0,,,683,,,420,,
Tangail,533,,,430,,,521,,,380,,,502,,,330,,,610,,,490,,
Kishoreganj,500,,,0,,,522,,,0,,,590,,,0,,,582,,,0,,
Dhaka Division,572,,,421,,,534,,,406,,,536,,,389,,,600,,,460,,
Mymensing,,528,,,438,,,554,,,480,,,610,,,530,,,631,,,552,
Jamalpur,480,480,,0,0,,515,515,,0,0,,540,540,,0,0,,585,585,,0,0,
Sherpur,,510,,,300,,,546,,,320,,,560,,,0,,,600,,,350,
Netrokona,,515,,,400,,,550,,,445,,,600,,,0,,,630,,,467,
Mymensing Division,508,,,379,,,541,,,415,,,578,,,530,,,612,,,456,,
