District name,Aug-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,667,,,467,,,617,,,425,,,600,,,375,,,657,,,471,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,438,,,313,,,413,,,300,,,0,,,0,,,513,,,357,,
Chattogram,705,,,493,,,624,,,422,,,585,,,372,,,740,,,518,,
Cox’sbazar,770,,,425,,,716,,,425,,,700,,,400,,,856,,,500,,
Cumilla,628,,,325,,,556,,,338,,,500,,,312,,,738,,,488,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,470,,,400,,,450,,,350,,,405,,,300,,,604,,,513,,
Noakhali,619,,,0,,,650,,,0,,,600,,,0,,,717,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,490,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,600,,,389,,,575,,,377,,,565,,,352,,,646,,,464,,
Sylhet,471,,,350,,,414,,,0,,,375,,,0,,,516,,,400,,
Maulavi Bazar,515,,,420,,,400,,,376,,,0,,,0,,,533,,,443,,
Sunamganj,478,,,347,,,0,,,0,,,0,,,0,,,521,,,386,,
Habiganj,520,,,425,,,0,,,0,,,0,,,0,,,530,,,440,,
Sylhet Division,496,,,386,,,407,,,376,,,375,,,-,,,525,,,417,,
Dhaka,680,,,500,,,600,,,450,,,590,,,400,,,690,,,550,,
Gazipur,688,,,450,,,650,,,400,,,575,,,350,,,735,,,555,,
Manikganj,600,,,0,,,575,,,430,,,507,,,400,,,640,,,525,,
Munshiganj,0,,,0,,,0,,,0,,,524,,,0,,,598,,,450,,
Narayanganj,655,,,550,,,613,,,530,,,555,,,0,,,668,,,576,,
Narsingdi,0,,,0,,,588,,,0,,,568,,,0,,,597,,,0,,
Faridpur,652,,,335,,,0,,,0,,,0,,,0,,,696,,,337,,
Rajbari,633,,,0,,,583,,,0,,,0,,,0,,,670,,,0,,
Madaripur,517,,,475,,,0,,,0,,,700,,,0,,,620,,,514,,
Gopalganj,650,,,0,,,0,,,0,,,525,,,300,,,605,,,400,,
Shariatpur,625,,,375,,,0,,,0,,,600,,,0,,,679,,,430,,
Tangail,600,,,420,,,553,,,380,,,513,,,330,,,629,,,423,,
Kishoreganj,0,,,0,,,560,,,0,,,643,,,0,,,626,,,0,,
Dhaka Division,630,,,444,,,590,,,438,,,573,,,356,,,650,,,476,,
Mymensing,595,,,518,,,575,,,480,,,524,,,400,,,655,,,550,,
Jamalpur,580,,,-,,,560,,,-,,,535,,,0,,,630,,,0,,
Sherpur,,590,,,350,,,545,,,300,,,560,,,0,,,630,,,400,
Netrokona,,545,,,470,,,540,,,450,,,505,,,405,,,600,,,500,
Mymensing Division,578,,,446,,,555,,,410,,,531,,,403,,,629,,,483,,
