District/ Division,,,"Area Under Garden
(acre)",,,"Production of Inside
Garden (M.Tons)",,,"Production of Outside
Garden (M.Tons)",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
16,,Noakhali,363,364.94,367.20,0,0.00,0.00,1970,2217.73,2231.70,1970,2217.73,2231.70
17,,Rangamati,1053,1187.31,1228.73,3397,3110.96,3049.25,2932,2677.78,2590.44,6329,5788.74,5639.68
Chattogram Division,,,11112,11088.04,11045.31,41877,42224.18,39866.95,25061,25865.89,24742.52,66938,68090.07,64609.47
18,,Dhaka,271,270.89,269.95,2177,2262.47,2114.41,1696,1999.22,1861.53,3873,4261.69,3975.94
19,,Faridpur,300,230.00,232.00,247,278.95,360.29,1169,1128.25,1132.41,1416,1407.20,1492.70
20,,Gazipur,3108,2770.46,2763.00,3098,2882.83,2784.63,1829,1851.17,1957.37,4927,4734.00,4742.00
21,,Gopalganj,279,301.00,302.25,0,0.00,35.69,1781,1945.75,2106.00,1781,1945.75,2141.69
22,,Kishoreganj,224,216.86,214.76,276,259.57,269.18,2621,2520.24,2604.92,2897,2779.81,2874.10
23,,Madaripur,162,158.04,166.39,166,149.80,152.65,575,527.28,549.84,741,677.08,702.49
24,,Manikganj,196,203.31,203.93,300,342.61,350.74,1051,1130.79,1128.56,1351,1473.40,1479.30
25,,Munshiganj,86,87.24,84.64,26,30.43,30.71,568,588.63,588.55,594,619.06,619.26
26,,Narayanganj,46,57.62,57.78,361,357.28,361.74,600,601.65,608.52,961,958.93,970.26
27,,Narsingdi,302,303.27,303.81,1345,1524.01,1489.85,2987,3384.77,3401.15,4332,4908.78,4891.00
28,,Rajbari,300,300.08,334.56,330,366.01,412.89,1480,1472.28,1690.21,1810,1838.29,2103.10
29,,Shariatpur,292,291.94,297.07,113,112.75,127.25,1087,1087.25,1173.75,1200,1200.00,1301.00
30,,Tangail,399,542.28,527.60,870,1440.86,1449.19,3381,3977.64,3889.21,4251,5418.50,5338.40
Dhaka Division,,,5965,5732.99,5757.74,9309,10007.57,9939.22,20825,22214.92,22692.02,30134,32222.49,32631.24
31,,Bagerhat,231,216.74,227.35,370,264.74,235.09,1493,1677.56,1720.23,1863,1942.30,1955.32
32,,Chuadanga,204,191.77,170.20,999,1105.27,1257.75,1006,1031.43,1022.06,2005,2136.70,2279.81
33,,Jashore,1045,1021.30,991.21,3391,3504.87,3759.00,4334,4558.13,4667.46,7725,8063.00,8426.46
34,,Jhenaidah,414,471.18,483.21,1792,2054.01,2623.02,3112,3315.59,2745.44,4904,5369.60,5368.46
35,,Khulna,446,432.04,430.21,127,194.44,203.32,2082,2025.06,2020.38,2209,2219.50,2223.70
36,,Kushtia,449,519.00,546.00,2346,2613.67,3348.69,4908,4640.32,6246.31,7254,7253.99,9595.00
37,Magura,,219,211.10,210.44,1299,1340.46,1428.61,1090,1073.44,1093.02,2389,2413.90,2521.63
38,Meherpur,,315,318.78,324.25,797,1037.57,1116.51,769,770.03,814.23,1566,1807.60,1930.74
39,Narail,,386,385.93,386.47,166,166.65,168.11,1847,1857.35,1864.49,2013,2024.00,2032.60
40,Satkhira,,705,718.90,722.14,586,591.18,611.13,1166,1177.92,1212.45,1752,1769.10,1823.58
Khulna Division,,,4414,4486.74,4491.48,11873,12872.86,14751.23,21807,22126.83,23406.07,33680,34999.69,38157.30
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,650,659.00,665.00,23,33.57,33.67,3696,3895.44,3967.33,3719,3929.01,4001.00
42,Mymensingh,1532,1554.00,1554.00,248,263.96,287.95,3781,3903.04,4255.05,4029,4167.00,4543.00
43,Netrokona,247,296.00,308.00,96,173.89,221.33,2319,2326.11,2534.67,2415,2500.00,2756.00
44,Sherpur,303,304.00,313.00,102,107.63,107.50,1103,1105.38,1131.50,1205,1213.01,1239.00
Mymensingh Division,,2732,2813.00,2840.00,469,579.05,650.45,10899,11229.97,11888.55,11368,11809.02,12539.00
45,Bogura,351,382.39,389.00,661,1127.08,676.86,3304,3387.92,3893.14,3965,4515.00,4570.00
46,Joypurhat,106,106.70,77.00,123,97.95,96.88,571,485.82,403.12,694,583.77,500.00
47,Naogaon,418,404.82,416.00,123,359.39,780.74,1623,1609.36,1913.27,1746,1968.75,2694.01
48,Natore,535,704.96,754.00,2165,3766.72,4278.96,2600,2982.18,2932.04,4765,6748.90,7211.00
49,Chapai Nawabganj,840,833.42,873.00,2920,3123.06,4121.77,1351,1582.42,1803.23,4271,4705.48,5925.00
50,Pabna,537,470.63,501.00,4142,4227.13,4763.99,2844,3283.68,3277.01,6986,7510.81,8041.00
51,Rajshahi,1569,1512.88,1544.00,7192,7076.25,7426.01,2878,3017.65,3321.99,10070,10093.90,10748.00
52,Sirajganj,158,162.08,161.00,484,495.21,518.09,2419,2458.07,2545.91,2903,2953.28,3064.00
Rajshahi Division,,4514,4577.88,4715.00,17810,20272.79,22663.30,17590,18807.10,20089.71,35400,39079.89,42753.01
53,Dinajpur,373,326.31,353.00,313,433.55,454.20,1784,2136.03,2212.87,2097,2569.58,2667.07
54,Gaibandha,279,302.52,302.82,0,31.05,33.62,1389,1364.77,1479.18,1389,1395.82,1512.80
55,Kurigram,141,139.22,150.00,94,107.30,113.19,834,862.70,886.81,928,970.00,1000.00
56,Lalmonirhat,331,333.62,335.55,289,285.06,289.76,803,788.35,799.19,1092,1073.41,1088.95
57,Nilphamari,140,144.78,154.55,59,57.81,63.88,1516,1492.69,1543.28,1575,1550.50,1607.16
58,Panchagar,381,381.11,382.57,158,157.79,139.73,1340,1338.61,1333.37,1498,1496.40,1473.10
59,Rangpur,209,215.56,235.41,167,181.16,199.69,1346,1400.65,1148.64,1513,1581.81,1348.33
60,Thakurgaon,112,144.71,146.18,170,283.24,283.11,562,905.25,919.58,732,1188.49,1202.69
Rangpur Divison,,1966,1987.83,2060.08,1250,1536.96,1577.18,9574,10289.05,10322.92,10824,11826.01,11900.10
61,Habiganj,546,605.00,632.61,378,444.99,289.57,1697,2539.39,1651.75,2075,2984.38,1941.32
62,Moulvibazar,301,197.65,203.55,1116,870.71,831.32,1374,1773.71,1723.87,2490,2644.42,2555.19
63,Sunamganj,1324,1326.00,1325.00,0,0.00,0.00,596,624.00,841.00,596,624.00,841.00
64,Sylhet,514,516.00,523.00,150,191.89,260.44,1519,1570.10,2046.56,1669,1761.99,2307.00
Sylhet Division,,2685,2644.65,2684.16,1644,1507.59,1381.33,5186,6507.20,6263.18,6830,8014.79,7644.51
BANGLADESH,,44742,45386.94,45569.77,117359,121995.50,122338.34,127498,134110.06,135646.30,243957,256105.56,"257984.6
4"
