Source,Area (Ha),"Production
(MT)",%,MT/Ha,"Growth Rate
(%)"
Subsistence Fisheries,2317175,629615,80.74,0.272,0.96
Fry Released Program,82676,38407,4.93,0.465,-21.61
Haor,251717,111779,14.33,0.444,2.66
Total,2651567,779801,100,0.294,1.49
