38,Meherpur,17,17,65.69,0,0,117.13,31,32,30.70,31,32,30.70
39,Narail,66,30,226.39,73,43,44.90,257,2,206.57,330,45,323.70
40,Satkhira,3,232,1859.83,0,0,179.67,469,286,399.86,469,461,444.76
4,Khulna Division,712,675,4.50,73,73,0,4853,4355,4566.72,4926,4573,"4746.3
9"
41,Jamalpur,0,0,4,0,0,0,0,0,11,0,0,11
42,Mymensingh,0,2,1.07,0,0,0,7,4,6,7,4,6
43,Netrokona,0,1,4,0,0,0,10,1,10,10,1,10
44,Sherpur,0,0,13.57,0,0,0,0,1,7,0,1,7
5,"Mymensingh
Division",0,3,7.98,0,0,0,17,6,34,17,6,34
45,Bogura,9,9,6.10,0,0,0,70,69,40.56,70,69,40.56
46,Joypurhat,0,6,24.33,0,0,0,6,19,32.74,6,19,32.74
47,Naogaon,22,24,4.30,0,0,0,50,52,47.40,50,52,47.40
48,Natore,0,14,0.32,0,0,0,15,21,27.12,15,21,27.12
49,Chapai Nawabganj,0,1,8.97,0,0,0,3,3,3.10,3,3,3.10
50,Pabna,0,9,15.69,0,0,0,68,76,77,68,76,77
51,Rajshahi,12,16,4.89,0,0,13.00,80,92,82.43,80,92,82.43
52,Sirajganj,0,4,72.58,0,0,13,36,32,36.20,36,48,49.20
6,Rajshahi Division,43,83,5.47,0,0,0,328,364,346.55,328,380,359.55
53,Dinajpur,4,5,0.79,0,0,0,10,10,11.69,10,10,11.69
54,Gaibandha,1,1,4.46,0,0,0,1,1,0.95,1,1,0.95
55,Kurigram,17,4,3.07,0,0,0,15,16,17.78,15,16,17.78
56,Lalmonirhat,1,2,4.52,0,0,0,6,6,7.16,6,6,7.16
57,Nilphamari,6,5,20.36,0,0,0,22,19,18.19,22,19,18.19
58,Panchagar,18,18,6.10,0,0,0,121,134,135,121,134,135
59,Rangpur,5,5,0.84,0,0,0,13,16,16.02,13,16,16.02
60,Thakurgaon,1,1,45.61,0,0,0,4,4,4.40,4,4,4.40
7,Rangpur Divison,53,41,0.00,0,0,0,192,206,211.19,192,206,211.19
61,Habiganj,0,0,7.02,0,0,0,0,0,0,0,0,0
62,Moulvibazar,0,12,277.00,0,0,0,0,29,28.68,0,29,28.68
63,Sunamganj,0,11,2.75,0,0,0,0,26,26,0,26,26
64,Sylhet,0,4,286.77,0,0,0,6,7,6.53,6,7,6.53
8,Sylhet Division,0,27,17.28,0,0,0,6,62,61.21,6,62,61.21
BANGLADESH,,5832,5913,6649.34,1660,1660,1089.75,10961,11154,"11677.5
7",12621,12326,"12767.
32"
