District/ Division,,2019-20,,,,,2020-2021,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund
)","Hector
s (M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,120158,48625,15.77,1.455,70731,125364,50732,16.19,1.493,75761
2,Barishal,200846,81278,12.53,1.156,93938,183604,74301,17.37,1.602,119044
3,Bhola,109299,44231,19.62,1.810,80046,77641,31420,19.06,1.758,55238
4,Jhallokati,93945,38017,19.77,1.824,69328,92995,37633,19.17,1.768,66544
5,Patuakhali,214639,86860,12.39,1.143,99267,249094,100803,13.19,1.216,122641
6,Pirojpur,127207,51478,19.47,1.796,92450,124484,50376,15.62,1.440,72581
1,"Barishal
Division",866094,350489,15.64,1.443,505761,853182,345264,16.0709,1.482,511810
7,Bandarban,753,305,17.28,1.594,486,733,297,16.52,1.523,452
8,Brahmanbaria,8735,3535,12.91,1.191,4209,12454,5040,18.06,1.665,8396
9,Chandpur,21938,8878,12.60,1.162,10318,22354,9046,13.22,1.219,11031
10,Chattogram,62708,25377,17.70,0.000,41431,66705,26994,16.85,1.554,41955
11,Cumilla,9425,3814,15.73,1.451,5534,6768,2739,14.55,1.342,3676
12,Cox’s Bazar,7246,2932,15.26,1.408,4127,6260,2533,15.99,1.474,3736
13,Feni,16532,6690,14.89,1.373,9189,15973,6464,17.61,1.624,10500
14,Khagrachari,3834,1552,18.79,1.733,2689,3661,1482,16.94,1.562,2315
15,Lakshmipur,36156,14632,14.22,1.312,19192,28813,11660,17.67,1.629,19004
16,Noakhali,130826,52942,18.17,1.676,88731,80854,32720,15.39,1.419,46448
17,Rangamati,594,240,15.85,1.462,351,574,232,14.25,1.314,305
2,"Chattogram
Division",298747,120896,16.70,1.541,186257,245149,99207,16.1536,1.490,147818
18,Dhaka,4785,1936,19.48,1.797,3479,4731,1915,26.89,2.480,4749
19,Faridpur,7659,3099,17.88,0.000,5112,6713,12801,13.39,1.235,15811
20,Gazipur,8324,3368,18.41,1.698,5720,8225,3328,13.84,1.276,4249
21,Gopalganj,10523,4258,17.33,1.599,6807,0,0,0,0,0
