District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M. Tons)",,
22,Kishoreganj,1472,1435,450.44,1479,240,280.98,1777,3495,3528.52,3256,3735,3809.50
23,Madaripur,51,52,51.89,0,0,0,268,74,264.90,268,74,264.90
24,Manikganj,116,117,117.35,0,0,0,199,45,203.59,199,84,203.59
25,Munshiganj,47,40,11.43,0,0,0,90,84,85.47,90,338,85.47
26,Narayanganj,28,28,27.90,187,200,199.59,141,138,137.01,328,765,336.60
27,Narsingdi,460,450,93.43,37,39,38.59,735,726,705.03,772,248,743.62
28,Rajbari,232,228,163.34,446,460,559.68,1334,1286,1194.70,1780,1099,1754.38
29,Shariatpur,343,345,80.15,0,0,0,203,248,246.60,203,11610,246.60
30,Tangail,851,751,108.15,46,48,55.8,1049,1051,1060.82,1095,628,1116.62
3,Dhaka Division,5845,4528,2521.28,2699,2711,1708.26,7191,8899,9294.58,9890,310,"11002.8
4"
31,Bagerhat,41,46,69.47,0,5,4.18,626,6543,556.14,626,2950,560.32
32,Chuadanga,172,165,60.05,154,154,153.16,149,23,144.31,303,395,297.47
33,Jashore,1684,1378,489,1099,1126,1161.92,1853,42,1851.80,2952,369,3013.72
34,Jhenaidah,566,330,77.15,618,69,66.42,375,331,153.53,993,3012,219.95
35,Khulna,457,460,86.64,0,0,0,368,404,320,368,1011,320
36,Kushtia,992,890,450,1024,1084,1327.87,1888,978,2727.13,2912,861,4055
37,Magura,770,506,372.86,547,30,39,505,981,2141.88,1052,1011,2180.88
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,367,380,383.90,653,671,200.61,198,190,199.06,851,861,871.35
39,Narail,543,393,292,201,210,370.86,727,728,731.75,928,929,932.36
40,Satkhira,514,350,245.43,228,338,3996.31,410,300,305.16,638,638,676.02
4,Khulna Division,6830,4898,2526.50,4524,3678,487.52,7099,7416,9130.76,11623,11094,"13127.0
7"
41,Jamalpur,840,751,451,636,488,0,1244,1416,1435.48,1880,1923,1923
42,Mymensingh,3165,2530,1530,221,0,0,6260,4228,3328,6481,4228,3328
43,Netrokona,385,304,204,0,0,0,520,767,767,520,767,767
44,Sherpur,342,50,15.11,2,0,487.52,548,556,66,550,556,66
5,"Mymensingh
Division",4733,3635,2200.11,859,488,929.17,8572,6986,5596.48,9431,7474,6084
45,Bogura,940,624,255.63,65,617,94.41,2017,1333,1272.63,2082,1950,2201.80
46,Joypurhat,132,133,44.90,43,98,250.19,286,227,225.22,329,325,319.63
47,Naogaon,507,407,131.08,338,332,1890.15,915,903,1022.81,1253,1235,1273
48,Natore,2376,1290,168.70,1026,1533,252.62,1723,1021,1370.85,2749,2554,3261
49,Chapai Nawabganj,276,300,227.09,238,242,3326.48,459,472,487.70,697,714,740.32
50,Pabna,1991,1992,887.02,4013,4013,2025.85,3169,3169,4101.22,7182,7182,7427.70
51,Rajshahi,1000,722,691.69,2056,2019,245.1,2082,1709,1811.55,4138,3728,3837.40
52,Sirajganj,281,231,32.78,22,15,9013.97,594,594,335.50,616,609,580.60
6,"Rajshahi
Division",7763,5699,2438.89,7801,8869,6705.87,11245,9428,"10627.4
8",19046,18297,"19641.4
5"
53,Dinajpur,3127,1957,197.30,6490,6543,22.92,3711,3807,3898.13,10201,10350,10604
54,Gaibandha,434,210,114.45,23,23,78.16,388,408,420.91,411,431,443.83
55,Kurigram,418,211,122.67,40,42,375.29,561,559,617.04,601,601,695.20
56,Lalmonirhat,380,320,180.84,299,331,414.72,366,399,451.76,665,730,827.05
57,Nilphamari,838,607,398.62,390,404,914.63,1244,1109,1103.51,1634,1513,1518.23
58,Panchagar,3980,1787,728.44,947,978,2156.36,1672,1813,1714.37,2619,2791,2629
59,Rangpur,939,739,288.03,369,504,1180.16,1384,1562,2187.53,1753,2066,4343.89
60,Thakurgaon,809,322,221.90,1153,1184,11848.11,1335,1368,1359.46,2488,2525,2539.62
7,Rangpur Divison,10924,6153,2252.25,9711,10009,64.14,10661,11025,"11752.7
1",20372,21034,"23600.8
2"
61,Habiganj,177,141,140.63,56,64,45.08,262,315,314.86,318,379,379
62,Moulvibazar,77,205,125.01,41,38,0,798,804,866.92,839,842,912
63,Sunamganj,329,733,831,25,0,13.59,281,304,378,306,304,378
64,Sylhet,188,108,64.58,17,11,122.81,354,236,176.96,371,247,190.55
8,Sylhet Division,1029,1187,1161.22,139,113,200.61,1695,1659,1736.74,1834,1772,871.35
BANGLADESH,,43901,31591,17279.99,29199,29888,32307.78,50635,51032,"54876.0
2",79834,80920,"87183.8
0"
