District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,379,433,302,0,0,0,107,818.34,271.84,107,818.34,271.84
2,Barishal,248,331,105,0,0,0,238,728.66,560.54,238,728.66,560.54
3,Bhola,100,291,53.37,0,0,0,257,1872.1,286.70,257,1872.1,286.70
4,Jhallokati,2030,2057,2003,0,0,0,970,7269.78,3065.97,970,7269.78,"3065.9
7"
5,Patuakhali,304,377,301.76,0,0,0,158,431.59,420.38,158,431.59,420.38
6,Pirojpur,95,129,87,0,0,0,80,375.54,140.13,80,375.54,140.13
1,Barishal Division,3846,3618,2852.32,0,0,0,1810,11496.01,4745.56,1810,11496.01,"4745.5
6"
7,Bandarban,39,132,69.40,3,11.21,9.43,70,173.76,183.33,73,184.97,192.76
8,Brahmanbaria,118,260,24.71,0,0,0,71,235.41,250.83,71,235.41,250.83
9,Chandpur,216,313,42.00,0,0,0,101,302.67,276.05,101,302.67,276.05
10,Chattogram,563,559,41.07,6,0,0,295,1703.94,481.20,301,1703.94,481.20
11,Cumilla,135,276,126.74,2,39.24,88.51,204,2253.24,774.11,206,2292.48,862.62
12,Cox’s Bazar,190,250,13.30,0,0,0,40,140.13,177.80,40,140.13,177.80
13,Feni,110,195,30.11,0,0,0,47,184.97,56.78,47,184.97,56.78
14,Khagrachari,294,372,38.84,0,0,0,27,67.26,64.68,27,67.26,64.68
15,Lakshmipur,82,275,119.12,0,0,0,52,874.39,280.26,52,874.39,280.26
16,Noakhali,381,250,30.66,0,0,0,117,431.59,111.82,117,431.59,111.82
17,Rangamati,197,823,624.13,0,0,87.65,244,1485.35,1413.01,244,1485.35,"1500.6
6"
2,"Chattogram
Division",3047,3705,1160.08,11,50.45,185.59,1268,7852.71,4069.87,1279,7903.16,"4255.4
6"
18,Dhaka,45,152,27,4,0,0,39,190.57,162.56,43,190.57,162.56
19,Faridpur,15,396,103,0,0,0,129,728.66,737.07,129,728.66,737.07
20,Gazipur,95,322,136,0,0,0,72,431.59,431.59,72,431.59,431.59
21,Gopalganj,69,385,86,8,0,0,138,952.86,448.41,146,952.86,448.41
22,Kishoreganj,128,215,125.14,0,0,0,38,773.5,790.32,38,773.5,790.32
23,Madaripur,76,287,71.49,0,0,0,82,201.78,582.93,82,201.78,582.93
24,Manikganj,32,275,40.94,0,0,0,41,184.97,184.97,41,184.97,184.97
25,Munshiganj,6,224,5.77,0,0,0,39,95.29,89.68,39,95.29,89.68
26,Narayanganj,10,222,8.27,0,0,0,5,33.63,28.03,5,33.63,28.03
27,Narsingdi,49,210,47.25,0,0,0,197,510.06,510.06,197,510.06,510.06
28,Rajbari,27,260,148.51,0,0,92.82,97,358.72,337.09,97,358.72,429.91
29,Shariatpur,15,392,80.18,0,0,0,112,381.15,644.58,112,381.15,644.58
30,Tangail,225,536,75.86,0,0,0,13,1182.67,1199.49,13,1182.67,"1199.4
9"
3,Dhaka Division,3776,3876,955.41,12,0,92.82,1002,6025.45,6146.78,1014,6025.45,"6239.6
0"
31,Bagerhat,15,216,28.90,0,0,0,87,538.09,246.62,87,538.09,246.62
32,Chuadanga,123,205,66.15,0,0,0,159,734.27,638.98,159,734.27,638.98
33,Jashore,202,412,204.53,0,0,0,159,936.05,936.05,159,936.05,936.05
34,Jhenaidah,35,193,51.35,0,0,0,138,1025.73,403.57,138,1025.73,403.57
35,Khulna,35,169,10.58,0,0,0,83,336.3,89.68,83,336.3,89.68
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
36,Kushtia,29,144,29.00,0,0,0,145,1008.91,470.83,145,1008.91,470.83
37,Magura,47,198,34.60,0,0,0,108,605.35,610.95,108,605.35,610.95
38,Meherpur,44,149,50.30,0,0,0,39,235.41,224.20,39,235.41,224.20
39,Narail,163,375,316.14,0,0,0,162,857.58,784.71,162,857.58,784.71
40,Satkhira,149,255,137.13,0,0,0,52,297.07,437.20,52,297.07,437.20
4,Khulna Division,2358,2317,928.68,0,0,0,1132,6574.76,4842.79,1132,6574.76,"4842.7
9"
41,Jamalpur,192,455,289,0,0,0,460,1451.71,1003.31,460,1451.71,"1003.3
1"
42,Mymensingh,152,511,536,0,0,0,259,1149.04,257.83,259,1149.04,257.83
43,Netrokona,73,250,222.57,0,0,0,118,1294.77,229.81,118,1294.77,229.81
44,Sherpur,38,311,269.48,0,0,0,176,1429.29,532.48,176,1429.29,532.48
5,"Mymensingh
Division",1695,1527,1317.05,0,0,0,1013,5324.81,2023.43,1013,5324.81,"2023.4
3"
45,Bogura,140,301,158.54,0,0,0,354,1625.47,898.05,354,1625.47,898.05
46,Joypurhat,106,273,35.80,0,0,0,235,1126.62,694.92,235,1126.62,694.92
47,Naogaon,116,252,100.46,0,0,0,91,1300.38,574.63,91,1300.38,574.63
48,Natore,70,263,58.90,0,0,0,165,1317.19,758.93,165,1317.19,758.93
49,Chapai Nawabganj,32,152,30.51,0,0,0,34,173.76,187.88,34,173.76,187.88
50,Pabna,115,285,65.08,4,0,0,585,807.13,805.72,1585,1585,805.72
51,Rajshahi,49,172,43.72,0,0,0,63,274.65,129.20,63,274.65,129.20
52,Sirajganj,82,223,29.49,0,0,0,122,672.61,644.58,122,672.61,644.58
6,Rajshahi Division,1843,1921,522.50,4,0,0,1649,7297.81,4693.91,1653,7297.81,"4693.9
1"
53,Dinajpur,90,227,73,0,0,0,207,1098.59,1143.44,207,1098.59,"1143.4
4"
54,Gaibandha,27,110,26.83,0,0,0,33,358.72,189.45,33,358.72,189.45
55,Kurigram,25,182,29.31,0,0,0,93,493.25,500.03,93,493.25,500.03
56,Lalmonirhat,54,206,72.14,0,0,0,137,689.42,615.66,137,689.42,615.66
57,Nilphamari,15,155,23.47,0,0,0,98,650.19,290.86,98,650.19,290.86
