Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug,Sep.,Oct.,Nov.,Dec.
Dhaka,14.6,16.8,21.1,23.6,25.6,26.5,26.8,27.1,26.5,24.4,20.7,15.4
Tangail,11.6,14.7,19.1,22.4,24.4,25.3,25.7,26.7,25.7,23.1,19.1,13.1
Mymensingh,12.2,15.5,18.9,22.3,24.2,26.1,26.7,27.3,26.3,23.3,19.2,13.4
Faridpur,11.8,14.6,19.5,22.9,25.3,25.8,26,26.1,25.6,23,19.7,14
Madaripur,11.2,14.4,19.1,22.8,25.5,26,26.3,26.2,25.8,23.8,19.4,13.9
Srimangal,9.7,12.6,17.2,21,23.8,25.6,25.7,25.9,25.2,22.9,17.9,12.1
Sylhet,13.8,15.7,19.1,21.4,23,25.5,25.7,26.4,25.6,23.4,19.8,14.9
Bogura,12.6,15.5,19.2,23.1,25.3,26.2,26.8,27.6,26.5,23.6,19.8,13.6
Dinajpur,10.4,13.8,16.6,21.5,23.7,25.6,26.6,27,25.7,22.7,18.2,11.4
Ishwardi,10.5,13.1,17.8,22.9,25.7,26.2,26.6,26.8,26.3,22.9,18.5,12.4
Rajshahi,10.4,13.2,17.5,23,25.5,26.3,26.5,26.9,26.2,23,18.3,12.5
Rangpur,11.6,14.5,17.3,21.7,23.3,25.5,26.4,27.3,25.8,23.1,19.5,12.7
Syedpur,10.8,14.2,16.7,21.2,23.2,25.3,26.5,26.9,25.4,22.5,18.5,11.9
Chuadanga,9.6,13,18.6,22.9,26.1,26.7,26.7,26.5,26,22.9,18,12.4
Jashore,12.9,13.9,19.3,23.4,26.2,26.6,27,26.7,26.1,23.6,18.8,12.7
Khulna,12.3,15.7,21.3,24.2,26.7,27.2,27.1,26.7,26.2,24.4,20.3,15.1
Mongla,13.2,16.3,21.3,24.5,26.8,26.9,26.8,26.6,26.1,24.4,20.7,15.7
Satkhira,11.1,15,20.2,24.2,26.8,27.2,27.2,26.4,26.4,24.6,20.1,14.8
Barishal,10.7,14.4,20,23.4,26.3,26.7,26.4,26.4,25.9,23.7,19.3,13.6
Bhola,11.5,15.2,20.6,23.9,26.5,26.8,26.4,26.5,26.1,24.1,19.8,14.3
Khepupara,12,15.5,21,24.2,26.7,26.7,26.6,26.3,26,24.2,20.1,14.9
Patuakhali,12.9,16.2,21.3,24.1,26.5,26.7,26.6,26.7,26.1,24.7,20.6,15.2
Chandpur,14.6,16.7,21,24.1,26.4,26.9,26.4,26.7,26.4,24.7,21.1,15.8
Ambagan(Ctg,14.5,17,20.9,24,25.9,26.6,25.7,26.2,25.6,24.6,21,16
Chittagong,14.7,17.4,21.3,24.1,26.3,26.7,25.8,26.3,25.7,25.1,21.7,16
Cumilla,12.2,15.9,19.7,22.9,25.4,26.4,26.2,26.5,25.9,24.3,19.7,13.9
Cox's Bazar,15.5,18.2,21.5,24.5,27,26.3,25.6,25.8,25.4,25.1,22.3,16.8
Feni,12.4,15.4,20,23.2,25.8,26.1,25.7,26.1,25.4,24,19.9,14.3
Hatiya,12.7,15.6,20.5,23.5,26,26.8,26.1,26.4,25.9,24.4,20.5,15.3
Kutubdia,14.5,17.1,20.9,23.8,26.9,26.6,25.8,26.1,25.6,25.1,21.4,16.1
M.court,13.9,16.4,20.6,23.6,26.1,26.7,26.3,26.8,26.3,25,21.6,15.9
Rangamati,12.1,14.7,18.6,22.4,25.4,25.4,24.9,25.2,24.9,24,20.4,14.4
Sandwip,12.5,15.6,20.1,23.4,26.1,26.4,25.7,26.2,25.8,24.1,20,14.5
Sitakunda,11.2,14.3,19.4,23.1,25.7,26.3,25.8,26.3,25.6,23.9,19.1,13.4
Teknaf,13.5,15.9,20.3,22.5,26.9,25.7,24.7,25,24.9,24.8,21.6,16
Gopalgonj,11,14.4,20.3,23.1,26,26.8,26.5,26.3,25.7,23.3,18.7,13.8
Tarash,13.3,15.9,18.7,22.5,25,26.3,27,27.6,26.5,23.4,19.5,13.3
Netrokona,12.5,15.5,18.6,21.8,23.2,25.9,26.4,27,25.9,23.3,19.6,13.6
Rajarhat,9.4,13.1,15.9,20.8,22.8,25.2,26,26.8,25.5,22.2,18.2,11.3
Badalgachhi,10.6,14.7,17.7,21.9,24.6,25.8,26.2,26.8,25.8,22.6,18,11.9
Dimla,10.3,14.3,16.4,20.8,22.8,25.6,26.3,27.3,25.4,22.5,18.5,11.6
Netrokonai,12,14.8,19.8,23.4,25.9,26.4,26.6,27,26.4,24,20,13.8
