SL.No,Items,Year,,,,,
,,2018-19,,2019-20,,2020-21,
,,Area in (`000`acre),,Area in (`000`acre),,Area in (`000`acre),
,,Acre,Hectare,Acre,Hectare,Acre,Hectare
1.,Net cropped Area,19973,8083,20081,8126,19972,8083
2.,Gross Cropped Area,39357,15927,39678,16057,39493,15983
3.,Single Cropped Area,5271,2133,5216,2110,5160,2088
4.,Double Cropped Area,10065,4073,10194,4125,10166,4114
5.,Triple Cropped Area,4594,1859,4613,1867,4594,1854
6.,Quadruple Cropped Area,43,17,56,23,53,21
7.,Current Fallow Area,1126,456,1066,431,1118,452
8.,Intensity of Cropping (%),197,80,198,80,198,80
9.,Total Irrigated area,19217,7777,19469,7879,19629,7944
10.,"Total Cereals
(`000’ M.ton)",40978,,41647,,42811,
11.,Agriculture holding,"165,62,974(Agriculture census -2019 preliminary report)",,,,,
