District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,71723,29025,25.41,2.344,68028,106037,42911,25.91,2.389,102554
2,Barishal,116890,47303,25.67,2.368,112003,116391,47101,25.01,2.306,108658
3,Bhola,285434,115509,28.15,2.597,299924,310934,125828,32.09,2.959,372448
4,Jhalokathi,24105,9755,29.25,2.698,26318,23670,9579,29.59,2.729,26144
5,Patuakhali,206300,83485,30.91,2.851,238027,182739,73950,29.46,2.717,200952
6,Pirojpur,23755,9613,29.35,2.707,26025,23764,9617,27.72,2.556,24589
1,"Barishal
Division",728207,294689,28.34,2.614,770326,763535,308986,29.31,2.703,835344
7,Bandarban,24888,10072,30.30,2.795,28149,24913,10082,31.94,2.946,29702
8,Brahmanbaria,117883,47705,31.98,2.950,140720,112462,45511,34.20,3.154,143569
9,Chandpur,46037,18630,28.97,2.672,49783,47136,19075,29.54,2.724,51975
10,Chattogram,354609,143502,27.81,2.565,368110,378152,153030,27.85,2.568,393115
11,Cumilla,233349,94431,27.16,2.505,236572,263291,106548,27.21,2.509,267419
12,Cox’s Bazar,191072,77323,30.45,2.809,217176,175046,70837,30.24,2.789,197588
13,Feni,143447,58050,28.66,2.644,153460,147156,59551,33.79,3.116,185607
14,Khagrachari,63208,25579,32.67,3.013,77081,63033,25508,35.99,3.319,84679
15,Laxmipur,149826,60631,29.84,2.752,166883,156400,63292,30.16,2.781,176074
16,Noakhali,242008,97935,29.91,2.759,270193,302007,122260,30.99,2.857,349354
17,Rangamati,23092,9345,31.83,2.936,27436,23416,9476,32.56,3.003,28459
2,"Chattogram
Division",1589419,643203,29.25,2.698,1735564,1693012,685169,30.18,2.784,1907540
18,Dhaka,14655,5931,33.03,3.047,18068,12635,5113,26.89,2.480,12682
19,Faridpur,161681,65429,32.00,2.952,193124,153510,62122,31.50,2.905,180499
20,Gazipur,96564,39077,30.58,2.821,110225,95526,38657,35.06,3.233,125015
21,Gopalgonj,37610,15220,28.98,2.673,40685,29406,11900,28.73,2.650,31536
