District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,13,11,20.68,0,0,0,11,6,22.5,11,6,22.50
2,Barishal,29,30,30.95,0,0,0,59,60,54,59,60,54
3,Bhola,19,7,1.91,0,0,0,12,8,7.72,12,8,7.72
4,Jhallokati,15,15,14.85,0,0,0,15,15,14,15,15,14
5,Patuakhali,30,30,34.31,0,0,0,36,26,26.51,36,26,26.51
6,Pirojpur,2,1,1.67,0,0,0,3,2,2.2,3,2,2.20
1,Barishal Division,108,94,104.37,0,0,0,136,117,126.93,136,117,126.93
7,Bandarban,0,37,26.1,0,0,0,1,1,1.27,1,1,1.27
8,Brahmanbaria,38,37,44.89,0,0,0,108,105,103.95,108,105,103.95
9,Chandpur,0,14,5.76,0,0,0,7,0,11.63,7,0,11.63
10,Chattogram,0,12,43.7,0,0,0,49,84,82.22,49,84,82.22
11,Cumilla,0,47,42,0,28,29.75,0,11,12.25,0,39,42
12,Cox’s Bazar,0,8,8.31,0,0,0,0,4,4.78,0,4,4.78
13,Feni,1,1,0.89,0,0,0,3,2,2.53,3,2,2.53
14,Khagrachari,3,2,1.25,0,0,0,3,1,1.41,3,1,1.41
15,Lakshmipur,0.37,8,8.3,0,0,0,5,6,8,5,6,8
16,Noakhali,0,0,0.67,0,0,0,0,0,2.49,0,0,2.49
17,Rangamati,20,24,24.3,0,0,0.36,26,27,27.05,26,27,27.41
2,"Chattogram
Division",62,190,206.17,0,28,30.11,202,241,257.58,202,269,287.69
18,Dhaka,14,14,13.35,0,0,0,49,48,45.75,49,48,45.75
19,Faridpur,20,99,139,21,22,14.77,349,357,355.57,370,379,370.34
20,Gazipur,132,24,9,0,0,0,19,18,19,19,18,19
21,Gopalganj,9,13,12,0,0,0,125,123,101.64,125,123,101.64
22,Kishoreganj,8,4,6.65,0,0,0,9,8,8.93,9,8,8.93
23,Madaripur,7,6,4.9,0,0,0,57,63,57.24,57,63,57.24
24,Manikganj,126,38,126.14,0,0,0,52,65,66.33,52,65,66.33
25,Munshiganj,6,6,5.84,0,0,0,11,12,11.45,11,12,11.45
26,Narayanganj,5,5,4.81,0,0,0,32,31,30.16,32,31,30.16
27,Narsingdi,10,37,14.45,0,0,0.12,85,86,72.58,85,86,72.70
28,Rajbari,6,5,5.64,0,0,0,13,13,13.94,13,13,13.94
29,Shariatpur,6,3,11.85,62,17,0,34,,66.3,96,63,66.30
30,Tangail,0,4,3.76,0,0,0,0,46,20.08,0,16,20.08
3,Dhaka Division,349,258,357.39,83,39,14.89,835,16,868.97,918,925,883.86
31,Bagerhat,0,0,0,0,0,0,0,886,0,0,0,0
32,Chuadanga,0,5,5.54,0,0,1.76,7,0,7.24,7,9,9
33,Jashore,0,0,0,0,0,0,0,9,0,0,0,0
34,Jhenaidah,3,3,3.02,0,0,0,14,0,39.9,14,54,39.9
35,Khulna,3,7,6.94,0,0,0,2,54,78,2,17,78
36,Kushtia,6,6,6,0,0,0,13,12,12,13,12,12
37,Magura,0,46,24.71,0,0,0,0,368,345.03,0,368,345.03
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,6,42,42,8,2,0,8,12,14,16,14,14
40,Satkhira,84,40,54.52,0,0,0,354,384,328.39,354,384,328.39
4,Khulna Division,102,149,142.73,8,3,1.76,398,855,824.56,406,858,826.32
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0,0,0,0,0,0,0
43,Netrokona,0,0,0,0,0,0,0,00,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,"Mymensingh
Division",0,0,0,0,0,0,0,0,0,0,0,0
45,Bogura,7,3,3.18,0,0,0,55,23,23.01,55,23,23.01
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
