Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,72,60,57,60,69,83,82,83,80,93,*,*,*
Tangail,80,70,64,64,72,83,81,83,79,79,76,80,75
Mymensingh,85,75,74,74,80,84,85,87,82,83,*,*,*
Faridpur,78,68,65,66,75,85,84,86,83,80,76,79,77
Madaripur,80,74,70,69,76,87,85,86,85,85,81,83,80
Srimangal,84,75,70,71,77,83,84,86,83,84,82,84,80
Sylhet,76,65,60,67,77,87,86,89,79,80,74,76,76
Bogura,79,63,61,63,76,83,82,84,79,77,72,72,74
Dinajpur,83,73,66,69,78,81,82,86,81,83,77,76,77
Ishwardi,,,,,,,,,,,,,
Rajshahi,83,71,67,66,80,86,85,88,87,84,79,79,79
Rangpur,84,83,68,70,80,81,81,86,83,83,78,77,78
Syedpur,,,,,,,,,,,,,
chuadanga,,,,,,,,,,,,,
Jashore,77,69,65,66,74,84,84,85,84,81,80,*,*
Khulna,78,72,69,66,66,72,72,84,84,85,85,82,76
Mongla,,,,,,,,,,,,,
Satkhira,77,72,71,68,73,84,84,84,85,81,76,80,77
Barishal,81,75,73,73,78,90,88,88,86,86,82,84,82
Bhola,82,76,75,75,78,89,88,88,87,86,81,95,83
Khepupara,78,73,76,74,78,87,87,89,89,87,80,82,81
Patuakhali,87,77,82,84,90,93,90,90,88,85,79,85,85
Chandpur,78,71,68,70,75,88,85,86,85,83,78,81,79
Teknaf,83,70,75,76,77,88,89,87,93,94,*,*,*
Ambagan(Ctg),83,67,69,75,75,86,86,86,*,*,*,*,*
Cumilla,78,71,72,73,75,86,85,86,83,82,78,80,79
Cox's Bazar,,,,,,,,,,,,,
Feni,75,70,69,68,71,85,84,85,80,81,76,78,76
Hatiya,82,77,78,77,82,91,90,90,89,89,88,*,*
Kutubdia,74,73,75,77,76,86,86,86,83,82,74,*,*
M.court,76,69,71,70,75,88,86,87,84,82,76,81,78
Rangamati,75,68,62,64,66,80,79,77,75,77,79,79,73
Sandwip,80,75,76,76,78,88,88,88,84,84,81,81,81
Chittagong,70,67,66,72,74,85,86,87,82,80,81,68,76
Sitakunda,82,75,75,73,73,80,75,74,71,74,74,83,75
Gopalgonj,,,,,,,,,,,,,
Tarash,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
Rajarhat,,,,,,,,,,,,,
Badalgachhi,,,,,,,,,,,,,
Dimla,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
