Name of crop,Power Pump,"Deep
tube-well","Shallow tube-
well","Hand
tube-well","Total
tube-well",Traditional,"Total
Irrigated Area
under different
crops"
1,2,3,4,5,6,7,8
Aman,463,442,1707,4,2152,100,2715
Boro,1953,1864,7207,17,9082,423,11458
Wheat,142,136,525,1,662,31,835
Sugarcane,26,24,94,0,118,5,149
Cotton,1,2,8,0,10,0,13
Potato,183,174,675,2,851,40,1073
Vegetables,217,207,803,2,1012,47,1276
Others,333,317,1227,3,1546,72,1950
"Total Area under
different means",3318,3166,12246,29,15433,718,19469
