Commodity,Unit,2018-19,,2019-20,,2020-21,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0105- Livefowl domestic Spices -
other",No.,-,-,-,-,-,-
0202-Meat of bovine animal,Kg,86761,43274,42640,21518,83754,43010
0303-Eels fish frozen,Kg,,,8825114,2870819,9584485,3634253-
"03037-Fish, other frozen",Kg,,,,,-,-
"03039010-90 Livers and roes
frozen",Kg,,,,,-,-
"03052-Liver/roe dry smoked sltd in
brine",Kg,,,-,-,-,-
"0305- Fish filet dry sltd in brine
not smoked",Kg,3150103,560879,3343012,533855,4658826,730641
"03054910-Sharkfins, smoked
cooked or not salted",Kg,1000,16,-,-,-,-
"03055990- Fish dry salted/ in brine
not smoked",Kg,1891,260172,3118696,401699,4480084,577505
"030559- Fish dry unsalted, not
smoked",Kg,-,-,-,-,-,-
"03056990- Fish salted, not
dried/smoked and fish in brine,
other.",Kg,3150103,560879,155828,33990,83487,48786
"0306- Shrimps, frozen",Kg,43793791,34243904,31501919,28050474,34345911,29371681
"030614- Crabs, frozen",Kg,744438,2780521,4541352,2058018,1841940,1090352
"030629- Crustaceans, other, not
frozen",Kg,-,-,-,-,-,-
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,93142,16678,75702,14003,137184,20452
"0501- Human hair unworked wash
or not & waste",Kg,54741,8321,76692,29730,213739,467210
"0504-Bladder and gut of animal not
fish",Kg,1999530,1197913,854100,510429,1452085,925121
"0505- Feathers used for stuffing;
down",Kg,161099,50662,185015,38599,106366,21209
0506- Bones (uncrushed),Kg,1426250,54907,903400,35525,154000,11853
05069- Unworked other,Value,1279750,52608,818000,34159,154000,11853
"0507900 Horn antler & similar pcs
of animals",Kg,125250,2872,50975,939,120069,6527
"0709-Vegetable, fresh or chilled
other",Kg,2585430,511783,2600776,462324,1875805,396055
"0810- Fruits, fresh, other",Kg,78980,20304,9448,2657,71300,16526
"09021-000 Green tea, packing",Kg,4010,1978,2175,1565,22622,8782
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"09022- 000Green tea, other(not
fermented)",Kg,130813,75911,121281,70984,135711,62141
"0902300- Black tea packing not
exceeding 3 kg",Kg,422621,115365,289473,78463,549261,106181
09024000- Tea nec,Kg,99454,43922,621521,88723,894002,130246
"0904- Chillies, dry",Kg,51473,10447,1379010,334896,1823448,466445
0909- Black cumin seeds,Kg,302476,61761,35005,11942,163975,50530
091030- 10Turmeric (curcuma),Kg,52583,24629,216722,46756,513151,134977
"Mixtures of two/more spices,
other(09109990)",Kg,7379321,2733792,5853968,2086817,8555092,3103098
10063010 Rice medium quality,mton,25002000,877631,2388508,205047,2407028,192418
1209- Vegetable seeds for sowing,Kg,459320,81752,65342,91181,1253636,619694
"12099100 Seeds, for sowing,other",Kg,459320,81777,57342,90533,1251713,617024
"1211-Plant & part etc., used in
perfumery",Kg,251850,51285,483006,50975,684372,144980
"12119021- Plant & part herb
etc., for medicine",Kg,2000,309,2115,1141,15676,10213
12129990- Betel leaves,Kg,,,,,3500,8631
"13023100-Balsam Mucilages &
thickeners:",Kg,230201,23114,140113,11458,640470,304130
14011000- Bamboo,Kg,164150,1843,106331,1470,192494,2947
"1401-Veg mtrl use for plaiting:
other",Kg,170150,3816,106331,1470,193644,3393
"1701- Sugarcane/beet chem
pure/solid other",M.ton,151155,5259,-,-,600,178
"1703- Molasses, cane flavoured
coloured",M.ton,166978,27815,47057,6621,106702,14760
"190410- Rice, beaten (Muri)",Kg,6366922,961127,6822795,971778,10245525,1671955
19041000 Prepared food: other,Kg,8595952,1365906,6821795,971778,7676249,1129218
"19019010 Pineapple prep/presv
w/sugar or not",Kg,1030495,237532,134100,48879,386800,141820
"2106 Food preparations, other",Kg,62416,10488,156916,85,617052,112411
"22021000- Non-alcoholic
beverage, other nec",Liter,15120718,866585,8246135,498290,13807356,829755
2203- Beer made from malt,Liter,8304,1200,1464,197,3120,1514
22083000-Whiskies,Liter,12179,9142,3006,2089,3192,3061
"24011000- Tobaco N/stem/strip
F/cure N/virgna",Kg,13184776,1563766,5240858,916811,4128198,745693
"24012000-Tobacco whole/part
stem/strip virgna",Kg,13944668,3575925,24517406,5138377,25568320,6117455782
"24021000-Cigar chroot/cigrillo
cigarete other",Kg.,26404,9726,355559,190792,373916,199204
24022000 Cigarette tobacco,kg,61383,29485,126494,135489,332164,311069
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
cont subs or not,,,,,,,
"31021000- Urea Aqueous
solution or not",M.ton,,,,,22500000,495419-
4101- Raw hides and skins other,Kg,423722,48438,133358,11523,-,-
41041100- Calf leather,Kg,99371,4040,,,-,-
"41044100- Leather, bovine
hides",Kg,7888,1685,,,-,-
"4105-Leather, semi finished
sheep skin",Kg,241243,248884,7458,6887,7295,6805
"4107- Leather of other animal
(not hair on)",Kg,1670294,3289468,707520,1492575,1100334,2108065
"52-Cotton, Bangladesh Sg",M.ton,96658749,12957128,76476096,10233413,113095251,13689465
"53031000 Jute, raw white A
bottom",M.ton,157037294,8388786,174545941,9453673,167332123,11402431
"53039000 Jute, raw white,
grades B,C,D or E",M.ton,21548999,1062361,10559429,657586,13049839,1223868
5303900-Mesta (kenaf),Kg,-,-,10559429,657586,-,-
