District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,51,68,80.38,0,0,0,100,72,75,82,72,75
2,Barishal,405,537,563.88,0,0,0,521,520,521,521,520,521
3,Bhola,95,145,155.34,0,0,0,164,152,160,164,152,160
4,Jhallokati,77,143,151.48,0,0,0,70,94,97,70,94,97
5,Patuakhali,352,463,487.30,0,0,0,550,587,641,550,587,641
6,Pirojpur,52,111,117.28,0,0,0,85,81,80,85,81,80
1,Barishal Division,1482,1467,1555.66,0,0,0,1490,1506,1574,1472,1506,1574
7,Bandarban,2126,79,83.62,30,30,31,131,136,136,161,166,167
8,Brahmanbaria,83,154,166.52,0,0,0,455,400,406,455,400,406
9,Chandpur,22,203,246.64,0,0,0,307,316,303,307,316,303
10,Chattogram,1078,550,586.10,13,119,104,1365,1306,1304,1378,1425,1408
11,Cumilla,553,364,384.04,232,170,124,457,551,613,689,721,737
12,Cox’s Bazar,119,143,143.60,19,0,0,270,93,269,289,93,269
13,Feni,42,116,122.76,0,0,0,85,87,88,85,87,88
14,Khagrachari,261,676,716.46,143,140,0,1106,1194,1306,1249,1334,1306
15,Lakshmipur,0,105,113.24,0,0,0,73,71,69,73,71,69
16,Noakhali,32,177,183.86,0,0,0,205,204,237,205,204,237
17,Rangamati,354,404,426.82,112,132,131,633,746,749,745,878,880
2,"Chattogram
Division",3075,2972,3173.66,549,591,390,5087,5104,5480,5636,5695,5870
18,Dhaka,174,189,176.12,0,0,0,243,245,240,243,245,240
19,Faridpur,690,580,558.74,0,0,0,483,662,670,483,662,670
20,Gazipur,349,1275,358.72,184,184,0,166,1550,748,350,1734,748
21,Gopalganj,84,439,358.52,0,33,29,476,431,16,476,464,45
22,Kishoreganj,86,421,451.90,0,0,0,1038,1054,1074,1038,1054,1074
23,Madaripur,70,174,212.10,0,0,0,234,192,226,234,192,226
24,Manikganj,138,159,167.42,0,0,0,301,288,312,301,288,312
25,Munshiganj,20,98,104.18,0,0,0,147,147,153,147,147,153
26,Narayanganj,33,109,102.58,0,0,0,189,195,188,189,195,188
27,Narsingdi,39,264,280.20,0,0,0,501,666,665,501,666,665
28,Rajbari,108,145,156.28,0,0,0,274,230,265,274,230,265
29,Shariatpur,1271,1361,1215.50,688,700,0,2,53,1785,690,753,1785
30,Tangail,53,540,497.84,0,0,0,656,655,670,656,655,670
3,Dhaka Division,4474,5753,4640.10,872,917,29,4710,6368,7012,5582,7285,7041
31,Bagerhat,181,464,490.66,0,0,0,377,482,490,377,482,490
32,Chuadanga,98,94,99.24,0,0,0,255,246,236,255,246,236
33,Jashore,110,522,549.52,0,0,0,938,912,891,938,912,891
34,Jhenaidah,48,198,211.32,0,0,0,404,395,391,404,395,391
35,Khulna,184,475,508.14,0,0,0,577,583,584,577,583,584
36,Kushtia,35,276,255.72,0,0,0,1076,1222,1215,1076,1222,1215
37,Magura,0,512,514.24,0,0,0,1247,1247,1200,1247,1247,1200
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,36,57,63.36,0,0,0,130,130,138,130,130,138
39,Narail,37,116,106.88,31,20,0,153,163,162,184,183,162
40,Satkhira,226,430,417.50,0,113,0,680,597,701,680,710,701
4,Khulna Division,3034,3144,3216.58,31,133,0,5837,5977,6008,5868,6110,6008
41,Jamalpur,154,330,324.08,0,0,0,512,485,506,512,485,506
42,Mymensingh,760,1149,1207.34,88,73,0,1813,1598,1629,1901,1671,1629
43,Netrokona,342,320,287.50,0,0,0,519,1042,721,519,1042,721
44,Sherpur,27,169,178.96,0,0,0,385,321,324,385,321,324
5,"Mymensingh
Division",2143,1968,1997.88,88,73,0,3229,3446,3180,3317,3519,3180
45,Bogura,67,326,344.42,0,0,0,862,638,639,862,638,639
46,Joypurhat,23,128,131.86,0,0,0,184,183,226,184,183,226
47,Naogaon,146,219,230.34,0,0,0,398,403,382,398,403,382
48,Natore,117,627,549.46,0,0,0,923,1031,1004,923,1031,1004
49,Chapai Nawabganj,59,125,119.88,0,0,0,233,246,254,233,246,254
50,Pabna,115,342,360.02,116,105,0,1763,902,1022,1879,1007,1022
51,Rajshahi,200,240,217.64,0,0,0,513,573,644,513,573,644
52,Sirajganj,26,260,256.40,0,0,114,424,455,448,424,455,562
6,Rajshahi Division,2572,2267,2210.02,116,105,114,5300,4431,4619,5416,4536,4733
53,Dinajpur,36,160,163.24,0,0,0,171,180,163,171,180,163
54,Gaibandha,11,70,65.58,0,0,0,65,64,64,65,64,64
55,Kurigram,22,84,84.66,0,0,0,157,158,171,157,158,171
56,Lalmonirhat,45,192,191.66,0,0,0,184,189,90,184,189,90
57,Nilphamari,28,144,169.70,0,0,0,190,183,293,190,183,293
58,Panchagar,44,113,95.80,0,0,0,106,115,128,106,115,128
59,Rangpur,15,118,125.58,0,0,0,174,175,233,174,175,233
60,Thakurgaon,311,56,49.86,0,0,0,68,69,72,68,69,72
7,Rangpur Divison,913,937,946.08,0,0,0,1115,1133,1214,1115,1133,1214
61,Habiganj,54,53,62.52,0,0,1,64,71,88,64,71,89
62,Moulvibazar,51,58,46.76,0,0,0,121,132,113,121,132,113
63,Sunamganj,8,70,50.32,0,0,0,35,62,69,35,62,69
64,Sylhet,221,95,95.60,0,0,3,62,67,115,62,67,118
8,Sylhet Division,208,276,255.20,0,0,4,282,332,385,282,332,389
BANGLADESH,,17901,18784,"17995.1
8",1656,1819,537,27050,28297,29472,28706,30116,30009
