District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,17,36,36.68,0,0,0,3,3,11,3,17,11
2,Barishal,136,148,140.42,0,0,0,65,65,72,65,70,72
3,Bhola,11,6,4.05,0,0,0,7,7,7.30,7,9,7.30
4,Jhallokati,64,65,19,0,0,0,25,25,29,25,25,29
5,Patuakhali,87,95,34.95,0,0,0,50,50,37.80,50,35,37.80
6,Pirojpur,8,84,24.35,0,0,0.55,52,52,48.91,52,52,49.46
1,Barishal Division,323,434,259.45,0,0,0.55,202,202,206.01,202,208,206.56
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,1,4,1.74,0,0,0,3,3,2.98,3,3,2.98
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,1,1.25,0,0,0,3,3,3,3,6,3
11,Cumilla,1,2,1.92,0,0,0,0,0,0.69,0,1,0.69
12,Cox’s Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,1,1,0.90,0,0,0,1,1,1.10,1,1,1.10
14,Khagrachari,184,200,212.45,67,77,80.99,59,59,71.94,126,141,152.93
15,Lakshmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,76,80,78.04,3,3,3.26,61,61,64.27,64,70,67.53
2,"Chattogram
Division",263,288,296.30,70,80,84.25,127,127,143.98,197,221,228.23
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,12,0,0.51,0,0,0,1,1,0.71,1,1,0.71
20,Gazipur,0,34,7,0,0,0,0,0,8,0,8,8
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishoreganj,16,25,14.72,0,0,0,4,4,50.26,4,49,50.26
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,53,2,6.75,0,0,0,1,1,1.68,1,2,1.68
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,205,6,3.49,0,0,0,17,17,9.12,17,0,9.12
3,Dhaka Division,286,67,32.47,0,0,0,23,23,69.77,23,60,69.77
31,Bagerhat,5,20,15.80,0,0,0,0,0,13.75,0,14,13.75
32,Chuadanga,0,4,3.80,0,0,0,0,0,4,0,4,4
33,Jashore,21,10,9.98,0,0,0,10,10,23,10,20,23
34,Jhenaidah,0,3,2.68,0,0,0,8,8,4.54,8,4,4.54
35,Khulna,0,9,9.70,0,0,0,6,6,17,6,2,17
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
37,Magura,0,3,2.42,0,0,0,0,33,29,0,33,29
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
39,Narail,11,80,73,19,17,0,19,19,35,38,36,35
40,Satkhira,0,26,26.50,0,0,0,5,57,24.50,5,57,24.50
4,Khulna Division,37,155,143.88,19,17,0,48,153,150.79,67,170,150.79
41,Jamalpur,2,3,3,2,0,0,0,6,6,2,6,6
42,Mymensingh,179,13,13,0,0,0,31,12,12,31,12,12
43,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,1,2,2,0,0,0,2,2,2,2,2,2
5,"Mymensingh
Division",182,18,18,2,0,0,33,20,20,35,20,20
45,Bogura,2,24,24,6,6,5.70,23,23,24.3,29,29,30
46,Joypurhat,0,56,6.89,0,0,0,6,0,4.37,6,0,4.37
47,Naogaon,0,9,9,0,0,0,0,89,68,0,89,68
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,3,1.92,0,0,0,4,0,4.75,4,0,4.75
6,Rajshahi Division,2,92,41.81,6,6,5.70,33,112,101.42,39,118,107.12
53,Dinajpur,31,38,28.39,0,0,0,66,66,68.50,66,66,68.50
54,Gaibandha,3,3,3.01,0,0,0,9,10,9.32,9,10,9.32
55,Kurigram,19,11,10.44,0,0,1.29,40,38,37.71,40,38,39
56,Lalmonirhat,6,36,33.59,12,26,16.92,57,67,59.16,69,93,76.08
57,Nilphamari,15,15,12.63,75,75,37.48,83,81,57.75,158,156,95.23
58,Panchagar,117,126,123.85,104,126,130.31,59,90,93.23,163,216,223.54
59,Rangpur,5,5,5.06,0,0,0,22,24,27.76,22,24,27.76
60,Tahkurgaon,8,9,8.78,7,7,7.83,13,14,14.09,20,21,21.92
7,"Rangpur
Division",204,243,225.75,198,234,193.83,349,390,367.52,547,624,561.35
61,Habigonj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,38,49,148.32,0,0,0,288,306,172.35,288,306,172.35
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,41,46,67.17,22,49,41.99,16,38,43.05,38,87,85.04
8,Sylhet Division,79,95,215.49,22,49,41.99,304,344,215.4,326,393,257.39
BANGLADESH,,1376,1392,1233.15,317,386,326.32,1119,1428,1274.89,1436,1814,1601.21
