District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,0,550,600,0,0,0,3000,2335,2367,3000,2335,2367
2,Barishal,0,425,500,0,0,0,13840,13800,8601,13840,13800,8601
3,Bhola,0,440,600,0,0,0,5635,5499,14000,5635,5499,14000
4,Jhallokati,0,677,700,0,0,0,2700,2520,2499,2700,2520,2499
5,Patuakhali,0,598,750,0,0,0,9000,8125,15459,9000,8125,15459
6,Pirojpur,0,729,800,0,0,0,6958,6822,6790,6958,6822,6790
1,Barishal Division,0,3419,3950,0,0,0,41133,39101,49716,41133,39101,49716
7,Bandarban,298,190,300,2919,576,1514,750,771,2245,3669,1347,3759
8,Brahmanbaria,85,83,150,18464,15812,920,689,555,19987,19153,10291,20907
9,Chandpur,0,248,480,0,0,0,9797,10291,10822,9797,16367,10822
10,Chattogram,1008,997,998,29893,6320,7454,7427,4428,26606,37320,10788,34060
11,Cumilla,809,789,800,18641,2147,1294,90,234,18616,18731,2381,19910
12,Cox’s Bazar,260,259,240,4483,2163,1915,1357,420,5482,5840,2583,7397
13,Feni,54,53,100,1121,2223,109,71,122,2252,1192,2345,2361
14,Khagrachari,6259,5321,5426,1625,27726,27549,1709,"14789
2",15365,3334,42518,42914
15,Lakshmipur,0,152,154,0,0,0,1143,2372,1484,1143,2372,1484
16,Noakhali,0,149,147,0,0,0,1858,1586,1505,1858,1586,1505
17,Rangamati,3437,3370,3380,0,30159,29701,27761,17484,17199,27761,47643,46900
2,"Chattogram
Division",12210,11611,12175,77146,87126,70456,52652,53055,121563,129798,140181,"19201
9"
18,Dhaka,258,198,213,8367,2412,1048,1195,986,2504,9562,3398,3552
19,Faridpur,516,517,663,1547,1611,1592,11901,11539,11403,13448,13150,12995
20,Gazipur,4557,4540,6573,62437,62761,15097,13955,12646,80699,76392,75407,95796
21,Gopalganj,150,185,184,1126,1841,395,1064,436,1881,2190,2277,2276
22,Kishoreganj,134,133,200,23719,23948,962,917,909,24756,24636,24857,25718
23,Madaripur,82,150,190,0,0,0,2162,2143,2034,2162,2143,2034
24,Manikganj,674,817,850,0,0,0,5378,5808,5849,5378,5808,5849
25,Munshiganj,42,58,58,0,0,0,763,788,781,763,788,781
26,Narayanganj,3,26,30,2034,2019,157,21,21,1853,2055,2040,2010
27,Narsingdi,2482,1531,1175,80720,21706,4447,11216,1646,22737,91936,23352,27184
28,Rajbari,126,124,574,0,4027,8076,0,2152,17799,0,6179,25875
29,Shariatpur,318,319,167,0,0,0,166,1269,1269,166,1269,1269
30,Tangail,3168,3016,2386,64606,44340,13374,10207,11734,61439,74813,56074,74813
3,Dhaka Division,12510,11614,13263,244556,164665,45148,58945,52077,235004,303501,216742,"28015
2"
31,Bagerhat,4,53,95,0,0,110,15,3320,2428,15,3320,2538
32,Chuadanga,597,30,70,5395,1046,2569,24,605,2991,5419,1651,5560
33,Jashore,54,55,100,0,5679,5420,5,5713,5891,5,11392,11311
34,Jhenaidah,23,547,600,0,4981,4709,8,8316,8225,8,13297,12934
35,Khulna,47,117,202,4155,193,183,213,4163,3997,4368,4356,4180
36,Kushtia,277,278,300,56640,40403,20346,20090,13326,62410,76730,53729,82756
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
37,Magura,677,258,300,2867,21285,352,7643,12644,2367,10510,33929,1686
38,Meherpur,1080,115,116,2867,4897,4898,7643,4800,4818,10510,9697,9716
39,Narail,188,816,815,7165,7081,627,627,620,7203,7792,7701,7830
40,Satkhira,0,218,250,0,1591,2924,5,706,2911,5,2297,5835
4,Khulna Division,3864,2487,2848,79089,87156,42138,36273,54213,"10220
8",115362,141369,"14434
6"
41,Jamalpur,42,45,100,19676,20079,1357,594,1112,27324,20270,21191,28681
42,Mymensingh,530,520,600,72158,50057,3092,7767,5521,22302,79925,55578,25394
43,Netrokona,0,20,60,0,0,10089,12528,75909,46984,12528,75909,57073
44,Sherpur,69,68,80,11672,12208,814,856,930,11350,12528,13138,12164
5,"Mymensingh
Division",641,653,840,103506,82344,15352,21745,83472,"10796
0",125251,165816,"12331
2"
45,Bogura,662,660,690,2061,2009,2881,17172,15501,21034,19233,17510,23915
46,Joypurhat,87,85,95,363,347,354,2079,2414,2446,2442,2761,2800
47,Naogaon,152,156,170,776,770,433,10729,10198,5802,11505,10968,6235
48,Natore,641,642,680,3989,6422,6422,27474,15363,16830,31463,21785,23252
49,Chapai Nawabganj,154,153,170,789,777,801,2075,2061,2172,2864,2838,2973
50,Pabna,1347,1345,1333,9080,9130,6550,19787,19851,22609,28867,28981,29159
51,Rajshahi,393,390,400,2011,1996,2016,8497,8468,8371,10508,10464,10387
52,Sirajganj,53,55,94,251,222,222,20225,187481,18747,20476,18703,18969
6,Rajshahi Division,3489,3486,3632,19320,21673,19679,108038,92337,98011,127358,114010,"11769
0"
53,Dinajpur,1788,1562,1590,25181,19516,10376,10396,6393,24983,35577,25909,35359
54,Gaibandha,667,658,643,0,0,0,11681,12014,11811,11681,12014,11811
55,Kurigram,673,680,737,5444,9418,357,2442,346,9424,7886,9764,9781
56,Lalmonirhat,574,316,380,7585,6483,268,2956,276,6905,10541,6759,7173
57,Nilphamari,151,149,170,32233,32403,998,892,964,31201,33125,33367,32199
58,Panchagar,231,229,250,23789,15332,1061,1026,10410,25083,24815,25742,26144
59,Rangpur,248,246,300,15790,15086,1591,1075,1538,15564,16865,16624,17155
60,Thakurgaon,1408,985,986,8257,4026,4086,717,5066,5101,8974,9092,9187
7,Rangpur Divison,5740,4825,5056,118279,102264,18737,31185,37007,"13007
2",149464,139271,"14880
9"
61,Habiganj,640,638,650,18471,15504,2297,2752,5078,17788,21223,20582,20085
62,Moulvibazar,1105,1366,1366,8373,7960,3177,5851,4850,5210,14224,12810,8387
63,Sunamganj,390,377,400,0,0,751,5473,6779,4581,5473,6779,5332
64,Sylhet,425,420,450,3704,3951,1400,1386,1144,5753,5090,5095,7153
8,Sylhet Division,2560,2801,2866,30548,27415,7625,15462,17851,33332,46010,45266,40957
BANGLADESH,,41014,40896,44630,672444,572643,219135,365433,429113,877866,"87786
6",1001756,"109700
1"
