District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
21,Gopalganj,367,749,750,36,123,125,3028,2953,2448,3064,3076,2573
22,Kishoreganj,1254,322,347,320,272,277,5315,4805,4900,5635,5077,5177
23,Madaripur,480,408,412,0,0,0,6090,6574,6507,6090,6574,6507
24,Manikganj,814,903,811,70,78,73,3839,4304,4212,3909,4382,4285
25,Munshiganj,75,140,100,0,0,0,1220,1155,1254,1220,1155,1254
26,Narayanganj,46,150,120,0,0,17,1580,1535,1453,1580,1535,1470
27,Narsingdi,109,150,160,0,0,0,19061,2167,1996,19061,2167,1996
28,Rajbari,657,800,700,5650,5187,5187,5213,4528,4530,10863,9715,9717
29,Shariatpur,38,1535,1430,0,0,0,6242,5996,6208,6242,5996,6208
30,Tangail,266,611,500,98,103,100,3149,3503,3501,3247,3606,3601
3,Dhaka Division,4948,7590,7024,6692,6083,6251,63695,46361,46099,70387,52444,52350
31,Bagerhat,777,1010,847,0,0,0,23538,23959,22936,23538,23959,22936
32,Chuadanga,112,740,417,811,592,637,760,794,1018,1571,1386,1655
33,Jashore,1552,1587,1000,3969,3985,3993,8508,8544,8434,12477,12529,12427
34,Jhenaidah,406,1210,399,361,360,1206,13309,12728,9125,13670,13088,10331
35,Khulna,950,1126,1000,985,993,964,6936,7370,8899,7921,8363,9863
36,Kushtia,807,1220,784,725,708,725,14700,14988,15481,15425,15696,16206
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
37,Magura,781,610,693,757,625,684,2372,2610,2883,3129,3235,3567
38,Meherpur,157,520,181,0,0,0,699,763,771,699,763,771
39,Narail,478,1030,478,1489,1487,1688,3869,3887,4364,5358,5374,6052
40,Satkhira,642,1812,1200,963,428,557,4266,5033,5238,5229,5461,5795
4,Khulna Division,6068,1130,6999,10060,9178,10454,78957,80676,79149,89017,89854,89603
41,Jamalpur,254,820,517,0,4,0,3249,3357,3287,3249,3357,3287
42,Mymensingh,11593,2679,2679,296,342,342,16740,17610,17613,17036,17952,17955
43,Netrokona,7,190,497,0,0,0,3926,4505,4693,3926,4505,4693
44,Sherpur,103,146,181,0,0,0,1024,947,969,1024,947,969
5,"Mymensingh
Division",11957,3835,3874,296,342,342,24939,26419,26562,25235,26761,26904
45,Bogura,453,720,700,100,0,0,7808,8211,7660,7908,8211,7660
46,Joypurhat,96,583,500,140,228,314,587,490,685,727,718,999
47,Naogaon,133,210,120,0,0,0,956,977,1008,956,977,1008
48,Natore,527,615,566,0,0,0,16353,13039,8864,16353,13039,8864
49,Chapai Nawabganj,114,150,107,0,0,0,451,489,635,451,489,635
50,Pabna,762,777,763,302,186,310,6952,6226,6112,7254,6412,6422
51,Rajshahi,419,531,528,695,745,243,7679,9035,4786,8374,9780,5029
52,Sirajganj,172,175,169,0,0,0,3146,3081,3267,3146,3081,3267
6,Rajshahi Division,2676,3761,3453,1237,1159,867,43932,41548,33017,45169,42707,33884
53,Dinajpur,396,420,328,0,0,0,3834,3580,3347,3834,3580,3347
54,Gaibandha,318,241,264,0,0,0,1745,1884,1873,1745,1884,1873
55,Kurigram,80,79,64,0,0,0,740,729,789,740,729,789
56,Lalmonirhat,49,79,86,0,0,0,894,921,917,891,921,917
57,Nilphamari,108,114,93,0,0,0,2073,1971,2065,2073,1971,2065
58,Panchagar,127,132,107,97,100,102,1581,1621,1819,1678,1721,1921
59,Rangpur,118,135,139,0,0,0,1948,1903,1911,1948,1903,1911
60,Tahkurgaon,654,461,428,0,0,0,746,749,759,746,749,759
7,Rangpur Division,1850,1661,1509,97,100,102,13561,13358,13480,13658,13458,13582
61,Habigonj,1287,1368,1038,132,0,0,5156,4046,4574,5288,4046,4574
62,Moulvibazar,389,176,241,359,494,0,3484,3041,3318,3843,3535,3318
63,Sunamganj,257,175,506,0,0,0,2808,2733,3078,2808,2733,3078
64,Sylhet,34,367,328,71,92,0,1661,1409,1516,1732,1501,1516
8,Sylhet Division,1967,2086,2113,562,586,0,13109,11229,12486,13671,11815,12486
BANGLADESH,,88740,89786,89322,35570,33788,34099,396026,378085,368753,431596,411873,402852
