District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,296,221,186,0,0,0,147,149,178,147,149,178
2,Barishal,1061,985,506.66,0,0,0,873,928,820,873,928,820
3,Bhola,462,373,69.87,0,0,0,283,245,285.50,283,245,285.50
4,Jhallokati,158,143,166.84,0,0,0,117,86,88,117,86,88
5,Patuakhali,433,326,144.33,0,0,0,244,245,195.9,244,245,195.90
6,Pirojpur,221,233,75.57,0,0,0,111,97,95.52,111,97,95.52
1,Barishal Division,2724,2281,1149.27,0,0,0,1775,1750,1662.92,1775,1750,"1662.9
2"
7,Bandarban,137,103,27,67,67,64.15,226,205,213.77,293,268,277.92
8,Brahmanbaria,735,555,274,0,0,0,384,415,928.46,384,415,928.46
9,Chandpur,529,402,68,0,0,0,407,458,501.86,407,458,501.86
10,Chattogram,2336,1775,464,31,31,15.52,1802,1408,1404.48,1833,1423,1420
11,Cumilla,1673,1116,469,257,257,164.26,1095,1162,1368.74,1352,1533,1533
12,Cox’s Bazar,324,318,57,41,41,0,451,459,852,492,516,852
13,Feni,405,281,172,0,0,0,261,181,251.29,261,181,251.29
14,Khagrachari,945,730,394,11,11,16.49,716,723,723.39,727,734,739.88
15,Lakshmipur,296,222,27,3,3,0,170,160,162.27,173,160,162.27
16,Noakhali,354,277,51,0,0,0,112,114,116.67,112,114,116.67
17,Rangamati,428,353,374,83,83,99.04,440,416,445.35,523,508,544.39
2,"Chattogram
Division",8239,6132,2377,493,493,359.46,6064,5701,6968.28,6557,6310,"7327.7
4"
18,Dhaka,233,177,19.87,17,17,0,138,137,163.95,155,137,163.95
19,Faridpur,962,804,193,0,0,0,560,461,680.06,560,461,680.06
20,Gazipur,591,446,150.40,13,13,0,366,366,393.05,379,366,393.05
21,Gopalganj,609,527,91.83,0,0,0,257,395,402,257,395,402
22,Kishoreganj,670,535,239.73,57,57,0,1417,1423,1293.70,1474,1423,"1293.7
0"
23,Madaripur,932,696,146.16,0,0,0,599,599,530.47,599,599,530.47
24,Manikganj,261,201,188.18,3,3,0,45,47,326.89,48,53,326.89
25,Munshiganj,92,69,16.31,0,0,0,131,125,105.54,131,125,105.54
26,Narayanganj,115,86,10.08,0,0,0,125,126,122.90,125,126,122.90
27,Narsingdi,300,229,39.45,7,7,0,536,536,510.73,543,536,510.73
28,Rajbari,1921,1294,258.82,0,0,0,2407,2422,3036.05,2407,2563,"3036.0
5"
29,Shariatpur,970,723,164.28,0,0,0,379,277,401.60,379,277,401.60
30,Tangail,730,562,80.40,0,0,0,533,533,511.71,533,533,511.71
3,Dhaka Division,8511,6349,1598.51,97,97,0,7493,7447,8478.65,7590,7594,"8478.6
5"
31,Bagerhat,536,406,35.13,0,0,18.60,187,201,368.38,187,201,386.98
32,Chuadanga,121,92,52.45,113,113,0,238,141,120.77,351,141,120.77
33,Jashore,843,638,265.08,0,0,0,941,990,902.73,941,990,902.73
34,Jhenaidah,1171,1066,147.23,197,197,0,1167,1199,1509.78,1364,1412,"1509.7
8"
35,Khulna,409,309,96.45,0,0,0,356,345,314.95,356,345,314.95
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
36,Kushtia,3570,3044,1037,485,485,480.52,7025,7026,6920.48,7510,7512,7401
37,Magura,735,556,161.68,11,11,0,579,970,566.27,590,970,656.95
38,Meherpur,150,114,102.84,76,76,74.96,147,150,151.04,223,228,226
39,Narail,226,171,80.54,38,38,0,195,197,227.10,233,235,227.10
40,Satkhira,661,861,561.91,419,419,565.96,47,288,1258.79,466,700,"1824.7
5"
4,Khulna Division,8975,7257,2540.31,1339,1339,1230.72,10882,11507,"12340.2
9",12221,12734,"13571.
01"
41,Jamalpur,1324,1001,774,63,63,0,1781,2050,2136,1844,2050,2136
42,Mymensingh,3787,2211,1225,655,655,0,2765,2997,3676,3420,3740,3676
43,Netrokona,903,683,526,56,56,0,2206,1790,2051,2262,1790,2051
44,Sherpur,737,557,237.65,0,0,0,809,1120,802,809,1120,802
5,"Mymensingh
Division",6808,4452,2763,774,774,0,7561,7957,8665,8335,8700,8665
45,Bogura,989,750,170.79,0,0,0,2116,2109,1704,2116,2109,1704
46,Joypurhat,231,178,67.46,0,0,0,175,169,496.05,175,169,496.05
47,Naogaon,527,403,130.02,0,0,0,179,587,488.99,179,587,488.99
48,Natore,1399,1068,217.72,17,17,0,1683,3076,1848.96,1700,3313,"1848.9
6"
49,Chapai Nawabganj,119,91,70.53,0,0,0,95,100,105.90,95,100,105.90
50,Pabna,799,566,196.13,0,0,0,812,838,827.86,812,838,827.86
51,Rajshahi,253,194,138.31,0,0,0,471,586,566.86,471,586,566.86
52,Sirajganj,618,479,56.84,0,0,0,656,634,602.22,656,634,602.22
6,Rajshahi Division,5073,3729,1047.80,17,237,0,6187,8099,6640.84,6204,8336,"6640.8
4"
53,Dinajpur,427,320,111.63,0,0,0,571,566,574.27,571,566,574.27
54,Gaibandha,2782,1572,89.17,0,0,0,276,289,307.60,276,289,307.60
55,Kurigram,1303,996,191.19,0,0,0,1170,1508,1564.60,1170,1508,"1564.6
0"
56,Lalmonirhat,181,142,37.67,0,0,0,236,227,179.89,236,227,179.89
57,Nilphamari,490,378,62.39,0,0,0,674,688,606.59,674,688,606.59
58,Panchagar,262,206,78.94,0,0,0,420,440,495.20,420,440,495.20
59,Rangpur,590,458,52.40,0,0,0,799,819,844.40,799,819,844.40
60,Thakurgaon,266,203,46.19,0,0,0,479,492,509.22,479,492,509.22
7,Rangpur Divison,6355,4275,669.58,0,0,0,4625,5029,5081.77,4625,5029,"5081.7
7"
61,Habiganj,740,565,688.58,11,18,0,1955,2065,1346.35,1966,2083,"1346.3
5"
62,Moulvibazar,343,262,102.59,0,0,0,506,508,442.56,506,508,442.56
63,Sunamganj,2157,1954,453,6,144,0,1475,3137,3418,1481,3281,3418
64,Sylhet,320,242,361.72,2,0,0,239,259,293.37,241,259,293.37
8,Sylhet Division,3647,3023,1605.89,19,162,0,4175,5969,5500.28,4194,6131,"5500.2
8"
BANGLADESH,,50332,37498,"13751.0
1",2739,3125,1590.18,48762,53459,"55338.0
3",51501,56584,"56928.
21"
