District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,3420,1384,35.86,3.308,4578,17220,6969,35.28,3.25,22680
2,Barishal,120602,48805,43.79,4.039,197115,130120,52657,43.21,3.99,209855
3,Bhola,95015,38450,42.53,3.923,150845,93653,37899,41.49,3.83,145049
4,Jhallokati,22542,9122,41.49,3.827,34909,26405,10686,40.62,3.75,40037
5,Patuakhali,2830,1145,31.57,2.912,3335,2655,1074,35.49,3.27,3517
6,Pirojpur,55011,22262,45.54,4.201,93522,56336,22798,45.82,4.23,96361
1,"Barishal
Division",299420,121169,43.33,3.997,484304,326389,132082,42.48,3.92,517497
7,Bandarban,15406,6234,42.51,3.921,24448,15427,6243,41.88,3.86,24116
8,Brahmanbaria,277442.2,112275,49.26,4.544,510156,276814,112020,49.97,4.61,516316
9,Chandpur,150261.8,60808,40.27,3.714,225864,150393,60861,44.45,4.10,249509
10,Chattogram,140971,57048,42.84,3.951,225424,155621,62977,43.42,4.01,252243
11,Cumilla,369861,149675,47.44,4.376,655020,369206,149410,47.81,4.41,658933
12,Cox’s Bazar,131214.08,53099,43.45,4.008,212835,128735,52096,42.88,3.96,206041
13,Feni,66722,27001,38.78,3.577,96580,66737,27007,39.59,3.65,98612
14,Khagrachari,26890.5,10882,40.16,3.705,40315,26856,10868,41.49,3.83,41588
15,Lakshmipur,70241,28425,43.82,4.042,114894,76552,30979,42.09,3.88,120280
16,Noakhali,158418,64108,50.79,4.685,300360,166632,67432,50.22,4.63,312364
17,Rangamati,18062,7309,45.26,4.175,30516,17437,7056,43.29,3.99,28175
2,"Chattogram
Division",1425490,576864,45.79,4.224,2436412,"145041
0",586949,46.33,4.27,2508177
18,Dhaka,112907,45691,55.70,5.138,234756,110401,44677,49.95,4.61,205831
19,Faridpur,57386,23223,50.02,4.614,107153,56903,23027,50.05,4.62,106298
20,Gazipur,146601.7,59326,45.03,4.153,246388,146748,59386,47.04,4.34,257662
21,Gopalganj,182838.6,73991,55.47,5.117,378580,183726,74350,53.43,4.93,366425
22,Kishoreganj,408013,165114,45.74,4.219,696629,403798,163408,46.08,4.25,694537
23,Madaripur,83347.05,33729,47.73,4.402,148488,80650,32637,46.13,4.26,138886
24,Manikganj,115057,46561,51.38,4.739,220673,118316,47880,52.42,4.84,231520
25,Munshiganj,56052,22683,46.39,4.279,97062,56700,22945,47.88,4.42,101346
26,Narayanganj,54032,21866,45.75,4.220,92264,49627,20083,46.65,4.30,86422
27,Narsingdi,130431.7,52783,42.48,3.918,206813,132083,53451,42.95,3.96,211748
28,Rajbari,32406,13114,46.33,4.273,56037,32310,13075,46.08,4.25,55573
29,Shariatpur,64386,26056,51.59,4.759,123993,64104,25941,50.39,4.65,120574
