District/Division,,Total Area,Net cropped area,,Gross cropped area,,Intensity of Cropping,
,,,2019-20,2020-21,2019-20,2020-21,2019-20,2020-21
1,Bandarban,1107,81,81,131,131,162,162
2,Khagrachari,679,84,83,174,173,207,208
3,Rangamati,1511,83,82,134,133,161,162
4,Chattogram,1305,425,425,870,870,205,205
5,Cox’s Bazar,616,239,234,449,434,188,185
6,Cumilla,777,512,512,1009,1009,197,197
7,Chandpur,407,237,232,364,363,154,156
8,Brahmmanbaria,465,312,312,527,527,169,170
9,Noakhali,911,337,336,711,710,211,211
10,Lakshmipur,356,240,239,526,527,219,220
11,Feni,245,136,136,293,293,215,215
1,Chattogram Division,8379,2686,2672,5188,5170,193,193
12,Sylhet,853,496,488,788,776,159,159
13,Moulvibazar,692,391,390,640,639,164,164
14,Sunamganj,926,544,544,813,813,149,149
15,Habiganj,651,379,379,707,707,187,187
2,Sylhet Division,3122,1810,1801,2949,2935,163,163
16,Dhaka,362,158,157,239,242,151,154
17,Gazipur,446,206,204,338,334,164,164
18,Manikganj,342,174,174,369,369,212,212
19,Munshiganj,248,126,126,233,233,185,185
20,Narayanganj,169,72,70,120,118,167,169
21,Narsingdi,284,142,142,277,277,195,195
22,Faridpur,507,360,360,774,774,215,215
23,Rajbari,270,224,222,481,476,215,214
24,Madaripur,278,186,186,345,345,185,185
25,Gopalganj,363,233,231,453,451,194,195
26,Shariatpur,290,171,170,307,305,180,179
27,Tangail,844,479,479,911,911,190,190
28,Kishoerganj,664,443,443,740,770,167,174
3,Dhaka Division,5067,2974,2964,5588,5575,188,188
29,Mymensinghh,1086,725,725,1491,1491,206,206
30,Jamalpur,523,384,384,815,815,212,212
31,Sherpur,337,250,244,514,506,206,207
32,Netrokona,690,457,441,822,806,180,183
4,Mymensingh Division,2636,1816,1794,3642,3618,201,202
3,Barishal,688,460,460,682,682,148,148
34,Jhalokathi,175,130,125,254,249,195,199
35,Perojpur,316,200,198,312,309,156,156
36,Bhola,841,412,412,864,864,210,210
37,Patuakhali,796,398,398,557,557,140,140
,,,2019-20,2020-21,2019-20,2020-21,2019-20,2020-21
38,Barguna,453,248,248,369,369,149,149
5,Barishal Division,3269,1848,1841,3038,3030,164,164
39,Jashore,644,413,412,944,944,229,229
40,Jhenaidah,486,351,351,792,790,226,225
41,Magura,257,170,170,403,403,237,237
42,Narail,239,173,163,392,372,227,228
43,Khulna,1086,299,299,441,441,147,147
44,Bagerhat,978,271,265,402,392,148,148
45,Satkhira,943,356,356,522,522,147,147
46,Kushtia,398,283,283,685,685,242,242
47,Chuadanga,290,197,196,520,517,264,264
48,Meherpur,186,125,125,347,347,278,278
6,Khulna Division,5507,2638,2620,5448,5413,207,207
49,Rajshahi,599,480,476,992,980,207,206
50,Naogoan,849,629,629,1270,1270,202,202
51,Natore,470,364,360,740,732,203,203
52,Chapia Nawbganj,421,294,290,581,573,198,198
53,Bogura,716,527,527,1279,1279,243,243
54,Joypurhat,250,213,210,512,503,240,240
55,Pabna,587,374,374,821,821,220,220
56,Sirajganj,594,379,377,864,859,228,228
7,Rajshahi Division,4486,3260,3243,7057,7017,216,216
57,Rangpur,593,468,468,1065,1065,228,228
58,Gaibandah,523,386,383,798,783,207,204
59,Kurigram,555,343,343,717,717,209,209
60,Nilphamari,382,291,290,668,666,230,230
61,Lalmonirhat,308,216,216,501,501,232,232
62,Dinajpur,851,684,680,1546,1534,226,226
63,Thakurgaon,440,393,390,894,891,227,228
64,Panchagarh,347,268,267,579,578,216,216
8,Rangpur Division,3999,3049,3037,6768,6735,222,222
BANGLADESH,,36465,20081,19972,39678,39493,198,198
