Station,Jan.,Feb.,Mar.,Apr.,May,June,July.,Aug,Sep.,Oct.,Nov.,Dec.,Yearly
Dhaka,19.2,21.9,26.6,28.7,29.1,30.1,30.0,30.1,30.4,29.5,25.5,21.0,26.8
Tangail,17.5,19.9,25.0,27.3,28.1,29.5,29.5,29.9,29.4,28.5,23.7,19.3,25.6
Mymensingh,18.1,20.4,24.5,26.5,28.0,29.5,29.5,30.3,29.4,29.2,24.0,19.2,25.7
Faridpur,18.1,20.4,25.9,28.4,28.5,29.8,29.9,30.0,30.2,29.5,25.0,19.9,26.3
Madaripur,18.1,20.3,25.5,28.2,28.9,,,,,,,,
Srimangal,17.4,19.6,24.0,26.4,27.9,29.2,29.4,30.0,29.4,29.0,23.8,19.1,25.4
Sylhet,19.2,21.6,25.3,27.0,27.3,28.7,28.8,30.1,28.8,28.9,24.9,20.8,25.9
Bogura,18.2,20.4,25.1,27.2,28.0,30.0,29.7,30.6,29.8,29.3,24.6,19.4,26.0
Dinajpur,16.7,18.9,23.6,25.7,27.2,29.7,29.2,30.6,28.9,29.0,23.0,18.8,25.1
Ishwardi,17.2,19.3,24.6,27.9,28.9,30.3,30.4,30.5,30.2,29.3,23.8,19.0,25.9
Rajshahi,17.4,19.6,24.8,28.1,29.0,30.5,30.4,30.8,30.5,29.3,23.8,19.1,26.1
Rangpur,17.2,19.4,23.8,26.0,27.4,29.5,29.1,30.6,28.8,28.9,23.7,19.4,25.3
Syedpur,17.2,19.5,23.9,25.6,27.3,29.5,29.1,30.5,28.9,29.0,23.1,19.2,25.2
Chuadanga,17.4,19.3,24.9,28.3,28.8,30.2,30.3,30.3,30.3,29.3,23.8,28.7,26.0
Jashore,18.1,20.3,25.6,28.7,29.5,30.3,30.6,30.1,30.4,29.4,24.3,19.7,26.4
Khulna,18.9,21.0,26.4,29.2,29.7,30.2,30.2,29.9,30.2,29.5,25.1,20.2,26.7
Mongla,19.4,21.4,26.9,29.5,29.7,29.7,29.9,29.7,30.0,29.2,25.4,20.8,26.8
Satkhira,18.9,20.9,26.0,29.1,29.4,30.2,30.4,30.1,30.2,29.6,24.9,20.0,26.6
Barishal,18.7,20.5,25.8,28.3,29.2,29.5,29.6,29.3,29.7,29.2,24.7,20.0,26.2
Bhola,18.8,20.8,25.9,28.0,29.2,29.3,29.5,29.2,29.7,29.3,25.0,20.1,26.2
Khepupara,19.6,21.4,26.5,28.7,29.7,29.2,29.8,29.1,29.6,29.3,25.1,20.7,26.6
Patuakhali,19.6,21.5,26.7,28.7,29.7,29.4,29.6,29.2,29.8,29.1,25.1,20.7,26.6
chandpur,19.3,21.8,26.5,28.3,29.3,29.8,29.9,29.7,30.32,29.9,25.7,21.0,26.8
Ambagan(Ctg),20.7,22.0,26.8,28.2,29.3,29.2,28.8,28.8,29.3,29.7,26.2,21.8,26.8
Chittagong,20.2,21.5,26.3,28.3,29.5,29.4,29.0,29.0,29.5,29.6,25.9,21.8,26.7
Cumilla,18.6,20.6,25.4,27.1,28.5,28.9,29.1,29.2,29.5,29.3,24.9,20.1,25.9
Cox's Bazar,21.3,22.4,27.1,28.7,29.6,28.7,28.4,28.1,29.3,29.3,26.4,22.5,26.8
Feni,19.2,21.1,25.9,27.8,28.9,29.1,29.2,29.4,29.5,29.0,24.9,*,*
Hatiya,19.3,21.1,25.9,27.8,29.0,28.9,28.8,28.3,28.9,29.0,25.1,20.8,26.1
Kutubdia,20.3,21.3,25.7,28.2,29.1,29.2,28.8,28.4,29.4,29.4,25.8,21.8,26.4
M.court,19.6,21.6,26.4,28.3,29.5,29.5,29.6,29.2,29.8,28.2,25.5,21.0,26.6
Rangamati,19.5,20.6,25.5,28.2,28.8,29.0,28.8,28.9,29.4,29.6,25.1,20.7,26.2
Sandwip,19.5,21.0,25.9,27.7,29.0,29.0,28.8,28.8,29.2,29.5,25.4,20.7,26.2
Sitakunda,19.4,20.8,25.8,27.8,29.2,29.3,29.1,29.3,28.8,29.0,25.2,20.8,26.2
Teknaf,21.2,21.7,26.4,28.7,29.3,*,*,*,*,*,*,*,*
