SL No,Name of the Irrigation Instrument,Number of the Instrument by (2020-21),,,
,,Electricity,Diesel,Others,Total
1,Deep tube-well,35059,1896,-,36955
2,Shallow tube-well,378225,1031464,-,1409689
3,LLP,19962,184429,-,204391
