District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,0,0,0.00,0,0,0,0,0,0,0
2,Barishal,53609,21694,51.43,4.744,102916,60800,24604,51.47,4.747,116800
3,Bhola,3099,1254,48.56,4.479,5617,3728,1509,52.56,4.848,7314
4,Jhallokati,964,390,50.51,4.659,1818,2124,860,48.62,4.485,3855
5,Patuakhali,0,0,0.00,0.000,0,0,0,0,0,0
6,Pirojpur,26428,10695,50.92,4.697,50232,29028,11747,50.46,4.655,54678
1,"Barishal
Division",84100,34033,51.15,4.718,160582,95680,38720,51.14,4.717,182647
7,Bandarban,6397,2589,49.42,4.558,11801,6408,2593,48.01,4.429,11484
8,Brahmanbaria,1428,578,52.13,4.808,2779,13001,5261,51.23,4.726,24863
9,Chandpur,15835,6408,50.81,4.687,30033,15822,6403,54.25,5.004,32042
10,Chattogram,23528,9521,46.73,4.310,41040,33336,13490,49.63,4.577,61751
11,Cumilla,52661,21311,50.45,4.653,99169,52083,21077,50.65,4.672,98475
12,Cox’s Bazar,18118,7332,51.23,4.725,34646,18681,7560,51.70,4.769,36055
13,Feni,6382,2583,50.77,4.683,12095,6388,2585,49.81,4.595,11878
14,Khagrachari,8579,3472,45.83,4.227,14676,9544,3862,46.64,4.302,16616
15,Lakshmipur,20965,8484,42.60,3.929,33337,27239,11023,45.01,4.152,45768
16,Noakhali,121837,49305,53.26,4.913,242219,127559,51620,53.42,4.927,254352
17,Rangamati,8320,3367,49.01,4.521,15221,8338,3374,49.33,4.551,15355
2,"Chattogram
Division",284050,114949,50.65,4.672,537016,318399,128849,51.21,4.724,608639
18,Dhaka,37,15,47.89,4.417,66,32,13,48.34,4.459,57
19,Faridpur,967,391,52.15,4.810,1882,1733,701,53.48,4.933,3459
