Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,-,-,-,-,-,-,-,-,-,-,-,-,-
02,",,",Medium,-,-,-,-,-,-,-,-,-,-,-,-,-
03,",,",Coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
04,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
05,‘’,shugandhi,-,-,-,-,-,-,-,-,-,-,-,-,-
06,Paddy Aus,medium,-,-,-,-,-,-,-,-,-,-,-,-,-
07,",,:",coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
08,",,",pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
09,Paddy Boro,fine,-,-,-,-,-,-,-,-,-,-,-,-,-
10,",,",medium,-,-,-,-,-,-,-,-,-,-,-,-,-
11,‘’,coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
12,",,",pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Rice Aman,fine,59.36,61.01,62.21,62.24,61.95,60.81,61.69,61.90,-,-,-,-,61.40
14,",,",medium,49.45,50.67,51.98,51.35,50.69,49.92,50.20,50.75,-,-,-,-,50.63
15,",,",coarse,43.06,44.03,44.86,44.66,44.01,43.74,44.06,44.21,-,-,-,-,44.08
16,",,",pajam,57.40,58.93,58.82,60.18,59.68,58.20,59.08,59.25,-,-,-,-,58.94
17,Rice Aus,Medium,-,-,-,-,-,-,-,-,-,-,-,-,
18,",,",coarse,43.75,44.00,44.88,-,-,-,-,-,-,-,-,-,44.21
19,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,
20,Rice boro,fine,58.99,60.62,61.49,61.34,58.91,58.27,59.44,59.83,-,-,-,-,59.86
21,",,",medium,51.55,52.83,53.66,52.82,49.68,49.21,50.35,50.82,-,-,-,-,51.37
22,",,",coarse,43.50,43.91,44.85,44.57,42.63,42.54,43.51,43.61,-,-,-,-,43.64
23,",,",pajam,48.50,45.33,46.16,47.25,46.00,51.50,51.17,56.00,-,-,-,-,48.99
24,Rice OMS,course,38.00,39.17,40.40,39.28,37.57,37.35,34.92,33.94,-,-,-,-,37.58
25,Aromatic rice,Chinigura,94.42,94.28,94.77,94.75,94.29,93.18,93.59,93.30,-,-,-,-,94.07
26,,Kalojira,87.92,87.72,87.43,87.05,86.31,85.43,85.82,85.72,-,-,-,-,86.68
27,,kataribhog,71.24,71.79,73.14,72.81,73.52,72.79,72.29,71.77,-,-,-,-,72.42
28,Wheat local,red,28.75,28.43,29.29,29.21,29.46,28.94,28.83,29.08,-,-,-,-,29.00
29,",,",white,28.36,29.06,28.77,28.63,28.33,28.86,28.68,28.37,-,-,-,-,28.63
30,Imported,red,-,28.50,29.00,29.00,29.00,29.00,29.00,29.00,-,-,-,-,28.93
31,",,",white,28.93,29.08,29.72,29.18,29.50,29.39,29.50,29.62,-,-,-,-,29.37
32,Ata,loose,28.88,29.61,29.62,29.42,29.05,28.83,28.61,28.96,-,-,-,-,29.12
33,",,",Packet,33.29,33.55,33.66,33.62,33.65,33.67,33.66,33.72,-,-,-,-,33.60
34,flour,loose,35.07,35.33,35.44,35.33,35.35,35.17,35.12,35.49,-,-,-,-,35.29
35,",,",packet,43.36,43.61,43.83,44.05,43.83,43.58,43.58,43.91,-,-,-,-,43.72
36,Maize,-,23.17,23.40,23.00,22.77,23.13,23.77,24.67,25.18,-,-,-,-,23.64
37,Kalai,mash,95.34,95.44,94.57,94.26,94.20,93.85,94.07,98.98,-,-,-,-,95.09
38,",,",mashur,68.06,67.38,68.72,67.00,67.00,67.00,67.00,63.35,-,-,-,-,66.94
39,",,",mug,104.61,104.61,104.54,104.71,104.71,104.71,104.71,91.06,-,-,-,-,102.96
40,",,",Chola,73.93,73.87,73.64,74.08,73.91,73.80,73.88,71.80,-,-,-,-,73.61
41,",,",Motor local,59.40,57.00,57.00,57.00,57.00,54.71,57.00,55.03,-,-,-,-,56.77
42,",,",Motor foreign,59.40,57.00,57.00,57.00,57.00,54.71,57.00,55.03,-,-,-,-,56.77
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
43,",,",kheshari,56.04,56.33,56.40,56.00,53.57,53.57,53.57,50.29,-,-,-,-,54.47
44,Dal,Mash gota,116.16,115.88,116.99,119.76,119.21,118.89,118.26,118.12,-,-,-,-,117.91
45,",,",Broken,121.81,121.85,121.57,119.15,118.66,118.52,118.07,119.93,-,-,-,-,119.95
46,",,",Mashur local gota,112.43,112.48,112.34,114.53,109.83,109.59,109.85,109.60,-,-,-,-,111.33
47,",,",Mashur broken,81.15,81.11,82.00,80.33,79.91,81.61,79.93,84.11,-,-,-,-,81.27
48,",,",Mashur foreign,94.96,94.67,94.28,91.42,91.11,91.28,91.85,94.15,-,-,-,-,92.97
49,",,",Mug local,130.17,130.34,132.12,131.91,132.07,132.17,132.06,131.25,-,-,-,-,131.51
50,",,",Chola gota,81.31,80.56,80.31,81.62,80.26,77.69,79.11,77.70,-,-,-,-,79.82
51,",,",Chola broken,82.38,82.26,81.72,80.35,79.18,78.39,78.68,77.32,-,-,-,-,80.04
52,",,",Motor local,83.44,86.13,83.66,87.00,87.25,86.85,84.13,81.36,-,-,-,-,84.98
53,",,",Motor foreign,41.40,41.42,41.76,43.68,43.80,43.99,43.77,42.43,-,-,-,-,42.78
54,",,",kheshari,72.54,72.65,73.02,73.19,72.75,72.14,72.00,70.25,-,-,-,-,72.32
55,Oil seed,Mustard,69.55,69.38,73.73,70.00,70.49,75.28,75.30,78.21,-,-,-,-,72.74
56,",,",Tishi,72.00,72.00,72.00,77.00,77.00,77.00,79.50,80.58,-,-,-,-,75.89
57,",,",Til,108.00,108.00,108.20,106.50,106.50,106.50,107.81,86.17,-,-,-,-,104.71
58,",,",Nut,105.46,104.91,105.11,104.42,104.32,104.74,90.00,104.32,-,-,-,-,102.91
59,Oil,Mustard,150.33,150.90,152.75,160.04,160.86,163.38,162.10,166.66,-,-,-,-,158.38
60,",,",Soyabeen,112.48,111.87,116.21,119.84,123.23,126.51,116.94,123.28,-,-,-,-,118.80
61,",,",Pulm,99.55,99.01,101.17,105.87,107.69,111.64,109.62,114.67,-,-,-,-,106.15
62,“,Ghee (dalda),111.45,112.07,112.35,118.79,120.76,123.19,127.37,140.73,-,-,-,-,120.84
63,",,",Butter oil,755.00,755.00,703.00,755.00,755.00,761.00,757.50,757.50,-,-,-,-,749.88
64,",,",Coconut,281.77,282.46,283.10,275.32,276.00,279.65,279.31,295.61,-,-,-,-,281.65
65,khail,Mustard,39.51,39.50,53.13,39.65,39.61,39.74,39.64,40.54,-,-,-,-,41.42
66,",,",Til,42.20,42.50,42.56,42.60,42.60,42.60,42.60,44.10,-,-,-,-,42.72
67,",,",Others,38.68,38.78,38.92,38.60,38.80,39.08,38.80,38.80,-,-,-,-,38.81
68,Spice,Onion local,36.89,29.24,33.87,34.33,35.13,38.94,40.29,43.37,-,-,-,-,36.51
69,",,",Onion imported,30.57,24.11,41.39,29.61,32.41,35.77,38.96,39.00,-,-,-,-,33.98
70,",,",Garlic local,106.25,98.02,74.99,69.56,69.21,69.58,69.70,67.58,-,-,-,-,78.11
71,",,",Garlic imported,107.37,115.94,115.19,114.08,113.52,114.98,115.33,113.84,-,-,-,-,113.78
72,,Chilli dried,236.86,232.07,229.07,221.95,220.37,218.61,218.23,211.73,-,-,-,-,223.61
73,",,",Green chilli,79.43,58.74,41.10,39.16,39.21,41.83,41.91,91.57,-,-,-,-,54.12
74,",,",Ginger local,88.25,82.25,81.59,85.09,85.05,89.20,92.05,104.28,-,-,-,-,88.47
75,",,",Ginger imported,91.06,81.66,81.09,82.35,83.05,87.01,89.33,100.47,-,-,-,-,87.00
76,",,",Turmeric round,139.03,139.00,137.15,139.55,141.58,140.81,139.54,142.83,-,-,-,-,139.94
77,",,",Turmeric long,142.51,139.19,137.96,139.45,138.70,140.59,139.94,141.09,-,-,-,-,139.93
78,",,",Coriander old,110.05,110.80,111.07,109.60,109.37,109.53,109.56,109.90,-,-,-,-,109.99
79,",,",Coriander new,94.25,94.06,92.48,96.33,99.35,101.56,100.08,101.35,-,-,-,-,97.43
80,Jute,White/tosha top,51.75,51.75,35.50,35.50,82.50,82.50,82.56,82.56,-,-,-,-,63.08
81,",,",Middle,56.67,61.56,76.00,76.00,95.00,90.50,84.90,84.88,-,-,-,-,78.19
82,",,",B-botom,-,-,-,-,262.50,208.33,198.33,198.33,-,-,-,-,216.87
83,",,",C -bottom,-,-,-,-,125.00,125.00,102.50,80.00,-,-,-,-,108.13
