District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,0,0,0.00,0.000,0,0,0,0,0,0
2,Barishal,6758,2735,18.86,1.740,4758,7020,2841,16.24,1.498,4255
3,Bhola,3430,1388,20.87,1.925,2672,3430,1388,18.34,1.692,2348
4,Jhallokati,12,5,32.00,2.952,14,12,5,19.40,1.789,9
5,Patuakhali,753,305,23.16,2.136,651,712,288,19.82,1.828,527
6,Pirojpur,100,40,19.16,1.767,72,90,36,18.61,1.717,63
1,"Barishal
Division",11053,4473,19.79,1.826,8166,11264,4558,23.62,1.580,7202
7,Bandarban,0,0,0.00,0.000,0,0,0,0,0,0
8,Brahmanbaria,179,73,12.51,1.154,84,135,55,13.32,1.229,67
9,Chandpur,457,185,17.71,1.634,302,439,178,16.87,1.556,276
10,Chattogram,0,0,0.00,0.000,0,0,0,0,0,0
11,Cumilla,1235,500,25.43,2.346,1172,1100,445,26.74,2.466,1098
12,Cox’s Bazar,2954,1196,30.61,2.823,3376,3063,1239,22.32,2.059,2552
13,Feni,0,0,26.19,0.000,0,0,0,0,0,0
14,Khagrachari,0,0,0.00,0.000,0,0,0,0,0,0
15,Lakshmipur,0,0,0.00,0.000,0,0,0,0,0,0
16,Noakhali,0,0,0.00,0.000,0,0,0,0,0,0
17,Rangamati,0,0,0.00,0.000,0,0,0,0,0,0
2,"Chattogram
Division",4825,1953,27.39,2.527,4934,4737,1917,21.68,2.083,3993
18,Dhaka,858,347,24.92,2.299,798,938,380,24.82,2.289,869
19,Faridpur,3668,1484,20.89,1.927,2860,2830,1145,18.26,1.684,1929
20,Gazipur,389,157,15.89,1.466,231,388,157,19.42,1.791,281
21,Gopalganj,212,86,22.58,2.083,179,255,103,20.14,1.858,192
22,Kishoreganj,912,369,21.46,1.979,731,1080,437,21.31,1.966,859
23,Madaripur,821,332,19.25,1.776,590,833,337,17.51,1.615,544
24,Manikganj,2253,912,17.28,1.594,1453,1700,688,18.24,1.682,1158
25,Munshiganj,312,126,14.20,1.310,165,161,65,17.18,1.585,103
26,Narayanganj,248,100,17.65,1.628,163,172,70,10.15,0.936,65
27,Narsingdi,398,161,20.31,1.873,302,396,160,20.94,1.931,310
28,Rajbari,677,274,17.56,1.620,444,450,182,20.35,1.877,342
29,Shariatpur,4817,1949,18.52,1.708,3330,4519,1829,16.60,1.531,2800
30,Tangail,1811,733,19.98,1.843,1350,1669,676,18.74,1.729,1168
3,"Dhaka
Division",17376,7032,19.42,1.791,12596,15390,6228,22.58,1.705,10619
31,Bagerhat,827,335,18.84,1.738,582,690,279,19.87,1.833,512
32,Chuadanga,0,0,0.00,0.000,0,0,0,0,0,0
33,Jashore,0,0,0.00,0.000,0,0,0,0,0,0
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0,0,0
35,Khulna,216,87,19.26,1.777,155,613,248,18.99,1.752,453
36,Kushtia,0,0,0.00,0.000,0,0,0,0,0,0
37,Magura,0,0,0.00,0.000,0,0,0,0,0,0
38,Meherpur,0,0,0.00,0.000,0,0,0,0,0,0
39,Narail,42,17,25.41,0.000,40,34,14,23.54,2.171,30
40,Satkhira,0,0,0.00,0.000,0,0,0,0,0,0
4,"Khulna
Division",1085,439,19.18,1.769,777,1337,541,19.56,1.804,979
41,Jamalpur,1118,452,18.69,1.724,780,980,397,16.95,1.563,620
42,Mymensingh,293,119,25.89,2.388,283,286,116,23.51,2.169,251
43,Netrokona,796,322,24.23,2.235,720,461,187,22.14,2.042,381
44,Sherpur,173,70,18.63,1.718,120,128,52,19.56,1.804,93
5,"Mymensingh
Division",2380,963,21.42,1.976,1903,1855,751,19.44,1.792,1345
45,Bogura,2336,945,18.96,1.749,1653,2170,878,19.95,1.840,1616
46,Joypurhat,0,0,0,0.000,0,0,0,0,0,0
47,Naogaon,0,0,0,0.000,0,0,0,0,0,0
48,Natore,25,10,21.87,2.017,20,37,15,21.09,1.945,29
49,"Chapai
Nawabganj",0,0,0,0.000,0,0,0,0,0,0
50,Pabna,1016,411,17.62,1.625,668,1124,455,19.90,1.836,835
51,Rajshahi,0,0,0,0.000,0,0,0,0,0,0
52,Sirajganj,5181,2097,22.96,2.118,4440,5539,2242,21.44,1.978,4433
6,"Rajshahi
Division",8558,3463,21.23,1.958,6782,8870,3590,20.92,1.926,6913
53,Dinajpur,0,0,0,0.000,0,0,0,0,0,0
54,Gaibandha,1568,635,18.55,1.711,1086,1880,761,18.43,1.700,1293
55,Kurigram,3231,1308,18.39,1.696,2218,2988,1209,18.76,1.730,2092
56,Lalmonirhat,0,0,0,0.000,0,0,0,0,0,0
57,Nilphamari,0,0,0,0.000,0,0,0,0,0,0
58,Panchagar,0,0,0,0.000,0,0,0,0,0,0
59,Rangpur,0,0,0,0.000,0,0,0,0,0,0
60,Thakurgaon,0,0,0,0.000,0,0,0,0,0,0
7,"Rangpur
Divison",4799,1942,18.44,1.701,3304,4868,1970,18.63,1.719,3386
61,Habiganj,139,56,16.17,1.492,84,177,72,18.40,1.697,122
62,Moulvibazar,763,309,21.75,2.006,619,951,385,19.04,1.756,676
63,Sunamganj,9441,3821,18.24,1.682,6428,9480,3836,21.36,1.970,7559
64,Sylhet,21509,8704,18.58,1.714,14917,18485,7480,19.23,1.774,13270
8,"Sylhet
Division",31852,12890,20.21,1.711,22049,29093,11773,19.91,1.837,21627
,Bangladesh,81928,33154,20.21,1.825,60510,77414,31328,19.40,1.789,56060
