District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,215,329,373,0,0,0,163,150,258,161,150,258
2,Barishal,891,783,405,0,0,0,1519,1518,1383,1519,1518,1383
3,Bhola,257,243,273.98,0,0,0,167,270,432,167,270,432
4,Jhallokati,602,512,336.45,0,0,0,806,800,1487,806,800,1487
5,Patuakhali,237,546,219.83,0,0,0,221,313,224.35,221,313,224.35
6,Pirojpur,603,2632,251.59,0,0,0,819,980,840.70,819,980,840.70
1,Barishal Division,2805,534,1859.85,0,0,0,3701,3701,4625.05,3693,3701,4625.05
7,Bandarban,510,534,989,167,525,549,293,317,311,460,842,860
8,Brahmanbaria,401,317,178.34,570,410,313.79,911,967,873.81,1481,1377,1187.60
9,Chandpur,254,169,22.89,0,35,0,417,231,438.11,417,266,438.11
10,Chattogram,35,542,556.36,364,834,1584.32,3228,5026,4189.88,3592,5860,5774.20
11,Cumilla,612,486,316.29,0,575,213.48,1554,1018,1902.22,1554,1593,2115.70
12,Cox’s Bazar,321,381,157.54,143,172,692,568,279,1606,711,451,2298
13,Feni,23,159,59.63,0,565,5.57,167,6897,151.56,167,7462,157.13
14,Khagrachari,734,547,494.19,315,355,170,594,618,868.10,909,973,1038.10
15,Lakshmipur,492,251,476,0,0,0,243,245,552,243,245,552
16,Noakhali,310,242,45.10,0,0,0,250,283,293.37,250,283,293.37
17,Rangamati,646,687,380.55,422,455,406.36,2423,2568,2404.74,2845,3023,2811.10
2,"Chattogram
Division",4338,4315,3675.89,1981,3926,3934.52,10648,18449,13590.79,12629,22375,17525.31
18,Dhaka,449,342,70.39,0,0,0,869,1230,1215.53,869,1230,1215.53
19,Faridpur,63,134,100,28,28,4.29,560,570,635.71,588,598,640
20,Gazipur,465,482,191.18,550,159,192.50,290,542,655.20,840,701,847.70
21,Gopalganj,489,464,64.67,0,0,0,639,675,689.74,639,675,689.74
22,Kishoreganj,535,572,150.7,56,116,149.43,1261,585,1465.72,1317,701,1615.15
23,Madaripur,171,185,63.77,0,0,0,435,590,479.03,435,590,479.03
24,Manikganj,191,234,106.16,0,0,20.02,695,717,689.91,695,717,709.93
25,Munshiganj,76,127,25.77,0,0,0,156,165,158.30,156,165,158.30
26,Narayanganj,80,116,14.81,0,26,25.16,135,116,115.53,135,142,140.69
27,Narsingdi,22,165,80.17,0,64,0,771,936,891.27,771,1000,891.27
28,Rajbari,389,440,373.08,0,121,96.54,1227,1062,1227.08,1227,1183,1323.62
29,Shariatpur,429,581,292.49,0,192,0,319,226,1059.70,319,418,1059.70
30,Tangail,396,461,155.59,0,508,210.84,1826,1081,1690.74,1826,1589,1901.58
3,Dhaka Division,3755,4303,1688.78,634,1214,698.78,9183,8495,10973.46,9817,9709,11672.24
31,Bagerhat,607,658,84.41,0,0,72.61,694,694,650.39,694,694,723
32,Chuadanga,115,158,51.66,56,56,57.34,145,150,143.66,201,206,201
33,Jashore,840,789,392.82,104,299,0,2234,2106,2320,2338,2405,2320
34,Jhenaidah,402,316,114.92,0,0,0,1443,1454,1444,1443,1454,1444
35,Khulna,521,527,221.49,0,0,0,887,987,1355,887,987,1355
36,Kushtia,600,584,91,255,263,396,1282,1385,1349,1537,1648,1745
37,Magura,334,434,136.65,0,0,527.92,1478,4113,1087.08,1478,4113,1615
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,163,173,117.08,0,0,0,712,714,703,712,714,703
39,Narail,472,528,227.15,381,364,0,1206,1092,1316,1587,1456,1316
40,Satkhira,274,283,189.29,0,0,75.18,622,816,737.82,622,816,813
4,Khulna Division,4328,4328,1626.47,796,982,1129.05,10703,13511,11105.95,11499,14493,12235
41,Jamalpur,372,419,189,0,0,14.66,823,827,1166.34,823,827,1181
42,Mymensingh,2140,2143,1257,75,112,224.12,3845,2406,3773.88,3920,2518,3998
43,Netrokona,474,516,242,0,0,0,610,1398,1495,610,1398,1495
44,Sherpur,261,361,115,0,0,0,435,443,539,435,443,539
5,"Mymensingh
Division",3247,3439,1803,75,112,238.78,5713,5074,6974.22,5788,5186,7213
45,Bogura,872,672,190.89,0,0,0,1619,1617,1829.32,1619,1617,1829.32
46,Joypurhat,98,135,25.95,0,0,0,203,257,219.29,203,257,219.29
47,Naogaon,329,389,182.38,27,27,28.34,584,583,608.66,611,610,637
48,Natore,574,540,229.11,10,13,18.48,3235,3287,3405.67,3245,3300,3424.15
