District name,September-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,400,264
Khagrachari,350,230,-,-,-,-,346,250
Rangamati,343,281,294,232,-,-,422,318
Chattogram,465,360,460,350,450,310,527,390
Coxbazar,500,340,465,331,460,250,590,375
Cumilla,446,450,435,500,433,-,455,417
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,360,280,356,-,340,230,410,290
Noakhali,484,-,450,-,500,-,557,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,515,-,490,-,570,-
Chattogram Division,421,324,425,353,446,263,458,329
Sylhet,407,310,385,290,380,-,423,350
Moulvibazar,376,318,370,282,-,-,420,346
Sunamganj,425,360,-,-,-,-,448,398
Habiganj,320,-,-,-,-,-,417,350
Sylhet Division,382,329,378,286,380,-,427,361
Dhaka,460,380,430,350,415,340,475,400
Gazipur,377,325,350,300,300,250,438,367
Manikganj,446,300,429,238,435,-,476,330
Munshiganj,-,320,-,-,428,-,485,350
Narayanganj,420,370,413,338,380,320,438,378
Narsingdi,-,-,435,275,308,-,498,300
Faridpur,352,-,-,-,340,-,450,-
Rajbari,390,300,333,200,300,200,422,350
Madaripur,377,325,350,300,330,250,438,367
Gopalganj,458,-,440,-,430,-,465,325
Shariatpur,393,233,390,205,380,230,458,300
Tangail,450,370,400,340,390,300,490,400
Kishoreganj,458,-,450,-,440,-,465,200
Dhaka Division,416,325,402,283,375,270,461,339
Mymensingh,400,290,384,270,353,-,422,300
Jamalpur,428,-,392,-,377,-,451,
Sherpur,450,-,411,-,401,-,438,
Netrokona,380,310,360,300,323,-,420,350
Mymensingh Division,415,300,387,285,364,-,433,325
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,400,-,390,-,-,,420,-
Jhalokathi,390,-,-,-,-,-,400,-
Perojpur,471,352,-,-,-,-,540,434
Bhola,390,-,-,-,-,-,400,-
Patuakhali,380,-,-,-,-,-,390,-
Barguna,400,-,390,-,-,-,420,-
Barishal Division,405,352,390,-,-,-,428,434
Jashore,-,-,-,-,-,-,320,270
Jhenaidah,340,250,330,240,320,230,372,280
Magura,370,-,357,-,314,-,403,-
Narail,330,-,-,-,320,-,401,390
Khulna,-,-,-,-,-,-,405,360
Bagerhat,400,-,390,-,380,-,421,340
Satkhira,-,-,-,-,-,-,344,248
Kushtia,385,-,360,-,340,-,436,-
Chuadanga,296,-,-,-,-,-,304,-
Meherpur,300,-,-,-,-,-,323,-
Khulna Division,346,250,359,240,335,230,373,315
Rajshahi,360,285,380,268,-,-,368,300
Naogaon,346,283,313,261,300,260,382,320
Natore,330,249,317,240,350,230,381,292
Chapai Nawabganj,300,250,286,240,300,230,320,270
Bogra,346,300,340,-,290,-,350,-
Joypurhat,300,250,-,-,290,225,335,305
Pabna,430,350,410,-,-,-,451,371
Sirajganj,-,-,-,-,-,-,307,250
Rajshahi Division,345,281,341,252,306,236,362,301
Rangpur,328,220,-,-,-,-,298,230
Gaibandha,-,-,-,-,-,-,307,225
Kurigram,309,225,-,-,-,-,327,245
Nilphamari,337,235,330,220,-,-,380,250
Lalmonirhat,330,205,320,200,-,-,340,210
Dinajpur,327,254,218,270,-,-,382,304
Thakurgaon,295,253,-,-,-,-,308,262
Panchagarh,320,223,-,-,-,-,348,243
Rangpur Division,321,231,289,230,-,-,336,246
BANGLADESH,382,295,380,282,370,257,412,316
