District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,348,234,214.44,0,0,0,130,91,136,130,91,136
2,Barishal,459,286,281.00,0,0,0,230,240,247,230,240,247
3,Bhola,483,77,21.09,5,0,0,150,162,184.20,155,162,184.20
4,Jhallokati,93,57,56.38,0,0,0,58,53,55,58,53,55
5,Patuakhali,796,343,346.67,0,0,0,200,205,162.55,200,205,162.55
6,Pirojpur,473,77,76.57,0,0,0,147,178,177,147,178,177
1,Barishal Division,2653,1074,996.15,5,0,0,915,929,961.75,920,929,961.75
7,Bandarban,16,775,756.00,40,46,47.03,631,656,664.97,671,702,712
8,Brahmanbaria,199,617,629.74,0,0,0,108,108,106.58,108,108,106.58
9,Chandpur,344,34,43.73,0,0,0,105,106,113.48,105,106,113.48
10,Chattogram,400,14,26.13,0,0,0,191,169,117.20,191,169,117.20
11,Cumilla,394,300,312.30,6,8,9,150,127,130.97,156,135,139.97
12,Cox’s Bazar,152,118,21.69,0,14,0,188,362,61.84,188,376,61.84
13,Feni,102,70,70.16,0,0,0,39,25,21.60,39,25,21.60
14,Khagrachari,305,456,115.75,0,0,0,249,1095,262.60,249,1095,262.60
15,Lakshmipur,315,40,42.42,0,0,0,113,77,79.25,113,77,79.25
16,Noakhali,219,35,24.85,0,0,0,65,59,60.38,65,59,60.38
17,Rangamati,607,524,523.90,25,21,21.89,424,366,372.63,297,387,394.52
2,"Chattogram
Division",3575,2983,2566.67,71,89,77.92,2263,3150,1991.50,2334,3239,2069.42
18,Dhaka,174,13,19.80,0,0,0,187,114,188.66,187,114,188.66
19,Faridpur,513,155,156.00,0,0,0,241,238,226.72,241,238,226.72
20,Gazipur,232,64,52.00,0,0,0,156,159,135.14,156,159,135.14
21,Gopalganj,65,35,35.27,0,0,0,216,141,141.92,216,141,141.92
22,Kishoreganj,193,49,46.19,0,0,0,114,118,128.97,114,118,128.97
23,Madaripur,424,281,36.80,0,0,0,309,308,308.43,309,308,308.43
24,Manikganj,76,18,17.97,0,0,0,61,58,58.36,61,58,58.36
25,Munshiganj,75,10,10.26,0,0,0,50,46,50.31,50,46,50.31
26,Narayanganj,10,9,10.45,0,0,0,77,95,108.40,77,95,108.40
27,Narsingdi,162,23,22.94,0,0,0,420,259,184.40,420,259,184.40
28,Rajbari,125,17,23.53,0,5,0,108,211,170.08,108,216,170.08
29,Shariatpur,412,170,31.15,0,0,0,171,175,126.10,171,175,126.10
30,Tangail,260,30,29.36,0,0,0,152,150,146.12,152,150,146.12
3,Dhaka Division,3161,874,491.72,0,5,0,2262,2072,1973.61,2262,2077,1973.61
31,Bagerhat,350,355,51.63,0,0,0,335,118,145.85,335,118,145.85
32,Chuadanga,41,44,7.67,0,0,0,55,56,56.74,55,56,56.74
33,Jashore,360,355,69.29,0,0,0,342,346,346,342,346,346
34,Jhenaidah,261,248,25.67,0,0,0,222,196,187,222,196,187
35,Khulna,471,452,131.51,0,0,0,303,248,265.53,303,248,265.53
36,Kushtia,350,104,51.63,0,0,0,330,105,154.84,,105,154.84
37,Magura,124,121,18.19,0,0,0,360,342,88,360,342,88
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,28,28,25.60,0,0,0,29,32,32,29,32,32
39,Narail,151,195,107.90,18,0,0,69,94,94.54,87,94,94.54
40,Satkhira,346,457,580.00,0,0,0,234,252,273,234,252,273
4,Khulna Division,2483,2359,1069.09,18,0,0,2279,1789,1643.50,2297,1789,1643.50
41,Jamalpur,148,142,65.00,0,0,0,107,114,126,107,114,126
42,Mymensingh,533,487,216.00,0,0,0,268,382,334,268,382,334
43,Netrokona,121,135,31.00,0,0,0,70,138,108,70,138,108
44,Sherpur,218,169,57.00,0,0,0,151,339,321,151,339,321
5,"Mymensingh
Division",1020,933,369.00,0,0,0,596,973,889,596,973,889
45,Bogura,324,315,94.55,0,0,0,376,378,341.20,376,378,341.20
46,Joypurhat,25,96,17.19,0,0,0,117,80,82.89,117,80,82.89
47,Naogaon,205,193,26.39,0,0,0,161,164,170.93,161,164,170.93
48,Natore,234,227,47.47,0,0,0,721,368,204.38,721,368,204.38
49,Chapai Nawabganj,28,28,13.82,0,0,0,20,22,23.47,20,22,23.47
50,Pabna,547,528,306.30,0,0,0,348,304,338,348,304,338
51,Rajshahi,125,281,71.98,0,0,0,163,211,157.38,163,211,157.38
52,Sirajganj,126,135,8.66,0,0,0,179,170,155.93,179,170,155.93
6,Rajshahi Division,1687,1803,586.36,0,0,0,2085,1697,1474.18,2085,1697,1474.18
53,Dinajpur,214,210,18.36,0,0,0,217,215,53.76,217,215,53.76
54,Gaibandha,89,65,23.34,3,3,2.64,86,21,24.83,89,24,27.47
55,Kurigram,106,42,17.19,0,0,0,86,16,30.62,86,16,30.62
56,Lalmonirhat,57,57,9.50,0,0,0,33,34,33.87,33,34,33.87
57,Nilphamari,47,50,5.83,0,0,0,30,30,31.58,30,30,31.58
