Crop,2018-19,,,2019-20,,,2020-21,,
,"Area
'000'
Acres","Per acre
Yield (Kg","Production
) '000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
OIL SEEDS (Edible),,,,,,,,,
Til,85,374,32,83,394,32,86,372,32
Rape & Mustard,667,467,312,764,469,358,814,487,397
Groundnut,87,721,63,81,754,61,86,779,67
Soya bean,154,718,111,151,692,105,142,640,91
Lin Seeds,13,279,4,10,304.66,3,13,290,04
Coconut,89,55,432,90,53,412,89,53,403
Sunflower,3,620,2,3,434.98,1,04,507,02
Total Oil Seeds,1098,870,954,1182,822,972,1234,807,996
SPICES & CONDIMENTS,,,,,,,,,
"Chillies, Kharif",44,989,43,48,944,46,51,1941,99
"Chillies, Rabi",195,543,106,191,585.96,112,197,2000,394
Total Chillies,239,625,149,239,658.22,158,247,1995,493
Onion,426,4231,1803,458,4268,1954,480,4725,2269
Garlic,177,2631,466,182,2670.50,485,180,2786,502
Turmeric,70,2117,147,82,3485,286,65,3337,218
Ginger,24,3379,80,25,3333.9,85,25,3217,82
Coriander Seeds,50,386,19,50,426.10,21,50,430,22
Coriander,7,744,5,8,748,6,8,777,6
Cassia Leaf,1,10,1,1,12,2,01,10,02
Black Cumin,,,,2,472,1,02,429,01
Capsicum,0.008,1375,0.011,0.013,2902.20,0.039,0.054,3267,.176
Methi,0.369,501,0.185,0.379,528,0.200,.366,505,.185
Mint,0.009,1000,,0.011,519,0.006,.009,411,.003
Joyeen,,,,,,,.032,,.009
"Total Spices &
Condiments",995,2686,2673,809,3510,2840,1060,3390,3594
SUGAR CROPS,,,,,,,,,
Sugar Cane,200,15685,3142,213,17282,3683,192,17328,3333
Date Palm(juice),63,52,166,75,53,153,68,53,150
Date Palm (Fruits),56,9,35,26,12,35,23,12,40
Palmyra Palm (Juice),8,67,49,7,66,46,10,84,58
Palmyra Palm(Talsas),50,99,104,50,68,73,12,67,79
Ripe Tal,83,107,135,81,108,161,80,102,147
Total Sugar Crops,460,789,3631,453,2932.50,4152,385,988,3807
FIBRES,,,,,,,,,
Jute (bales),1852,4.63,8576,1679,4.79,8045,1686,4.58,7725
Cotton (rabi & kharif),31,618,19,30,46.84,98,31,,72
"Sunhemp (Shan pat),
Bhadoi",0,0,0,0,0,0,0,0,0
"Sunhemp, Rabi",0.77,753,0.58,0.083,952,0.079,.58,1172,.64
Simul Cotton,18,0.101,9,19,0.105,49,08,.364,30
