District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,2689,2594,7349,0,0,0,0,766,2515,0,821,2515
2,Barishal,2266,2377,842,0,0,0,58,950,580,896,1950,580
3,Bhola,2070,1763,171,0,0,0,5,520,709.80,547,959,709.8
4,Jhallokati,533,633,497,0,0,0,13,30,430,340,887,430
5,Patuakhali,4356,4420,1009.69,0,0,0,8,585,1058.47,1413,2595,"1058.4
7"
6,Pirojpur,2188,1008,782,0,0,0,4,392,373.45,463,2450,373.45
1,Barishal Division,14102,12795,"10650.9
3",0,0,0,88,3243,5666.72,4294,9662,"5666.7
2"
7,Bandarban,14,30,39,0,0,0,1,7,6,6,0,6
8,Brahmanbaria,30,15,32,0,0,0,29,324,72.41,63,112,72.41
9,Chandpur,0,145,110,0,0,0,9,1034,921.20,1177,3948,921.2
10,Chattogram,0,280,281.32,0,0,0,9,588,596.54,1210,2862,596.54
11,Cumilla,0,150,538.42,16,78,48,9,985,939.44,1133,600,987.44
12,Cox’s Bazar,110,115,152.46,0,0,0,0,384,395.14,90,343,395.14
13,Feni,252,153,254.43,0,0,0,2,451,426.64,345,1094,426.64
14,Khagrachari,104,66,66,0,0,0,2,95,102,124,414,102
15,Lakshmipur,4,19,206,0,0,0,0,558,592,598,4184,592
16,Noakhali,170,161,158,0,0,0,6,330,491,248,1593,491
17,Rangamati,221,196,144,0,188,0,225,38,188,229,293,188
2,"Chattogram
Division",905,1300,1982,16,266,48,292,4794,4730.37,5223,15443,"4778.3
7"
18,Dhaka,24,28,24.23,0,0,0,20,128,133.53,178,69,133.53
19,Faridpur,403,410,401,0,156,149.13,51,1084,1154.90,1165,4309,"1304.0
3"
20,Gazipur,87,92,144.03,0,350,22.94,16,36,235.06,566,1412,258
21,Gopalganj,484,452,719.57,0,0,0,65,1170,1211.62,998,2027,"1211.6
2"
22,Kishoreganj,7,23,25.38,0,0,0,19,69,82.38,63,48,82.38
23,Madaripur,1144,1201,732.89,0,0,0,161,2086,1750.99,2044,5833,"1750.9
9"
24,Manikganj,414,541,533.00,0,0,0,117,549,541.69,469,2527,541.69
25,Munshiganj,24,32,33.11,0,0,0,193,56,63.97,704,375,63.97
26,Narayanganj,50,49,50.53,0,0,0,30,946,947.89,302,267,947.89
27,Narsingdi,16,20,17.69,0,221,0,39,1,148.80,101,295,148.8
28,Rajbari,142,142,126.43,4,9,22.84,15,706,774.66,592,3540,797.5
29,Shariatpur,22,65,278.32,0,0,18.24,11,15,432.10,558,1304,450.34
30,Tangail,18,30,98.92,0,431,11.06,127,17,411.37,413,1992,422.43
3,Dhaka Division,2835,3085,3185.10,4,1167,224.21,864,6863,7888.96,8153,23998,"8113.1
7"
31,Bagerhat,190,198,211.20,0,0,0,0,358,304,341,2150,304
32,Chuadanga,151,151,149.13,0,567,272,5,327,480,963,5303,752
33,Jashore,122,122,484.55,0,593,699.49,120,965,430.51,1365,12320,1130
34,Jhenaidah,36,36,328.57,0,325,325.20,46,1585,1586.80,1380,10167,1912
35,Khulna,36,55,294.18,0,6,468.35,7,466,0.65,623,2614,469
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
36,Kushtia,120,113,107.00,0,49,46.05,26,891,841.95,830,3630,888
37,Magura,0,70,196.70,0,0,0,0,562,555,619,1728,555
38,Meherpur,0,35,35.14,0,0,0,8,63,60,59,279,60
39,Narail,804,800,799.58,4,0,0,5,192,1253,1316,998,1253
40,Satkhira,234,230,384.34,0,88,129.41,0,652,791.59,745,4326,921
4,Khulna Division,1693,1860,2990.39,4,1628,1940.50,217,6061,6303.50,8241,43515,8244
41,Jamalpur,185,219,69.00,0,0,0,11,146,182,137,103,182
42,Mymensingh,2458,2410,1052.00,0,1552,0,8,131,2205,2267,2751,2205
43,Netrokona,44,1,28.00,0,0,0,24,68,42,86,10,42
44,Sherpur,49,5,14.00,0,0,0,3,9,40,17,717,40
5,"Mymensingh
Division",2707,2635,1163.00,0,1552,0,46,354,2469,2507,3581,2469
45,Bogura,120,180,253.83,0,0,1.69,7,981,970.31,153,5195,972
46,Joypurhat,112,94,75.10,0,0,0,19,283,336.07,319,1467,336.07
47,Naogaon,1243,1140,493.13,0,0,0,810,402,401.76,271,3677,401.76
48,Natore,34,150,732.00,0,1729,216,0,616,2048.82,2896,22062,"2264.8
2"
49,Chapai Nawabganj,193,132,325.08,0,0,0,43,338,325.08,351,502,325.08
50,Pabna,0,220,269.38,0,978,0,10,69,1085.10,1043,2766,1085.1
