District name,August-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,390,250
Khagrachari,400,250,-,-,-,-,346,270
Rangamati,350,280,294,240,-,-,440,325
Chattogram,470,360,450,350,430,300,540,390
Coxbazar,500,338,455,331,367,250,575,375
Cumilla,450,367,440,390,450,400,470,380
Chandpur,-,-,-,-,-,-,380,-
Brahmmanbaria,360,270,340,-,330,230,430,290
Noakhali,470,-,450,-,439,-,557,-
Lakshmipur,-,-,-,-,-,-,490,-
Feni,-,-,515,-,490,-,570,-
Chattogram Division,429,311,421,328,418,295,472,326
Sylhet,401,350,383,290,363,-,420,300
Moulvibazar,385,291,-,-,-,-,411,330
Sunamganj,421,345,-,-,-,-,395,371
Habiganj,360,-,-,-,-,-,378,310
Sylhet Division,392,329,383,290,363,-,401,328
Dhaka,411,235,358,203,361,200,469,292
Gazipur,413,321,-,-,414,323,535,378
Manikganj,482,350,438,340,405,-,488,360
Munshiganj,450,350,-,-,450,-,492,-
Narayanganj,410,370,405,338,380,320,437,374
Narsingdi,438,275,424,-,410,300,-,-
Faridpur,400,-,-,-,390,-,430,-
Rajbari,390,340,370,330,360,320,549,350
Madaripur,425,350,-,-,383,335,477,360
Gopalganj,405,-,390,-,375,-,428,325
Shariatpur,411,535,358,325,361,315,469,350
Tangail,425,350,-,-,383,300,477,360
Kishoreganj,-,-,420,-,389,-,479,-
Dhaka Division,422,348,395,307,389,-,477,350
Mymensingh,370,-,360,-,350,-,440,-
Jamalpur,360,-,350,-,340,-,420,-
Sherpur,360,-,345,-,340,-,425,-
Netrokona,370,-,350,-,345,-,430,-
Mymensingh Division,365,-,351,-,344,-,429,-
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,480,-,475,-,-,-,500,-
Jhalokathi,410,-,-,-,-,-,425,-
Perojpur,400,340,-,-,-,-,410,350
Bhola,400,-,440,-,-,-,420,-
Patuakhali,385,-,-,-,-,-,395,-
Barguna,390,-,-,-,-,-,405,-
Barishal Division,411,340,458,-,-,-,426,350
Jashore,-,-,-,-,-,-,383,310
Jhenaidah,348,256,339,253,341,246,385,281
Magura,437,-,400,-,366,-,480,-
Narail,430,-,-,-,410,-,451,320
Khulna,-,-,-,-,-,-,414,316
Bagerhat,396,-,380,-,372,-,417,317
Satkhira,-,-,-,-,-,-,325,223
Kushtia,385,-,360,-,340,-,436,-
Chuadanga,275,-,-,-,-,-,300,-
Meherpur,347,-,-,-,-,-,420,-
Khulna Division,374,256,370,253,366,246,401,294
Rajshahi,354,268,349,283,340,-,385,279
Naogaon,352,295,328,266,320,260,347,303
Natore,340,270,320,260,315,250,381,292
Chapai Nawabganj,330,249,317,240,310,235,381,292
Bogra,368,-,366,-,357,280,385,-
Joypurhat,325,275,-,-,300,300,375,305
Pabna,430,260,420,-,-,-,454,268
Sirajganj,-,-,-,-,-,-,326,300
Rajshahi Division,357,269,350,262,324,265,379,291
Rangpur,330,220,-,-,-,-,370,250
Gaibandha,-,-,-,-,-,-,335,263
Kurigram,305,220,-,-,-,-,320,240
Nilphamari,310,228,300,225,-,-,320,230
Lalmonirhat,304,250,300,230,-,-,350,260
Dinajpur,315,270,327,247,350,-,360,304
Thakurgaon,321,278,-,-,-,-,313,267
Panchagarh,350,239,-,-,-,-,360,250
Rangpur Division,319,244,309,234,350,-,341,258
BANGLADESH,387,301,380,286,373,287,422,309
