2019-20,,2020-21,,"% Change over previous
year"
"Yield rate per acre
(Bales)","Yield rate per hector
(Bales)","Yield rate
per acre
(Bales)","Yield rate
per hector
(Bales)",
4.79,11.840,"4,58",11.324,(-) 4.36
