Item,Year,Area ‘000’ Acres,Production ‘000’ Metric Tons
Major cereals,2020-21,29725,38693
,2019-20,29034,37632
,2018-19,29272,37408
Aus Rice,2020-21,3225,3285
,2019-20,2706,2755
,2018-19,2731,2775
Aman Rice,2020-21,13859,14438
,2019-20,13739,14203
,2018-19,13892,14055
Boro Rice,2020-21,11828,19885
,2019-20,11768,19645
,2018-19,11832,19560
Wheat,2020-21,813,1085
,2019-20,821,1029
,2018-19,816,1017
Minor cereals,2020-21,1188,4118
,2019-20,1167,4015
,2018-19,1102,3570
Total cereals,2020-21,30913,42811
,2019-20,30202,41649
,2018-19,30374,37406
Potato,2020-21,1158,9887
,2019-20,1140,9606
,2018-19,1158,9655
Jute (bales),2020-21,1686,7725
,2019-20,1679,8045
,2018-19,1852,8576
Maize,2020-21,1186,4116
,2019-20,1166,4015
,2018-19,1100,3569
Pulses,2020-21,919,425
,2019-20,882,397
,2018-19,875,393
Oil Seeds,2020-21,1234,996
,2019-20,1183,972
,2018-19,1098,954
Spices & Condiments,2020-21,1060,3594
,2019-20,1046,2998
,2018-19,995,2667
Chillies,2020-21,247,493
,2019-20,239,158
,2018-19,239,149
Onion,2020-21,480,2269
,2019-20,458,1954
,2018-19,426,1803
Drugs & Narcotics,2020-21,407,740
,2019-20,398,719
,2018-19,431,747
Tea,2020-21,136,90
,2019-20,147,90
,2018-19,133,91
Tobacco,2020-21,100,89
,2019-20,100,86
,2018-19,147,129
Vegetables,2020-21,1120,4587
,2019-20,1111,4574
,2018-19,1072,4336
Tomato,2020-21,73,448
,2019-20,70,415
,2018-19,70,388
Sweet Potato,2020-21,66,280
,2019-20,61,246
,2018-19,57,236
Sugar Crops (Temporary),2020-21,192,3333
,2019-20,213,3683
,2018-19,200,3142
Sugar Crops (Permanent),2020-21,193,474
,2019-20,240,472
,2018-19,260,489
Fruits (Temporary),2020-21,207,1429
,2019-20,198,1332
,2018-19,194,1281
Fruits (Permanent),2020-21,789,3714
,2019-20,811,3644
,2018-19,912,3667
