Variety,2019-20,2020-21,"Percentage (%)
changes over previous
year"
,"Production
(M. Ton)","Production
(M. Ton)",
Local,"1,61,714","1,39,086",(-) 13.99
HYV,"25,93,682","31,45,624",(+) 21.28
Total (Local+ HYV),"27,55,396","32,84.710",(+) 19.21
