District name,March-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,390,240
Khagrachari,346,230,-,-,-,-,400,250
Rangamati,337,250,287,200,-,-,415,291
Chattogram,462,360,455,340,450,300,530,380
Coxbazar,500,350,470,340,452,275,590,375
Cumilla,462,400,401,394,384,385,491,406
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,450,380,423,308,405,300,465,420
Noakhali,511,-,500,-,482,-,583,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,-,-,462,-,480,-
Chattogram Division,438,328,423,316,439,315,464,337
Sylhet,425,300,370,281,350,-,434,330
Moulvibazar,405,330,395,270,-,-,437,345
Sunamganj,410,338,-,-,-,-,438,360
Habiganj,480,-,-,-,-,-,506,425
Sylhet Division,430,323,383,276,350,-,454,365
Dhaka,500,400,480,380,470,370,510,450
Gazipur,488,392,-,-,402,320,504,408
Manikganj,421,326,407,277,379,250,464,350
Munshiganj,422,300,-,-,410,-,437,350
Narayanganj,435,350,420,340,390,325,481,378
Narsingdi,-,-,400,350,364,-,430,367
Faridpur,450,-,-,-,405,-,500,-
Rajbari,450,350,433,320,367,300,520,370
Madaripur,400,300,-,-,283,250,444,338
Gopalganj,470,-,-,-,406,-,504,275
Shariatpur,375,293,349,285,319,275,418,303
Tangail,434,-,392,-,393,-,459,300
Kishoreganj,490,-,442,-,411,-,500,400
Dhaka Division,445,339,415,325,385,299,475,357
Mymensingh,413,-,387,-,368,-,425,-
Jamalpur,395,-,365,-,345,-,472,-
Sherpur,420,-,410,-,395,-,445,-
Netrokona,420,-,400,-,385,-,455,-
Mymensingh Division,412,-,391,-,373,-,449,-
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,421,-,-,-,-,-,461,0
Jhalokathi,480,-,-,-,-,-,500,
Perojpur,512,400,495,396,450,350,544,420
Bhola,420,-,-,-,-,-,450,-
Patuakhali,420,-,-,-,-,-,480,-
Barguna,502,-,520,-,-,-,510,-
Barishal Division,459,400,508,396,450,350,491,420
Jashore,-,-,-,-,-,-,274,170
Jhenaidah,314,224,309,212,301,211,356,240
Magura,338,-,284,-,283,-,381,-
Narail,324,-,-,-,322,-,351,198
Khulna,-,-,-,-,-,-,484,372
Bagerhat,415,-,391,-,471,-,381,200
Satkhira,-,-,-,-,-,-,310,214
Kushtia,366,-,340,-,320,-,420,-
Chuadanga,275,-,-,-,-,-,280,-
Meherpur,267,-,-,-,-,-,307,-
Khulna Division,328,224,331,212,339,211,354,232
Rajshahi,344,247,323,225,300,-,371,260
Naogaon,384,290,354,282,325,260,400,315
Natore,350,300,311,300,300,300,370,248
Chapai Nawabganj,345,250,-,-,-,-,392,279
Bogra,353,-,305,-,330,-,300,-
Joypurhat,320,250,-,-,300,280,350,320
Pabna,420,360,400,358,-,-,444,380
Sirajganj,-,-,-,-,-,-,354,300
Rajshahi Division,359,283,346,291,311,280,373,300
Rangpur,335,205,-,-,-,-,310,230
Gaibandha,-,-,-,-,-,-,322,300
Kurigram,353,275,-,-,-,-,341,305
Nilphamari,335,250,-,-,-,-,310,260
Lalmonirhat,350,250,293,240,-,-,360,265
Dinajpur,325,290,322,256,300,-,351,300
Thakurgaon,313,279,-,-,-,-,318,275
Panchagarh,334,256,-,-,-,-,362,260
Rangpur Division,335,258,308,248,300,-,334,274
BANGLADESH,402,305,391,303,374,297,422,316
