Sl no,Name of Comodity,,Year-2021,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,3006,3204,3307,3265,3238,3198,3268,3177,-,-,-,-,3208
02,",,",Medium,2780,2990,3064,2984,2962,2980,2958,2925,-,-,-,-,2955
03,",,",Coarse,2543,2732,2844,2762,2730,2691,2656,2620,-,-,-,-,2697
04,",,",Pajam,3450,-,-,-,2975,2975,-,-,-,-,-,-,3133
05,‘’,shugandhi,4494,4340,4338,4267,4200,-,-,-,-,-,-,-,4328
06,Paddy Aus,medium,2625,2850,2850,2850,2850,2850,2850,2479,-,-,-,-,2776
07,",,:",coarse,2575,2625,2625,2625,2588,2625,2338,2360,-,-,-,-,2545
08,",,",pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
09,Paddy Boro,Fine,3199,3327,3449,2783,2467,2668,2893,2961,-,-,-,-,2969
10,",,",medium,3005,3118,3223,2524,2355,2533,2663,2714,-,-,-,-,2767
11,‘’,coarse,2716,2823,2884,2187,2106,2320,2425,2458,-,-,-,-,2490
12,",,",pajam,-,-,-,2450,1975,2387,-,-,-,-,-,-,2271
13,Rice Aman,fine,5619,5756,5900,5908,5851,5781,5852,5843,-,-,-,-,5814
14,",,",medium,4682,4800,4910,4867,4783,4738,4750,4787,-,-,-,-,4790
15,",,",coarse,4056,4173,4256,4244,4175,4140,4156,4167,-,-,-,-,4171
16,",,",pajam,5480,5656,5648,5778,5733,5605,5646,5679,-,-,-,-,5653
17,Rice Aus,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-
18,",,",Coarse,4154,4233,4350,-,-,-,-,-,-,-,-,-,4246
19,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,--,-
20,Rice boro,fine,5608,5774,5880,5850,5608,5540,5650,5690,-,-,-,--,5700
21,",,",medium,4889,5014,5102,5022,4717,4675,4767,4811,-,-,-,-,4875
22,",,",coarse,4096,4183,4295,4268,4055,4049,4115,4151,-,-,-,-,4152
23,",,",pajam,4475,4267,4292,4450,4225,4781,4800,5367,-,-,-,-,4582
24,Rice OMS,course,4083,4131,4385,4339,4330,4300,4306,4375,-,-,-,-,4281
25,Aromatic rice,Chinigura,8663,8661,8651,8659,8575,8488,8519,8516,-,-,-,-,8592
26,",,",Kalojira,8084,8065,8035,8067,8000,7973,7948,7911,-,-,-,-,8010
27,",,",kataribhog,6539,6525,6631,6591,6645,6632,6629,6631,-,-,-,-,6603
28,Wheat local,red,2572,2613,2647,2617,2646,2630,2616,2619,-,-,-,-,2620
29,",,",white,2611,2670,2644,2601,2612,2620,2625,2606,-,-,-,-,2624
30,Imported,red,-,2650,2750,-,-,2750,2750,2750,-,-,-,-,2730
31,",,",white,2636,2690,2762,2680,2738,2721,2711,2727,-,-,-,-,2708
32,Ata,loose,2651,2712,2719,2694,2657,2644,2594,2633,-,-,-,-,2663
33,",,",Packet,3020,3077,3108,3107,3100,3096,3085,3108,-,-,-,-,3088
34,flour,loose,3193,3231,3232,3307,3234,3213,3210,3253,-,-,-,-,3234
35,",,",packet,4020,4045,4058,4102,4078,4063,4085,4107,-,-,-,-,4070
36,Maize,-,2022,2064,1986,1964,1967,2065,2212,2254,-,-,-,-,2067
37,Kalai,mash,9501,8625,8619,8584,8586,8578,8569,8424,-,-,-,-,8686
38,",,",mashur,6131,6144,6269,6025,6025,6025,6025,6000,-,-,-,-,6081
39,",,",mug,9186,9172,9180,9170,9156,9144,9156,8618,-,-,-,-,9098
40,",,",Chola,7097,7349,7209,7932,7916,7906,7914,7730,-,-,-,-,7632
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
41,",,",Motor local,7015,8065,7488,10881,10881,10078,10881,8523,-,-,-,-,9227
42,",,",Motor foreign,7015,8065,7488,10881,10881,10078,10881,8523,-,-,-,-,9227
43,",,",kheshari,5227,5254,5258,5195,5195,5193,5195,4709,-,-,-,-,5153
44,Dal,Mash gota,10668,10645,10754,11189,11110,11111,11103,11105,-,-,-,-,10961
45,",,",Broken,11326,11316,11293,11070,11017,11005,10964,11200,-,-,-,-,11149
46,",,",Mashur local gota,10293,10288,10535,10778,10091,10083,10099,10077,-,-,-,-,10281
47,",,",Mashur broken,7389,7393,7484,8076,8889,8041,8089,7632,-,-,-,-,7874
48,",,",Mashur foreign,8772,8754,8677,8466,8376,8368,8442,8558,-,-,-,-,8552
49,",,",Mug local,12293,12288,12309,12222,12198,12200,12197,11993,-,-,-,-,12213
50,",,",Chola gota,7488,7480,7421,7490,7397,7296,7335,7201,-,-,-,-,7389
51,",,",Chola broken,7631,7632,7569,7420,7352,7304,7326,7208,-,-,-,-,7430
52,",,",Motor local,7871,7873,7646,7863,7870,7806,7802,7332,-,-,-,-,7758
53,",,",Motor foreign,3671,3674,3712,3813,3833,3855,3830,3798,-,-,-,-,3773
54,",,",kheshari,6616,6634,6675,6630,6591,6551,6546,6359,-,-,-,-,6575
55,Oil seed,Mustard,5860,5860,6256,6045,6069,6430,6369,6869,-,-,-,-,6220
56,",,",Tishi,7067,7092,7092,7092,7090,7092,7179,7252,-,-,-,-,7120
57,",,",Til,6688,6675,6687,6670,6670,6670,6745,6678,-,-,-,-,6685
58,",,",Nut,10141,10079,9929,10083,10114,9996,8500,9900,-,-,-,-,9843
59,Oil,Mustard,13753,13795,13993,14607,14717,14985,14811,15270,-,-,-,-,14491
60,",,",Soyabeen,10807,10767,11066,11996,12004,12412,10725,11920,-,-,-,-,11462
61,",,",Pulm,9417,9366,9615,10000,10166,10573,10338,10932,-,-,-,-,10051
62,“,Ghee (dalda),11221,11268,11101,12267,12511,12817,12618,13361,-,-,-,-,12146
63,",,",Butter oil,60000,60000,50300,60000,60000,28020,46675,46675,-,-,-,-,51459
64,",,",Coconut,24082,24056,24672,23445,23550,24019,23829,25693,-,-,-,-,24168
65,khail,Mustard,3513,3513,3547,3536,3535,3553,3546,3656,-,-,-,-,3550
66,",,",Til,3784,3834,3839,3840,3840,3816,3828,3953,-,-,-,-,3842
67,",,",Others,3571,3583,3594,3613,3625,3643,3625,3625,-,-,-,-,3610
68,Spice,Onion local,3184,2430,2989,2982,3059,3459,3597,3852,-,-,-,-,3194
69,",,",Onion imported,2495,2027,2466,2916,2788,3409,3422,3457,-,-,-,-,2873
70,",,",Garlic local,9149,8514,6333,6157,6080,6033,6049,5758,-,-,-,-,6759
71,",,",Garlic imported,9534,10272,10188,10156,10062,10230,10264,10203,-,-,-,-,10114
72,,Chilli dried,21223,20957,20539,20039,19889,19716,19668,18972,-,-,-,-,20125
73,",,",Green chilli,6362,4585,3015,2954,2839,2937,3228,6806,-,-,-,-,4091
74,",,",Ginger local,7241,6693,6608,7059,6996,7285,7703,8698,-,-,-,-,7285
75,",,",Ginger imported,7181,6336,6272,6400,6447,6874,6986,8070,-,-,-,-,6821
76,",,",Turmeric round,12720,12623,12695,12498,12800,12659,12439,12754,-,-,-,-,12649
77,",,",Turmeric long,12787,12365,12510,12768,12611,12778,12722,12801,-,-,-,-,12668
78,",,",Coriander old,9290,9307,9362,9252,9254,9259,9250,9297,-,-,-,-,9284
79,",,",Coriander new,8119,8438,8260,8581,8540,8645,8557,8856,-,-,-,-,8500
80,Jute,White/tosha top,3650,3650,3033,4931,11258,11278,22621,12595,-,-,-,-,9127
81,",,",Middle,13720,4225,10531,17938,11870,11854,11625,11625,-,-,-,-,11674
82,",,",B-botom,-,-,13000,11188,11875,11875,13792,7502,-,-,-,-,11539
83,",,",C -bottom,-,-,11250,11250,5763,5763,4829,4363,-,-,-,-,7203
84,",,",Cross botom,-,-,-,--,-,-,-,-,-,-,-,-,-
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
85,",,",Smr,-,-,-,-,-,-,-,-,-,-,-,-,-
86,",,",Gor chhat,-,9675,10149,10301,16183,15876,15029,15336,-,-,-,-,13221
87,",,",Mesta gor chhat,5845,8408,12875,12875,10167,10167,10167,10167,-,-,-,-,10084
88,Cotton,Shimul,30498,26906,27281,28558,31304,31683,33910,32650,-,-,-,-,30349
89,",,",carpus,15563,15891,16375,15471,17000,17000,16903,17003,-,-,-,-,16401
90,Tobbaco,Jati heavy,12567,29042,20917,23155,23167,21208,16625,19000,-,-,-,-,20710
91,",,",Jati Medium,12750,12875,12863,12875,17000,17200,36750,51125,-,-,-,-,21680
92,",,",Jati general,10500,12367,12067,12075,14500,14800,15500,15250,-,-,-,-,13382
93,",,",Motihar heavy,11978,16771,14777,29512,19331,21760,26415,23850,-,-,-,-,20549
94,",,",Motihar medium,8288,13046,17389,16502,25763,25763,25763,25763,-,-,-,-,19785
95,",,",Moti general,6475,6475,6475,6475,7750,7750,7750,7750,-,-,-,-,7113
96,",,",Varginia(heat),-,-,-,-,-,-,14500,14500,-,-,-,-,14500
97,",,",Bangla-1 (heat),-,-,-,-,-,-,-,-,-,-,-,-,-
98,",,","Bangle-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
99,",,","Bangle-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
100,",,","Bangle-4 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
101,",,","Bangla-5 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
102,",,","Bangle-6 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
103,",,","Bang;a-7 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
104,",,","Bang;a-8 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
105,",,",Varginia(air),-,-,-,-,-,-,-,-,,-,-,-,-
106,",,",Dv- 1(air),-,-,-,-,-,-,-,-,-,-,-,-,-
107,",,","DV-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
108,",,","DV-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
109,"Hide skin:
COW",Light,26251,19837,23191,22815,22815,21712,22705,21646,-,-,-,-,
,,,,,,,,,,,,,,,22622
110,",,",Medium,33730,33941,36997,37294,37294,39392,35785,36155,-,-,-,-,36324
111,",,",heavy,53997,52452,54156,54676,54676,55804,54533,53758,-,-,-,-,54257
112,",,",katachera,11514,11531,10200,11472,11472,11469,13672,13984,-,-,-,-,11914
113,"Hide skin
Bufello",heavy,48692,67473,52388,52521,52521,52533,50708,49778,-,-,-,-,
,,,,,,,,,,,,,,,53327
114,",,",medium,41813,49125,46348,46767,46767,48875,50550,48350,-,-,-,-,47324
115,",,",katachera,-,-,7750,7750,7750,7750,7750,10000,-,-,-,-,8125
116,Hide skin,Sheep,2836,3226,3381,3399,3399,3956,3889,3929,-,-,-,-,3502
117,",,",Goat,3580,4316,4901,4733,4733,4755,4727,4367,-,-,-,-,4514
118,"Chemical
fertilizer",Uria 50 kg,788,785,785,785,785,785,787,788,-,-,-,-,
,,,,,,,,,,,,,,,786
119,",,","TSP ,,",1090,1094,1094,1094,1094,1094,1094,1093,-,-,-,-,1093
120,",,","DAP ,,",788,788,788,788,788,788,788,787,-,-,-,-,788
121,",,","MP ,,",736,735,735,735,735,735,735,735,-,-,-,-,735
122,",,",Zinc LOCAL,2440,4891,3316,3315,3315,3315,3315,3319,-,-,-,-,3403
123,",,",Zinc foreign,5226,5232,5247,5232,5232,5232,5305,5304,-,-,-,-,5251
124,",,",Zipsum,260,281,282,286,286,286,278,270,-,--,-,-,279
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
125,"Organic
fertilizer",Cowdung,116,98,98,98,98,98,98,98,-,-,-,,
,,,,,,,,,,,,,,-,99
126,Powder milk,Bag,594,2352,60000,59750,59750,32550,39775,47275,-,-,-,-,37756
127,Cow Milk,liquid,5228,15548,11404,5010,5010,5566,12450,12373,-,-,-,-,9074
128,",,",milkvita,-,-,7333,7333,7333,7167,7083,7083,-,-,-,-,7222
129,Gawa ghee,-,82900,68998,56176,65898,65898,71427,25458,40663,-,-,-,-,59677
130,Dano,-,6325,4775,5346,5348,5348,5346,5348,6758,-,-,-,-,5574
131,Red cow,-,5825,6455,6455,6455,6455,9740,6455,6455,-,-,-,-,6787
132,Anchor,-,5400,5400,6135,6135,6135,6135,6135,6135,-,-,-,-,5951
133,"Condensed
milk",One kartoon,2180,2124,2654,2804,2804,3047,3082,3405,-,-,-,,
,,,,,,,,,,,,,,-,2763
134,"Hen/chicken-
Live",Local large(900gm+),33684,34227,36158,37423,38809,38855,37811,37522,35426,-,-,,
,,,,,,,,,,,,,,-,36657
135,",,",",, medium(700gm+)",34144,34778,36799,37997,39163,39123,38174,37829,36804,-,-,-,37201
136,",,",",, small(500gm+)",34159,34477,35947,37248,38217,38756,38026,37781,36410,-,-,-,36780
137,",,",Farm broiler,11177,12239,13062,12974,12784,12262,11990,11424,12137,-,-,-,12228
138,",,",Duck,-,19998,25744,-,25729,22313,21157,19552,21778,-,-,-,22324
139,Meat,Cow,28620,26643,30190,30240,30263,27119,27630,27595,26300,-,-,-,28289
140,",,",Goat,50074,51094,51786,52132,52723,52809,53229,52821,52855,-,-,-,52169
141,Egg,Chicken local,70633,71042,71490,71580,72083,72623,73021,72773,72705,-,-,-,71994
142,",,",Farm red,1099,1083,1109,1108,1113,1098,1113,1127,1132,-,-,-,1109
143,",,",Farm white,676,677,692,673,676,722,751,759,796,-,-,-,712
144,",,",duck,638,668,692,964,695,781,777,799,853,-,-,-,733
145,Fish (Ka):Fresh,Rui local big(5+kg),1041,1116,1038,1027,1027,1006,1024,1041,1063,-,-,-,1043
146,",,","Rui local
(2.5+kg)medium",34167,32607,32036,33750,34550,35917,32900,32619,32913,-,-,,
,,,,,,,,,,,,,,-,33495
147,",,","Rui local small
(1.5+kg)",28152,27306,27359,27304,27303,27796,28510,27994,27994,-,-,,
,,,,,,,,,,,,,,-,27730
148,",,","Imported
medium(2.5+kg)",23851,24012,23961,23966,23992,24132,24057,23841,23936,-,-,,
,,,,,,,,,,,,,,-,23972
149,",,",Imported small,23133,22989,23265,23437,23560,23563,23778,24457,24132,-,-,-,23590
150,",,",Katal large,19642,19630,19428,19474,19368,19857,19830,19817,20523,-,-,-,19730
151,",,",medium,30917,32650,34050,34038,36000,36000,36000,32800,30683,-,-,-,33682
152,",,",small,27940,27236,27268,27349,27795,27610,28121,28121,27838,-,-,-,27704
153,Fish (Ka):Live,Mrigel large,21676,21964,21928,21698,21727,21746,21579,21767,21807,-,-,-,21766
154,",,",small,19135,19411,18908,18918,18897,19420,19516,19784,18941,-,-,-,19214
155,",,",Airr large,14720,15156,14575,14644,14675,14253,16074,14623,15099,-,-,-,14869
156,",,",small,53656,53813,49563,49563,52650,61938,46583,53361,54508,-,--,-,52848
