District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,0,2384,2459,0,0,0,5883,15264,5070,5883,15264,5070
2,Barishal,0,1241,1246,0,0,0,8457,8308,7250,8457,8308,7250
3,Bhola,0,365,159,0,0,0,2560,4022,2734,2560,4022,2734
4,Jhallokati,0,363,366,0,0,0,1405,1294,1343,1405,1294,1343
5,Patuakhali,0,1107,1499,0,0,0,3341,2958,2448,3341,2958,2448
6,Pirojpur,0,602,472,0,0,0,4394,6099,4553,4394,6099,4553
1,Barishal Division,0,6062,6201,0,0,0,26040,37945,23398,26040,37945,23398
7,Bandarban,0,3,9,0,0,0,54,56,51,54,56,51
8,Brahmanbaria,0,1010,6000,0,0,0,514,760,488,514,760,488
9,Chandpur,3330,3490,3000,0,0,0,0,4571,7794,0,4571,7794
10,Chattogram,3330,3684,2000,0,0,0,2722,3091,2478,2722,3091,2478
11,Cumilla,3140,4489,807,210,1054,83,1800,1149,6665,2010,2203,6748
12,Cox’s Bazar,1,170,101,0,0,0,374,1903,692,374,1903,692
13,Feni,160,292,158,0,0,0,1550,1886,1437,1550,1886,1437
14,Khagrachari,24,22,24,0,0,0,95,112,133,95,112,133
15,Lakshmipur,0,30,52,0,0,0,3306,7257,2742,3306,7257,2742
16,Noakhali,304,400,264,0,0,0,13158,3726,8078,13158,3726,8078
17,Rangamati,148,200,94,0,0,0,275,308,280,275,308,280
2,"Chattogram
Division",10437,13790,12509,210,1054,83,23848,24819,30838,24058,25873,30921
18,Dhaka,27,22,22,0,0,0,753,746,768,753,746,768
19,Faridpur,9025,9925,7000,0,108,485,928,8330,6971,928,8438,7456
20,Gazipur,2316,2416,2000,0,144,105,122,1797,1347,122,1941,1452
21,Gopalganj,547,549,408,0,0,0,6121,6994,5639,6121,6994,5639
22,Kishoreganj,40,32,32,0,0,0,515,538,628,515,538,628
23,Madaripur,7088,3884,369,0,0,0,7088,7372,8140,7088,7372,8140
24,Manikganj,695,700,500,0,0,0,695,1566,581,695,1566,581
25,Munshiganj,15,14,14,0,0,0,230,289,304,230,289,304
26,Narayanganj,8,8,9,0,0,0,377,398,403,377,398,403
27,Narsingdi,25,56,41,0,0,0,1269,1276,1394,1269,1276,1394
28,Rajbari,2186,2486,2000,0,270,49,2186,3114,1519,2186,3384,1568
29,Shariatpur,45746,35623,42000,0,0,60,600,570,931,600,570,991
30,Tangail,1921,2021,2000,53,89,41,1773,3476,1613,1826,3565,1654
3,Dhaka Division,69639,57736,56395,53,611,740,22657,36466,30238,22710,37077,30978
31,Bagerhat,129,129,127,0,0,56,3087,2808,2501,3087,2808,2557
32,Chuadanga,15,15,22,0,7,6,390,403,418,390,410,424
33,Jashore,246,246,249,106,107,107,2245,2061,2036,2351,2168,2143
34,Jhenaidah,167,167,131,0,0,0,2403,2188,2311,2403,2188,2311
35,Khulna,0,0,125,0,0,0,1546,1663,1571,1546,1663,1571
36,Kushtia,82,82,82,0,0,0,1677,1764,1809,1677,1764,1809
37,Magura,109,109,196,0,0,0,2022,2131,7523,2022,2131,7523
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,31,32,36,0,0,0,216,204,211,216,204,211
39,Narail,0,202,202,0,67,0,0,1146,1185,0,1213,1185
40,Satkhira,74,74,94,82,0,140,2885,2967,2318,2967,2967,2458
4,Khulna Division,853,1075,1264,188,181,309,16471,17335,21883,16659,17516,22192
41,Jamalpur,0,72,46,0,0,0,341,311,388,341,311,388
42,Mymensingh,0,248,696,0,0,0,4973,1996,2617,4973,1996,2617
43,Netrokona,0,1,56,0,0,0,550,536,491,550,536,491
44,Sherpur,0,37,87,0,0,0,507,617,1138,507,617,1138
5,"Mymensingh
Division",0,358,885,0,0,0,6371,3460,4634,6371,3460,4634
45,Bogura,258,258,255,0,0,0,8663,11392,7683,8663,11392,7683
46,Joypurhat,3,24,48,125,131,0,563,448,748,688,579,748
47,Naogaon,609,599,302,0,0,0,6705,5575,7048,6705,5575,7048
48,Natore,0,175,140,0,0,0,7062,6927,3668,7062,6927,3668
49,Chapai Nawabganj,88,88,180,0,0,37,864,999,927,864,999,964
50,Pabna,68,68,70,86,88,0,2522,2772,2619,2608,2860,2619
51,Rajshahi,502,501,482,0,0,0,5249,5099,4348,5249,5099,4348
52,Sirajganj,0,190,482,0,0,0,2133,1580,2057,2133,1580,2057
6,Rajshahi Division,1528,1903,1959,211,219,37,33761,34792,29098,33972,35011,29135
53,Dinajpur,83,86,100,0,0,0,521,632,682,521,632,682
54,Gaibandha,17,18,22,0,0,0,291,304,267,291,304,267
55,Kurigram,13,12,24,0,0,0,72,97,88,72,97,88
56,Lalmonirhat,5,5,5,0,0,0,57,27,25,57,27,25
57,Nilphamari,4,5,5,0,0,0,81,87,86,81,87,86
58,Panchagar,4,4,5,0,0,0,123,148,83,123,148,83
59,Rangpur,25,19,20,0,0,0,456,384,389,456,384,389
60,Tahkurgaon,9,7,10,0,0,0,124,132,135,124,132,135
7,"Rangpur
Division",160,156,191,0,0,0,1725,1811,1755,1725,1811,1755
61,Habigonj,238,238,200,18,18,0,2065,2026,1178,2083,2080,1178
62,Moulvibazar,66,17,47,0,0,0,439,529,364,439,529,364
63,Sunamganj,54,3,4,0,0,0,685,1,11,685,1,11
64,Sylhet,23,6,11,0,0,12,89,120,77,89,120,89
8,Sylhet Division,381,264,262,18,18,12,3278,2712,1630,3296,2730,1642
BANGLADESH,,82998,81344,79666,680,2083,1181,134151,159340,143474,134831,161423,144655
