District name,Apr-2021,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food (in
TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,-,,,-,,,-,,,-,,,-,,,-,,,414,,,264,,
Khagrachari,400,,,250,,,-,,,-,,,-,,,-,,,450,,,287,,
Rangamati,373,,,267,,,303,,,232,,,-,,,-,,,466,,,326,,
Chattogram,540,,,416,,,509,,,363,,,458,,,345,,,587,,,428,,
Cox’sbazar,577,,,337,,,480,,,300,,,371,,,239,,,614,,,375,,
Cumilla,462,,,425,,,408,,,400,,,398,,,400,,,488,,,406,,
Chandpur,-,,,-,,,-,,,-,,,-,,,-,,,360,,,-,,
Brahmmanbaria,413,,,300,,,496,,,450,,,391,,,227,,,514,,,404,,
Noakhali,534,,,-,,,500,,,-,,,525,,,-,,,613,,,-,,
Lakshmipur,-,,,-,,,-,,,-,,,-,,,-,,,400,,,-,,
Feni,-,,,-,,,521,,,-,,,498,,,-,,,593,,,-,,
"Chattogram
Division",471,,,332,,,460,,,349,,,440,,,302,,,500,,,356,,
Sylhet,413,,,300,,,394,,,-,,,363,,,-,,,433,,,350,,
Maulavi Bazar,390,,,265,,,390,,,325,,,-,,,-,,,449,,,300,,
Sunamganj,388,,,333,,,-,,,-,,,-,,,-,,,426,,,367,,
Habiganj,450,,,265,,,-,,,-,,,-,,,-,,,444,,,350,,
Sylhet Division,410,,,291,,,392,,,325,,,363,,,-,,,438,,,342,,
Dhaka,620,,,350,,,530,,,320,,,435,,,300,,,650,,,380,,
Gazipur,580,,,400,,,-,,,-,,,618,,,463,,,630,,,483,,
Manikganj,543,,,400,,,477,,,284,,,468,,,280,,,550,,,334,,
Munshiganj,437,,,325,,,-,,,-,,,481,,,-,,,536,,,325,,
Narayanganj,430,,,375,,,413,,,350,,,375,,,325,,,482,,,401,,
Narsingdi,-,,,-,,,592,,,420,,,634,,,-,,,621,,,-,,
Faridpur,430,,,-,,,-,,,-,,,-,,,450,,,525,,,-,,
Rajbari,450,,,350,,,433,,,300,,,367,,,300,,,520,,,400,,
Madaripur,380,,,300,,,365,,,-,,,325,,,-,,,438,,,375,,
Gopalganj,500,,,400,,,450,,,-,,,528,,,-,,,675,,,500,,
Shariatpur,367,,,283,,,-,,,-,,,300,,,-,,,425,,,350,,
Tangail,585,,,415,,,535,,,385,,,545,,,355,,,600,,,495,,
Kishoreganj,-,,,-,,,552,,,238,,,512,,,-,,,615,,,288,,
Dhaka Division,484,,,360,,,483,,,328,,,466,,,353,,,559,,,394,,
Mymensing,,421,,,265,,,447,,,293,,,476,,,-,,,514,,,320,
Jamalpur,,310,,,-,,,351,,,-,,,369,,,-,,,547,,,-,
Sherpur,,546,,,-,,,556,,,-,,,530,,,-,,,586,,,-,
Netrokona,,422,,,302,,,466,,,342,,,-,,,-,,,560,,,400,
"Mymensing
Division",425,,,284,,,455,,,318,,,458,,,,,,552,,,360,,
,,,,,,,,,,,,,,,,,-,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,472,-,450,370,-,-,524,420
Jhalokathi,494,460,-,-,-,-,561,460
Perojpur,535,400,494,350,350,425,571,450
Bhola,464,-,418,-,-,-,519,402
Patuakhali,507,-,475,-,400,-,500,-
Barguna,542,-,580,-,-,-,557,325
Barishal Division,502,430,483,360,375,425,539,411
Jashore,-,-,-,-,-,-,489,300
Jhenaidah,329,239,317,229,315,223,354,255
Magura,427,-,420,-,379,-,468,-
Narail,480,-,400,-,472,-,505,362
Khulna,-,-,-,-,-,-,512,442
Bagerhat,433,-,556,400,647,500,511,417
Satkhira,-,-,-,-,-,-,411,288
Kushtia,395,-,370,-,350,-,450,-
Chuadanga,281,-,-,-,-,-,293,-
Meherpur,317,-,-,-,-,-,367,-
Khulna Division,380,239,413,315,433,362,436,344
Rajshahi,404,330,397,400,-,-,412,316
Naogaon,376,299,375,313,457,366,385,325
Natore,350,250,280,230,-,-,386,277
Chapai Nawabganj,309,300,350,280,350,305,310,315
Bogura,475,-,493,-,497,-,485,-
Joypurhat,400,300,455,400,-,-,450,350
Pabna,508,365,487,-,-,-,444,375
Sirajganj,-,-,-,-,-,-,400,250
Rajshahi Division,403,307,426,325,435,336,409,315
Rangpur,340,220,-,-,-,-,370,250
Gaibandha,-,-,-,-,-,-,416,316
Kurigram,348,250,-,-,-,-,367,267
Nilphamari,305,240,-,-,-,-,417,260
Lalmonirhat,336,217,400,285,-,-,332,219
Dinajpur,404,298,-,-,-,-,354,328
Thakurgaon,350,298,-,-,-,-,360,350
Panchagar,344,267,-,-,-,-,368,320
Rangpur Division,347,256,400,285,-,-,373,289
BANGLADESH,432,317,451,330,443,356,478,351
