District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,179,178,268.50,0,0,0,250,240,320.63,250,,320.63
2,Barishal,560,564,841,0,0,0,560,564,941,560,564,941
3,Bhola,225,192,138.78,0,0,0,162,158,201.98,156,160,201.98
4,Jhallokati,201,219,220.38,0,0,0,204,238,243,204,238,243
5,Patuakhali,415,409,263.18,0,0,0,673,688,650,591,688,650
6,Pirojpur,152,154,73.60,0,0,0,290,217,212.55,290,217,212.55
1,Barishal Division,1732,1716,1805.44,0,0,0,2139,2105,2569.16,2139,2107,"2569.1
6"
7,Bandarban,0,0,0.00,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,8,11,10.30,0,0,0,27,33,26.70,27,33,26.70
9,Chandpur,24,25,23.64,0,0,0,163,170,163.22,163,170,163.22
10,Chattogram,1850,1597,1198.22,38,38,38.19,193,150,192.49,231,194,230.68
11,Cumilla,99,103,99,113,113,189.22,183,107,106.78,296,298,296
12,Cox’s Bazar,628,632,628.29,257,257,256.85,340,348,340,597,614,596.85
13,Feni,28,20,18.89,5,5,17.36,43,42,55.05,48,55,72.41
14,Khagrachari,24,29,23.83,0,0,0,22,25,26.77,22,25,26.77
15,Lakshmipur,0,13,13.17,0,0,0,43,44,42.46,43,44,42.46
16,Noakhali,70,73,61.73,0,0,0,252,593,620.82,252,593,620.82
17,Rangamati,104,108,105.05,92,92,88.06,266,271,257.60,358,366,345.66
2,"Chattogram
Division",2835,2611,2182.12,505,505,589.68,1532,1783,1831.89,2037,2392,"2421.5
7"
18,Dhaka,17,22,23.16,0,0,0,108,120,120.78,108,120,120.78
19,Faridpur,33,56,71.08,295,295,0,80,273,348.53,375,273,348.53
20,Gazipur,9,19,19.37,34,34,0,31,73,69.43,65,73,69.43
21,Gopalganj,227,212,23.89,306,306,287.43,273,265,301.2,579,560,588.63
22,Kishoreganj,3,7,8.55,0,0,0,29,28,49.53,29,28,49.53
23,Madaripur,28,25,23.89,0,0,0,184,230,190.86,184,230,190.86
24,Manikganj,15,20,17.99,0,0,0,48,49,47.47,48,49,47.47
25,Munshiganj,5,6,6.32,0,0,0,25,25,27.09,25,25,27.09
26,Narayanganj,8,9,9.56,14,14,14.43,106,102,111.09,120,116,125.52
27,Narsingdi,45,4,4.21,0,0,5.54,813,500,38.54,813,506,44.08
28,Rajbari,30,82,74.56,139,139,0,109,255,295.29,248,255,295.29
29,Shariatpur,32,282,87.66,243,243,0,69,301,389.54,312,313,389.54
30,Tangail,5,13,13.18,51,51,0,19,52,67.50,70,52,67.50
3,Dhaka Division,457,757,383.42,1082,1082,307.40,1894,2273,2056.85,2976,2600,"2364.2
5"
31,Bagerhat,34,33,63.10,0,0,17.64,290,289,284.71,290,289,302.35
32,Chuadanga,13,32,11.94,0,0,0,41,43,39.54,41,43,39.54
33,Jashore,188,186,188.37,0,0,0,931,982,848.28,931,982,848.28
34,Jhenaidah,46,59,47.36,0,0,0,754,755,731.60,754,755,731.6
35,Khulna,86,25,912.10,0,0,0,607,618,579,607,618,579
36,Kushtia,23,34,26,0,0,0,368,345,371,368,345,371
37,Magura,236,27,17.28,0,0,0,1105,1003,1075.46,1105,1003,1075.4
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
,,,,,,,,,,,,,6
