District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,1497,1476,2215,0,0,0,1103,821,834,1103,821,834
2,Barishal,1531,1593,823,0,0,0,1900,1950,2000,1900,1950,2000
3,Bhola,1084,1070,1020,0,0,0,1400,959,1082,1400,959,1082
4,Jhallokati,940,975,800,0,0,0,893,887,844,893,887,844
5,Patuakhali,1838,1888,751,0,0,0,585,2595,2648,585,2595,2648
6,Pirojpur,2303,2177,2169,0,0,0,2700,2450,2359,2700,2450,2359
1,Barishal Division,9193,9180,7778,0,0,0,8581,9662,9767,8581,9662,9767
7,Bandarban,0,0,0,0,0,0,9,0,0,9,0,0
8,Brahmanbaria,51,50,42,0,0,0,127,112,105,127,112,105
9,Chandpur,1363,1416,1266,0,0,0,4277,3948,3966,4277,3948,3966
10,Chattogram,1097,1029,831,0,0,0,2798,2862,2934,2798,2862,2934
11,Cumilla,471,443,934,0,0,12,875,586,499,875,600,511
12,Cox’s Bazar,113,72,80,0,0,0,396,343,338,396,343,338
13,Feni,914,866,600,2,0,0,1105,1092,1942,1107,1094,1942
14,Khagrachari,105,109,110,0,0,0,390,414,378,390,414,378
15,Lakshmipur,1621,1521,1350,0,395,262,4689,3789,3278,4689,4184,3540
16,Noakhali,843,703,625,0,0,0,2018,1593,1511,2018,1593,1511
17,Rangamati,226,236,232,30,23,0,172,270,298,202,293,298
2,"Chattogram
Division",6804,6445,6070,32,434,274,16856,15009,15249,16888,15443,15523
18,Dhaka,74,79,100,0,0,0,333,69,236,333,69,236
19,Faridpur,2260,2273,2250,419,396,378,4252,3913,3845,4671,4309,4223
20,Gazipur,513,535,525,83,77,73,1460,1335,1241,1543,1412,1314
21,Gopalganj,2551,2348,2319,49,35,39,2774,1992,2926,2823,2027,2965
22,Kishoreganj,80,84,94,0,0,0,48,48,47,48,48,47
23,Madaripur,2680,2681,2670,0,0,0,5755,5833,5817,5755,5833,5817
24,Manikganj,1039,1075,1100,204,199,92,50,2328,2631,254,2527,2723
25,Munshiganj,137,139,270,0,0,0,557,375,355,557,375,355
26,Narayanganj,80,81,90,0,0,0,280,267,272,280,267,272
