District name,December-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,429,257
Khagrachari,346,250,-,-,-,-,400,270
Rangamati,389,320,343,278,-,-,452,332
Chattogram,480,357,466,350,450,300,500,370
Coxbazar,583,387,542,380,500,370,627,400
Cumilla,426,350,423,-,400,-,446,393
Chandpur,-,-,-,-,-,-,436,-
Brahmmanbaria,418,375,480,365,361,360,439,372
Noakhali,550,-,510,-,491,-,581,-
Lakshmipur,-,-,-,-,-,-,430,349
Feni,-,-,-,-,510,-,600,-
Chattogram Division,456,340,461,343,452,343,485,343
Sylhet,417,350,405,290,388,-,430,370
Moulvibazar,400,330,390,320,-,-,437,343
Sunamganj,472,422,-,-,-,-,485,-
Habiganj,400,-,-,-,-,-,478,390
Sylhet Division,422,367,398,305,388,-,458,368
Dhaka,458,400,428,350,400,340,490,400
Gazipur,442,380,430,370,410,360,532,400
Manikganj,410,253,394,250,365,245,440,279
Munshiganj,-,330,-,-,489,-,521,350
Narayanganj,435,350,430,363,390,325,469,358
Narsingdi,-,-,404,340,367,330,411,368
Faridpur,450,-,-,-,430,-,475,-
Rajbari,390,300,370,280,363,200,420,350
Madaripur,350,275,-,-,-,270,400,317
Gopalganj,500,340,450,-,430,-,525,350
Shariatpur,367,290,-,-,325,-,417,300
Tangail,455,370,420,340,410,300,500,400
Kishoreganj,-,-,427,-,400,-,473,350
Dhaka Division,426,329,417,328,398,296,467,352
Mymensingh,410,300,380,300,370,-,490,340
Jamalpur,425,-,390,280,370,-,455,-
Sherpur,390,-,370,-,360,-,440,-
Netrokona,425,290,390,290,370,-,460,350
Mymensingh Division,413,330,383,290,368,-,461,345
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
Barishal,420,-,400,-,-,-,430,-
Jhalokathi,390,-,-,-,-,-,400,-
Perojpur,400,340,-,-,-,-,410,350
Bhola,390,-,-,-,-,-,400,-
Patuakhali,380,-,-,-,-,-,390,-
Barguna,380,-,-,-,-,-,390,-
Barishal Division,393,340,400,-,-,-,403,350
Jashore,-,-,-,-,-,-,301,227
Jhenaidah,341,249,337,240,348,246,378,262
Magura,351,-,241,-,304,-,389,-
Narail,433,-,-,-,427,-,457,338
Khulna,-,-,-,-,-,-,541,422
Bagerhat,392,340,380,330,370,-,422,350
Satkhira,-,-,-,-,-,-,347,247
Kushtia,395,-,370,-,350,-,450,-
Chuadanga,275,-,-,-,-,-,295,-
Meherpur,283,-,-,-,-,-,333,-
Khulna Division,353,295,332,285,360,246,391,308
Rajshahi,383,308,368,250,-,-,397,315
Naogaon,380,290,319,267,383,260,390,300
Natore,330,250,322,240,-,-,338,260
Chapai Nawabganj,309,240,300,230,300,220,350,250
Bogra,300,-,383,-,370,200,420,-
Joypurhat,400,340,-,-,390,330,435,360
Pabna,415,315,500,-,-,-,450,380
Sirajganj,-,-,400,-,-,-,389,250
Rajshahi Division,360,290,370,247,361,253,396,302
Rangpur,350,235,-,-,-,-,360,255
Gaibandha,-,-,-,-,-,-,329,250
Kurigram,313,250,-,-,-,-,341,275
Nilphamari,330,220,-,-,-,-,340,246
Lalmonirhat,335,225,330,263,-,-,365,240
Dinajpur,348,277,-,-,400,-,396,312
Thakurgaon,333,282,-,-,335,-,338,275
Panchagarh,343,240,-,-,-,-,367,260
Rangpur Division,336,247,330,263,368,-,355,264
BANGLADESH,394,309,397,303,392,291,429,323
