Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Dhaka,1,115,39,212,231,242,383,223,161,188,37,5,1837
Tangail,0,52,17,195,295,327,484,158,149,150,20,6,1853
Mymensingh,0,32,6,84,337,402,603,118,181,205,14,2,1984
Faridpur,0,94,10,72,164,105,284,223,117,113,39,9,1230
Madaripur,0,134,89,71,143,212,310,354,214,171,113,4,1815
Srimangal,0,42,34,131,439,465,485,177,205,205,28,3,2214
Sylhet,0,29,39,349,653,789,697,446,309,348,9,0,3668
Bogura,0,26,13,55,158,348,451,132,160,287,2,1,1633
Dinajpur,0,27,0,130,187,293,680,328,492,151,0,0,2288
Ishwardi,0,53,8,82,126,286,300,148,179,220,36,6,1444
Rajshahi,0,46,67,114,147,121,262,114,187,174,3,0,1235
Rangpur,0,28,2,141,347,288,594,223,517,149,0,0,2289
Syedpur,0,42,1,114,192,344,519,299,509,110,0,0,2130
Chuadanga,0,79,16,81,227,148,172,130,262,141,31,3,1290
Jashore,0,107,68,173,122,134,219,238,209,133,75,14,1492
Khulna,0,166,74,102,104,114,335,370,283,187,175,15,1925
Mongla,0,100,41,101,82,286,301,389,290,97,265,11,1963
Satkhira,0,125,86,101,117,218,143,573,245,112,172,11,1903
Barishal,0,64,29,95,139,148,454,255,238,190,365,12,1989
Bhola,0,57,44,93,146,147,407,362,268,94,259,18,1895
Khapupar,0,58,62,82,182,510,629,684,270,393,220,5,3095
Patuakhali,0,74,45,65,163,262,618,338,198,102,231,11,2107
Chandpur,0,122,42,110,214,193,394,291,143,128,91,4,1732
Ambagan(Ctg),0,40,12,109,205,137,1118,530,402,206,103,8,2870
Chattogram,0,5,8,73,206,152,1110,466,365,123,83,10,2601
Cumilla,0,70,29,238,269,202,477,250,208,108,60,8,1919
Cox`s Bazar,0,12,82,16,98,225,951,412,628,256,80,0,2760
Feni,0,80,34,143,199,261,802,492,324,212,52,4,2603
Hatia,0,48,31,39,162,344,1000,509,297,209,175,8,2822
Kutubdia,0,21,46,23,94,139,1244,303,496,187,57,3,2613
Maijdee Court,0,64,45,134,291,266,729,474,423,243,201,4,2874
Rangamati,0,36,15,102,215,267,1137,355,271,170,133,5,2706
Sandwip,0,33,5,78,168,235,1226,305,486,117,78,5,2736
Sitakunda,0,35,20,222,286,250,1472,424,333,170,114,14,3340
Teknaf,0,1,81,6,77,311,1513,677,1153,151,23,0,3993
Gopalgonj,0,99,39,133,129,123,286,251,156,288,177,10,1691
Tarash,0,54,29,81,206,284,396,256,111,279,15,2,1713
Netrokona,0,22,22,124,445,398,683,290,425,233,8,6,2656
Rajarhat,0,24,2,133,388,338,696,187,240,176,1,0,2185
Badalgachhi,0,34,20,85,178,209,401,240,250,193,1,1,1612
Dimla,0,17,4,179,565,258,726,188,475,65,0,0,2477
Netrokonai,0,91,55,216,170,242,231,179,157,241,25,4,1611
