Zila,"All
Holdi
ngs",Non-Farm holdings,,,Farm holdings,,,,,,,"Total
Farm
holdings"
,,,,,Small,,,,,"Medi
um","Larg
e",
,,"With no
operati
ng
area","With no
cultivat
ed area","with
0.01-
0.04
acre
cultivate
d area","0.05-
0.49
acre","0.50
-
0.99
acre","1.00-
1.49
acre","1.50-
2.49
acre","Total
small","(2.50
-
7.49)
acre","(7.50
+)
acres",
1,2,3,4,5,6,7,8,9,10,11,12,13
BANGLADESH,28695763,1517217,10881791,"111357
2","42476
73","361013
1",2484406,"24701
62","12812
372","21364
15","23439
6",15183183
Barishal Division,1731282,20591,381628,152220,"42323
3",213789,165638,"17571
9","10013
79","15750
1",17963,1176843
Barishal,482075,2731,114488,42802,"11862
9",75423,50745,45611,"29040
8",29899,1747,322054
Bhola,347515,2943,94043,28098,70223,46927,32921,39272,"18934
3",29799,3289,222431
Jhalokati,133204,375,22913,13300,39454,19284,11741,13434,83913,12002,701,96616
Pirojpur,243057,2586,41642,21726,73815,33691,23113,23179,"15379
8",21692,1613,177103
Barguna,201929,3151,38816,14702,48052,2557,20452,22518,"11657
9",25174,3507,145260
Patuakhali,323502,8805,69726,31592,73060,35907,26666,31705,"16733
8",38935,7106,213379
"Chattogram
Division",4783132,134018,1932402,301453,"29175
3",664569,392727,"35952
7","22345
76","25268
8",27959,2515205
Bandarban,63744,241,17316,764,6078,4851,6176,7564,24669,17197,3557,45423
Chattogram,1298834,97191,785602,48527,"12902
7",96025,58247,50986,"33428
5",30888,2341,367514
Cox's bazar,335825,4033,168736,14785,51559,37370,24285,19809,"13302
3",13846,1402,148271
Brahmanbaria,465720,4179,196734,7317,60050,78105,43676,47183,"22901
4",26813,1663,254790
Chandpur,461192,2015,140865,47906,"11552
6",80671,37864,25441,"25950
2",10543,361,270406
Cumilla,917743,17817,282487,61365,"18262
0",180189,89970,71770,"52454
9",30530,995,556074
Khagrachhari,116475,176,24286,2680,17880,11378,13198,14560,57016,27935,4382,89333
Feni,237575,1124,87793,19828,14964,36151,22638,18744,"11849
7",9881,452,128830
Lakshmipur,332818,1280,77790,38318,93365,52309,28035,25817,"19952
6",14702,1202,215430
Noakhali,544943,5945,126971,55818,"11307
1",80551,58264,63015,"31490
1",36643,4665,356209
Rangamati,108263,17,23822,4145,7613,6969,10374,14638,39594,33710,6921,8225
Dhaka Division,9456838,1188079,3873358,237849,"10920
14","107038
5",727066,"70281
6","35922
81","52100
1",44270,4157552
Dhaka,2266479,932364,1059428,33235,91175,63123,35303,29286,"21888
7",20404,2161,241452
Gazipur,538597,49732,242092,26570,70916,55415,41746,35489,"20356
6",24943,2694,230203
Manikganj,293977,2789,106957,13163,40588,45562,31207,30956,"14831
3",21244,1511,171068
,,,,,Small,,,,,"Medi
um","Larg
e",
