District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden
(M. Tons)",,
22,Kishoreganj,127,124,67.99,0,0,0,419,396,303.32,419,396,303.32
23,Madaripur,28,34,8.61,17,15,0,22,17,55.20,39,32,55.20
24,Manikganj,50,50,21.76,0,1,0,130,25,40.80,130,26,40.80
25,Munshiganj,46,46,14.95,0,0,0,28,90,93.46,28,90,93.46
26,Narayanganj,54,59,23.50,0,0,0,154,185,178.57,154,185,178.57
27,Narsingdi,64,63,15.60,0,0,0,132,128,124.29,132,128,124.29
28,Rajbari,29,38,42.20,42,0,0,24,26,32.68,66,26,32.68
29,Shariatpur,132,165,28.20,0,16,0,127,1,200.50,127,17,200.50
30,Tangail,282,267,38.89,0,0,0,521,527,527.09,521,527,527.09
3,Dhaka Division,1092,1186,380.40,153,43,0,2113,1935,2050.80,2266,1978,2050.80
31,Bagerhat,234,218,49.45,36,0,0,0,244,228.38,36,244,228.38
32,Chuadanga,11,11,4.27,15,0,0,8,20,20.37,23,20,20.37
33,Jashore,87,88,29.34,0,0,0,141,141,141.49,141,141,141.49
34,Jhenaidah,15,19,21.34,0,0,0,18,24,25.90,18,24,25.90
35,Khulna,68,68,34.52,0,2,0,92,46,75.84,92,48,75.84
36,Kushtia,19,1,2,0,0,0,37,2,2,37,2,2
37,Magura,58,55,16.43,51,0,0,1,215,212,52,215,212
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,2,2,4.07,0,0,0,1,1,1.58,1,1,1.58
39,Narail,19,19,24.81,11,0,0,13,19,19.92,24,19,19.92
40,Satkhira,21,23,38.73,0,0,0,17,17,19.43,17,17,19.43
4,Khulna Division,526,503,224.96,113,2,0,328,729,746.91,441,731,746.91
41,Jamalpur,155,154,99,0,0,0,490,398,440,490,398,440
42,Mymensingh,432,414,254,0,0,0,626,1004,979.45,626,1004,979.45
43,Netrokona,62,85,46,0,0,0,150,546,215.78,150,546,215.78
44,Sherpur,112,112,48,0,0,0,226,493,246.21,226,493,246.21
5,"Mymensingh
Division",748,765,447,0,0,0,1492,2441,1881.44,1492,2441,1881.44
45,Bogura,74,72,32,0,0,0,213,212,204,213,212,204
46,Joypurhat,68,66,19,0,0,0,105,134,140,105,134,140
47,Naogaon,125,124,39,46,0,0,261,331,342,307,331,342
48,Natore,7,73,30,0,0,0,210,215,211,210,215,211
49,Chapai Nawabganj,6,7,4,0,0,0,8,9,10,8,9,10
50,Pabna,37,36,9,0,0,0,95,61,61,95,61,61
51,Rajshahi,54,58,79.84,0,0,0,247,277,292.96,247,277,292.96
52,Sirajganj,56,71,11,0,0,0,103,178,169,103,178,169
6,Rajshahi Division,469,506,223.84,46,0,0,1242,1417,1429.96,1288,1417,1429.96
53,Dinajpur,124,131,56.84,0,0,0,309,341,334.39,309,341,334.39
54,Gaibandha,94,97,30.44,13,13,0,167,181,125,180,194,125
55,Kurigram,58,60,23.53,0,0,0,104,141,141.28,104,141,141.28
56,Lalmonirhat,179,178,161.88,0,0,0,322,330,325.63,322,330,325.63
57,Nilphamari,135,136,44.06,0,0,0,330,335,345.62,330,335,345.62
58,Panchagar,67,67,43.96,0,0,0,203,229,160.47,203,229,160.47
59,Rangpur,78,77,17.32,0,0,0,188,199,206.30,188,199,206.3
60,Thakurgaon,59,58,17.21,0,0,0,431,437,445.89,431,437,445.89
7,Rangpur Divison,1294,805,395.24,13,13,0,2054,2193,2084.58,2067,2206,2084.58
61,Habiganj,15,15,8.69,0,0,0,25,25,45.60,25,25,45.60
62,Moulvibazar,36,352,149.78,0,0,0,958,958,756.91,958,958,756.91
63,Sunamganj,149,146,83,0,0,0,263,262,177,263,262,177
64,Sylhet,231,227,218.42,39,50,51.11,277,268,232.01,316,318,283.12
8,Sylhet Division,574,740,459.89,39,50,51.11,1523,1513,1211.52,1562,1563,1262.63
BANGLADESH,,7156,7062,4198.80,403,145,88.53,12926,14923,"14218.8
6",13329,15068,14307.39
