District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,3420,1384,35.86,3.308,4578,17220,6969,35.28,3.25,22680
2,Barishal,60235,24376,39.78,3.669,89442,62300,25211,38.19,3.52,88799
3,Bhola,88486,35808,43.16,3.981,142555,86495,35003,41.93,3.87,135387
4,Jhallokati,21566,8727,41.09,3.790,33078,24269,9821,39.93,3.68,36173
5,Patuakhali,2077,841,34.62,3.193,2684,1943,786,41.23,3.80,2990
6,Pirojpur,28483,11526,40.65,3.750,43219,27218,11015,40.97,3.78,41620
1,"Barishal
Division",204267,82662,41.39,3.817,315556,219445,88805,40.00,3.69,327649
7,Bandarban,9009,3646,37.61,3.469,12648,9019,3650,37.52,3.46,12632
8,Brahmanbaria,275835,111624,49.27,4.545,507293,263678,106705,49.93,4.61,491386
9,Chandpur,133970,54215,39.10,3.607,195529,134132,54280,43.38,4.00,217191
10,Chattogram,117443,47527,42.06,3.880,184384,122285,49486,41.73,3.85,190492
11,Cumilla,315965,127864,47.03,4.338,554678,316023,127888,47.42,4.37,559360
12,Cox’s Bazar,110142,44572,42.52,3.922,174813,106991,43297,41.92,3.87,167434
13,Feni,60340,24418,37.51,3.460,84485,60349,24422,38.50,3.55,86734
14,Khagrachari,18312,7410,37.51,3.460,25639,17312,7006,38.64,3.56,24972
15,Lakshmipur,49276,19941,44.34,4.090,81556,49313,19956,40.48,3.73,74512
16,Noakhali,36581,14804,42.58,3.928,58142,39073,15812,39.78,3.67,58013
17,Rangamati,9742,3942,42.06,3.880,15295,9099,3682,37.75,3.48,12821
2,"Chattogram
Division",1136614,459963,44.65,4.119,1894462,1127274,456183,45.05,4.16,1895545
18,Dhaka,112012,45329,55.94,5.160,233891,109431,44284,50.16,4.63,204905
19,Faridpur,52751,21347,52.01,4.797,102411,52340,21181,51.65,4.76,100910
20,Gazipur,122792,49691,43.31,3.995,198511,120778,48876,46.47,4.29,209488
21,Gopalganj,78714,31854,45.54,4.201,133805,75302,30473,42.57,3.93,119668
22,Kishoreganj,341437,138172,45.49,4.196,579767,333051,134778,46.49,4.29,577944
23,Madaripur,75353,30494,47.51,4.382,133633,72171,29206,45.61,4.21,122874
24,Manikganj,111889,45279,52.09,4.805,217555,114489,46331,52.98,4.89,226424
25,Munshiganj,55548,22479,46.56,4.295,96540,56056,22685,47.99,4.43,100411
26,Narayanganj,53552,21671,45.87,4.231,91692,47830,19356,46.83,4.32,83617
27,Narsingdi,128916,52169,42.52,3.922,204610,128579,52033,42.91,3.96,205923
28,Rajbari,29360,11881,47.17,4.351,51695,29415,11904,46.51,4.29,51062
29,Shariatpur,59145,23935,54.24,5.003,119747,58148,23531,52.90,4.88,114815
